# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |    2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |  0.10 |    0 |     0 |     0 |  0.20 |  0.10 |     0 |  0.40 |  0.10 |  0.80 |  0.20 |  0.10 |     0 |     0 |     0 |     0 |     0 |  0.10 |  0.10 |     0 |     0 |  0.20 |     0 |     0 |     0 |     0 |  0.30 |  0.10 |     0 |     0 |  0.20 |     0 |     0 |     0 |     0 |  0.20 |  0.10 |  0.60 |     0 |     0 |
|         9 |  0.10 |    0 |  2.90 |  0.20 |  0.20 |  1.80 |  0.60 |  3.00 |  1.50 | 11.50 |  0.70 |  1.90 |  1.40 |  0.10 |  1.00 |  0.40 |  0.90 |  1.50 |  1.60 |  0.40 |  1.70 |  0.30 |  0.30 |     0 |  0.70 |  0.30 |  1.40 |  0.20 |  0.40 |  0.50 |  0.90 |  1.40 |  0.80 |     0 |  0.10 |  1.00 |  0.90 |  0.50 |  0.40 |  0.60 |
|        10 |  6.50 | 0.10 | 10.90 |  2.60 |  0.60 |  7.50 |  6.20 |  4.80 |  1.20 | 14.50 |  0.70 |  3.70 |  1.30 |  3.10 |     0 |  0.10 | 12.10 |  2.80 |  5.20 |  1.60 |  2.10 |  2.20 |     0 |  1.70 |  1.90 |  1.10 |  2.50 |  1.50 |  1.90 |  1.60 |  4.50 |  1.50 |  2.30 |  0.10 |  4.00 |  1.90 |  1.60 | 10.70 |     0 |  2.20 |
