# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |     2 |     3 |     4 |      5 |      6 |      7 |      8 |      9 |     10 |    11 |    12 |     13 |     14 |     15 |     16 |    17 |     18 |    19 |     20 |     21 |    22 |    23 |     24 |     25 |     26 |     27 |    28 |    29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |    39 |    40 |
|         0 |   2.59 |  2.08 |  2.22 |  3.47 |   2.36 |   2.06 |   2.67 |   2.37 |   2.93 |   2.43 |  2.23 |  1.33 |   2.42 |   2.33 |   2.09 |   1.80 |  1.95 |   2.77 |  2.61 |   2.10 |   2.76 |  2.14 |  3.41 |   2.59 |   2.01 |   1.49 |   2.03 |  2.13 |  2.46 |   2.22 |   1.91 |   1.62 |   2.38 |   2.22 |   2.87 |   2.00 |   2.62 |   2.63 |  1.94 |  1.87 |
|         1 |   2.40 |  2.30 |  2.09 |  2.80 |   2.26 |   2.09 |   2.26 |   2.04 |   2.29 |   2.25 |  2.09 |  1.21 |   2.42 |   1.94 |   2.05 |   1.72 |  1.96 |   2.50 |  2.23 |   1.86 |   2.52 |  1.99 |  3.17 |   2.45 |   1.77 |   1.72 |   1.74 |  1.81 |  2.37 |   2.34 |   1.82 |   1.41 |   2.13 |   2.00 |   2.60 |   1.82 |   2.31 |   2.29 |  2.12 |  1.84 |
|         2 |   2.07 |  1.85 |  1.82 |  2.59 |   1.94 |   1.92 |   2.17 |   1.85 |   1.64 |   2.20 |  1.63 |  1.09 |   2.46 |   1.58 |   1.87 |   1.73 |  1.69 |   2.11 |  2.00 |   1.44 |   1.97 |  1.86 |  2.81 |   2.12 |   1.60 |   1.60 |   1.56 |  1.37 |  2.49 |   1.72 |   1.57 |   1.15 |   1.78 |   1.67 |   2.37 |   1.33 |   2.09 |   2.02 |  1.88 |  1.79 |
|         3 |   1.71 |  1.58 |  1.20 |  2.40 |   1.54 |   1.67 |   1.83 |   1.59 |   1.23 |   2.00 |  1.11 |  0.77 |   2.26 |   1.01 |   1.48 |   1.47 |  1.47 |   1.72 |  1.66 |   1.01 |   1.76 |  1.54 |  2.15 |   1.81 |   1.35 |   1.48 |   1.30 |  1.05 |  2.24 |   1.04 |   1.13 |   0.88 |   1.38 |   1.08 |   2.04 |   0.98 |   1.55 |   1.64 |  1.48 |  1.75 |
|         4 |   1.56 |  1.21 |  0.69 |  2.13 |   1.35 |   1.35 |   1.35 |   1.36 |   1.12 |   1.89 |  0.74 |  0.61 |   2.17 |   0.61 |   1.05 |   1.14 |  1.54 |   1.45 |  1.47 |   0.66 |   1.68 |  1.31 |  1.77 |   1.95 |   1.30 |   1.40 |   1.18 |  1.02 |  1.88 |   0.67 |   0.65 |   0.74 |   1.17 |   0.55 |   1.88 |   0.91 |   1.05 |   1.60 |  1.10 |  1.68 |
|         5 |   1.47 |  0.65 |  0.30 |  1.72 |   1.16 |   0.87 |   1.11 |   1.32 |   1.00 |   1.74 |  0.49 |  0.43 |   1.78 |   0.43 |   0.65 |   0.62 |  1.54 |   1.15 |  1.36 |   0.32 |   1.33 |  1.07 |  1.22 |   1.88 |   1.17 |   1.08 |   1.07 |  1.37 |  1.57 |   0.45 |   0.16 |   0.80 |   0.69 |   0.54 |   1.57 |   0.59 |   0.71 |   1.49 |  0.51 |  1.40 |
|         6 |   1.43 |  0.31 |  0.14 |  1.25 |   1.13 |   0.27 |   0.99 |   1.10 |   0.80 |   1.27 |  0.23 |  0.14 |   1.18 |   0.57 |   0.56 |   0.22 |  1.42 |   0.79 |  1.15 |   0.07 |   1.08 |  0.96 |  0.77 |   1.67 |   1.01 |   0.61 |   0.87 |  1.56 |  1.24 |   0.38 |   0.08 |   0.64 |   0.31 |   0.58 |   1.23 |   0.29 |   0.71 |   1.23 |  0.26 |  1.11 |
|         7 |   1.34 | -0.03 |  0.07 |  0.81 |   1.16 |  -0.05 |   0.70 |   0.95 |   0.48 |   0.83 |  0.04 | -0.21 |   0.73 |   0.67 |   0.34 |  -0.25 |  1.07 |   0.47 |  0.84 |  -0.21 |   1.09 |  0.91 |  0.55 |   1.33 |   0.92 |   0.32 |   0.89 |  1.61 |  0.80 |   0.65 |   0.37 |   0.23 |   0.14 |   0.39 |   1.03 |   0.20 |   0.54 |   0.92 |  0.55 |  1.03 |
|         8 |   1.23 | -0.42 |  0.62 |  0.66 |   1.37 |  -0.10 |   0.67 |   0.79 |   0.10 |   0.47 | -0.02 | -0.26 |   0.67 |   0.74 |   0.35 |  -0.37 |  0.72 |   0.13 |  0.09 |  -0.46 |   1.52 |  0.97 |  0.25 |   1.01 |   0.78 |   0.10 |   0.94 |  1.50 |  0.70 |   0.92 |   0.64 |   0.44 |   0.17 |   0.43 |   0.79 |   0.23 |   0.30 |   1.14 |  1.07 |  1.22 |
|         9 |   1.12 | -0.33 |  1.36 |  0.90 |   1.53 |  -0.05 |   1.25 |   0.82 |   0.08 |   0.26 |  0.40 |  0.43 |   1.59 |   1.00 |   0.80 |   0.05 |  0.75 |   0.08 | -0.18 |  -0.32 |   1.79 |  1.53 |  0.21 |   1.29 |   0.51 |  -0.12 |   1.20 |  1.32 |  0.68 |   0.80 |   0.79 |   0.58 |  -0.04 |   0.33 |   1.08 |   0.14 |   0.37 |   1.51 |  1.38 |  1.14 |
|        10 |   0.99 |    -0 |  1.12 |  1.24 |   1.10 |   0.66 |   1.74 |   1.00 |   0.28 |   0.46 |  0.56 |  0.97 |   2.03 |   1.03 |   1.19 |   0.45 |  1.40 |   0.05 |  0.26 |   0.38 |   1.31 |  1.68 |  0.64 |   1.48 |   0.42 |   0.40 |   1.36 |  1.21 |  0.82 |   0.28 |   0.79 |   0.66 |  -0.30 |   0.23 |   1.56 |   1.04 |   0.54 |   1.48 |  1.20 |  0.96 |
|        11 |   0.96 |  0.61 |  0.47 |  1.36 |   0.66 |   0.72 |   1.44 |   1.34 |   0.63 |   0.64 |  0.28 |  1.20 |   1.51 |   0.76 |   0.74 |   0.32 |  1.61 |   0.22 | -0.06 |   1.07 |   0.87 |  2.00 |  1.03 |   1.42 |   0.61 |   0.93 |   1.08 |  1.23 |  0.91 |   0.29 |   0.55 |   0.80 |  -0.46 |   0.26 |   2.07 |   1.61 |   0.71 |   1.10 |  0.82 |  1.07 |
|        12 |   1.06 |  1.22 |  0.63 |  1.38 |   0.47 |   0.60 |   1.05 |   1.51 |   0.91 |   1.03 |  0.05 |  1.21 |   1.29 |   0.90 |   0.37 |   0.25 |  1.42 |   0.22 | -0.46 |   1.40 |   0.74 |  1.76 |  1.16 |   1.11 |   0.76 |   1.24 |   1.06 |  1.02 |  0.94 |   0.49 |   0.29 |   0.89 |  -0.44 |   0.43 |   2.40 |   1.52 |   1.00 |   0.64 |  0.81 |  1.04 |
|        13 |   1.36 |  1.75 |  0.49 |  1.36 |   0.46 |   0.41 |   0.93 |   1.41 |   0.94 |   1.14 |  0.02 |  1.49 |   1.42 |   1.11 |   0.65 |   0.15 |  1.28 |   0.79 | -0.18 |   1.62 |   0.64 |  1.72 |  1.18 |   1.20 |   0.99 |   1.26 |   1.07 |  0.95 |  1.18 |   0.50 |   0.27 |   0.70 |  -0.52 |   0.49 |   2.69 |   1.56 |   1.49 |   0.44 |  0.97 |  0.84 |
|        14 |   1.55 |  1.83 |  0.41 |  1.71 |   1.07 |   0.55 |   1.05 |   1.36 |   1.09 |   1.25 |  0.01 |  1.83 |   1.66 |   1.11 |   1.08 |   0.38 |  1.27 |   1.08 |  0.29 |   1.75 |   0.82 |  1.76 |  1.06 |   1.37 |   1.11 |   0.78 |   1.25 |  1.11 |  1.45 |   0.69 |   0.42 |   0.99 |  -0.39 |   0.85 |   3.00 |   1.65 |   1.62 |   0.80 |  1.11 |  0.70 |
|        15 |   1.68 |  1.64 |  0.39 |  2.33 |   1.48 |   0.68 |   1.07 |   2.23 |   1.40 |   1.30 | -0.35 |  1.94 |   1.76 |   1.08 |   1.45 |   1.50 |  1.02 |   0.93 |  0.54 |   1.98 |   1.36 |  1.90 |  0.94 |   1.52 |   1.44 |   1.10 |   1.31 |  1.12 |  1.40 |   0.84 |   1.01 |   1.46 |  -0.24 |   1.19 |   3.25 |   1.55 |   1.45 |   1.29 |  1.04 |  0.86 |
