# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |      7 |     8 |      9 |     10 |    11 |    12 |    13 |     14 |    15 |     16 |    17 |    18 |    19 |     20 |     21 |     22 |     23 |     24 |    25 |     26 |    27 |    28 |     29 |    30 |     31 |     32 |     33 |     34 |    35 |     36 |     37 |     38 |    39 |    40 |
|         0 |  2.95 |  2.07 |  2.56 |  2.98 |  2.82 |  2.54 |   2.37 |  2.40 |   3.22 |   2.43 |  2.59 |  2.23 |  2.73 |   2.84 |  3.04 |   1.90 |  2.56 |  3.36 |  3.19 |   3.15 |   2.52 |   1.84 |   2.76 |   2.05 |  3.34 |   2.76 |  2.03 |  2.27 |   2.80 |  2.03 |   2.03 |   2.96 |   2.80 |   2.77 |  2.61 |   1.68 |   3.13 |   3.11 |  1.76 |  2.29 |
|         1 |  3.11 |  2.31 |  2.91 |  3.07 |  3.29 |  2.64 |   2.56 |  3.06 |   3.33 |   2.58 |  2.70 |  2.39 |  2.80 |   3.05 |  3.14 |   1.98 |  2.92 |  3.61 |  3.17 |   3.25 |   2.83 |   2.13 |   2.86 |   2.27 |  3.49 |   2.93 |  2.12 |  2.63 |   3.03 |  2.07 |   2.30 |   3.22 |   2.78 |   2.91 |  2.92 |   1.66 |   3.15 |   3.21 |  2.12 |  2.59 |
|         2 |  3.16 |  2.44 |  3.08 |  3.21 |  3.51 |  2.62 |   2.73 |  3.58 |   3.39 |   2.73 |  2.74 |  2.62 |  2.77 |   3.03 |  3.16 |   2.04 |  3.19 |  3.63 |  3.18 |   3.32 |   3.05 |   2.38 |   2.91 |   2.33 |  3.20 |   3.05 |  2.26 |  2.77 |   3.11 |  2.16 |   2.52 |   3.30 |   2.72 |   3.23 |  2.93 |   1.70 |   3.21 |   3.16 |  2.36 |  2.62 |
|         3 |  3.22 |  2.60 |  3.21 |  3.33 |  3.56 |  2.66 |   2.97 |  3.90 |   3.52 |   2.90 |  2.72 |  2.67 |  2.78 |   2.97 |  3.02 |   2.18 |  3.27 |  3.77 |  3.20 |   3.38 |   3.17 |   2.63 |   2.97 |   2.48 |  3.11 |   3.01 |  2.39 |  3.03 |   3.05 |  2.29 |   2.65 |   3.28 |   2.62 |   3.31 |  3.04 |   1.85 |   3.28 |   3.12 |  2.59 |  2.74 |
|         4 |  3.34 |  2.72 |  3.52 |  3.49 |  3.58 |  2.99 |   3.30 |  4.04 |   3.68 |   3.13 |  2.68 |  2.72 |  2.94 |   2.91 |  2.92 |   2.40 |  3.29 |  3.98 |  3.35 |   3.55 |   3.22 |   2.94 |   3.03 |   2.80 |  3.13 |   3.03 |  2.66 |  3.31 |   3.00 |  2.55 |   2.64 |   3.31 |   2.59 |   3.38 |  3.38 |   2.32 |   3.34 |   3.14 |  2.81 |  3.02 |
|         5 |  3.47 |  2.88 |  3.74 |  3.64 |  3.74 |  3.17 |   3.59 |  4.05 |   3.70 |   3.41 |  2.59 |  2.80 |  3.19 |   2.73 |  2.98 |   2.63 |  3.36 |  4.14 |  3.49 |   3.79 |   3.31 |   3.22 |   3.13 |   2.86 |  3.27 |   3.32 |  2.96 |  3.51 |   3.14 |  2.86 |   2.62 |   3.37 |   2.76 |   3.55 |  3.68 |   2.81 |   3.46 |   3.08 |  2.95 |  3.24 |
|         6 |  3.60 |  3.16 |  3.94 |  3.84 |  3.93 |  3.30 |   3.90 |  4.21 |   3.69 |   3.86 |  2.61 |  2.86 |  3.40 |   2.65 |  3.22 |   3.02 |  3.53 |  4.33 |  3.76 |   3.94 |   3.49 |   3.51 |   3.48 |   2.88 |  3.45 |   3.65 |  3.23 |  3.65 |   3.57 |  3.24 |   2.73 |   3.55 |   3.14 |   3.68 |  3.97 |   3.14 |   3.78 |   3.01 |  3.28 |  3.46 |
|         7 |  3.83 |  3.53 |  4.13 |  4.18 |  4.07 |  3.60 |   4.07 |  4.62 |   3.84 |   4.32 |  2.66 |  2.95 |  3.60 |   2.87 |  3.53 |   3.65 |  3.80 |  4.40 |  4.06 |   4.02 |   3.77 |   3.83 |   3.94 |   3.27 |  3.62 |   3.92 |  3.42 |  3.77 |   4.10 |  3.59 |   3.00 |   3.76 |   3.57 |   4.01 |  4.19 |   3.46 |   4.40 |   3.21 |  3.41 |  3.65 |
|         8 |  3.98 |  3.96 |  4.22 |  4.48 |  4.27 |  4.09 |   3.97 |  4.98 |   4.25 |   4.70 |  2.62 |  3.50 |  3.74 |   3.16 |  3.75 |   4.08 |  4.12 |  4.39 |  4.17 |   4.38 |   4.10 |   4.05 |   4.31 |   3.73 |  3.74 |   4.23 |  3.75 |  3.83 |   4.52 |  3.78 |   3.48 |   3.94 |   4.06 |   4.25 |  4.37 |   3.89 |   4.87 |   3.64 |  3.86 |  3.79 |
|         9 |  4.42 |  4.23 |  4.24 |  4.59 |  4.54 |  4.75 |   3.92 |  5.55 |   4.73 |   4.98 |  2.65 |  4.06 |  3.83 |   3.39 |  3.98 |   4.31 |  4.34 |  4.46 |  4.18 |   4.69 |   4.48 |   4.13 |   4.57 |   4.24 |  3.97 |   4.51 |  3.91 |  3.94 |   4.77 |  3.90 |   4.19 |   4.20 |   4.40 |   4.27 |  4.74 |   4.35 |   5.17 |   4.04 |  4.48 |  3.85 |
|        10 |  5.07 |  4.36 |  4.33 |  4.83 |  4.87 |  5.33 |   4.13 |  6.00 |   5.17 |   5.32 |  2.88 |  4.41 |  3.88 |   3.69 |  4.29 |   4.55 |  4.47 |  4.55 |  4.26 |   5.01 |   4.96 |   4.21 |   4.72 |   4.69 |  4.41 |   4.79 |  4.00 |  4.12 |   5.06 |  4.07 |   5.01 |   4.59 |   4.53 |   4.45 |  5.25 |   4.70 |   5.68 |   4.16 |  5.08 |  3.97 |
|        11 |  5.66 |  4.61 |  4.69 |  5.19 |  5.07 |  5.55 |   4.43 |  6.20 |   5.28 |   5.78 |  3.12 |  4.96 |  4.02 |   4.04 |  4.48 |   4.89 |  4.62 |  4.72 |  4.57 |   5.49 |   5.31 |   4.63 |   4.89 |   4.98 |  4.66 |   5.05 |  4.12 |  4.43 |   5.31 |  4.31 |   5.74 |   4.94 |   4.61 |   4.87 |  5.66 |   4.87 |   6.07 |   4.18 |  5.37 |  4.25 |
|        12 |  6.27 |  4.90 |  5.22 |  5.70 |  5.45 |  5.65 |   4.54 |  6.36 |   5.47 |   6.25 |  3.36 |  5.44 |  4.46 |   4.43 |  4.74 |   5.41 |  5.15 |  4.92 |  5.28 |   6.08 |   5.51 |   5.24 |   5.32 |   5.44 |  4.92 |   5.29 |  4.46 |  4.70 |   5.48 |  4.47 |   5.70 |   5.26 |   4.84 |   5.40 |  5.93 |   5.25 |   6.22 |   4.04 |  5.43 |  4.41 |
|        13 |  6.61 |  5.27 |  5.68 |  6.08 |  5.93 |  5.75 |   4.49 |  6.44 |   5.91 |   5.90 |  3.60 |  5.92 |  5.14 |   5.02 |  5.18 |   6.16 |  5.80 |  5.05 |  6.20 |   6.53 |   5.75 |   5.76 |   5.75 |   5.91 |  5.49 |   5.57 |  5.16 |  5.20 |   5.64 |  4.67 |   5.70 |   5.33 |   5.55 |   5.77 |  6.13 |   5.85 |   6.05 |   3.85 |  5.31 |  4.51 |
|        14 |  6.14 |  5.73 |  6.04 |  6.30 |  6.52 |  5.99 |   4.51 |  6.34 |   5.93 |   5.63 |  3.89 |  5.90 |  5.71 |   5.35 |  5.72 |   6.38 |  6.26 |  5.24 |  6.84 |   6.61 |   6.27 |   5.74 |   6.10 |   6.21 |  6.12 |   6.04 |  5.75 |  6.09 |   5.96 |  4.97 |   5.47 |   5.17 |   6.20 |   6.06 |  5.77 |   6.40 |   5.59 |   3.88 |  5.12 |  4.67 |
|        15 |  5.55 |  6.24 |  6.37 |  6.25 |  6.76 |  5.69 |   3.85 |  6.45 |   5.85 |   5.11 |  4.14 |  5.53 |  5.63 |   5.48 |  5.72 |   6.35 |  6.19 |  5.52 |  6.74 |   6.36 |   5.88 |   4.87 |   6.37 |   5.96 |  6.51 |   6.24 |  5.77 |  6.69 |   5.99 |  5.20 |   5.23 |   4.75 |   6.17 |   5.88 |  5.22 |   6.59 |   5.64 |   3.26 |  4.89 |  5.14 |
|        16 |  4.93 |  6.38 |  6.41 |  6.23 |  6.58 |  4.94 |   2.92 |  6.77 |   5.90 |   5.19 |  4.74 |  5.10 |  5.53 |   5.55 |  5.81 |   6.17 |  6.03 |  5.65 |  6.25 |   6.21 |   5.56 |   4.86 |   6.31 |   5.76 |  6.62 |   5.88 |  5.63 |  6.32 |   5.89 |  5.24 |   5.08 |   4.59 |   5.75 |   5.63 |  5.29 |   6.60 |   5.69 |   3.25 |  4.22 |  5.37 |
|        17 |  4.61 |  5.92 |  6.33 |  5.76 |  5.98 |  4.48 |   2.60 |  6.78 |   5.99 |   5.61 |  5.55 |  5.21 |  5.78 |   5.49 |  5.87 |   5.72 |  6.06 |  5.42 |  6.51 |   5.39 |   5.55 |   5.32 |   6.30 |   5.61 |  6.18 |   5.67 |  5.37 |  5.76 |   5.79 |  5.28 |   4.69 |   4.70 |   5.35 |   5.82 |  5.33 |   6.99 |   5.48 |   4.02 |  4.17 |  5.21 |
|        18 |  4.52 |  5.84 |  6.10 |  5.66 |  6.16 |  4.73 |   2.60 |  6.75 |   6.59 |   5.42 |  5.70 |  5.58 |  6.07 |   5.30 |  6.39 |   5.34 |  5.84 |  5.88 |  7.15 |   5.32 |   5.25 |   5.79 |   6.52 |   6.16 |  6.01 |   5.87 |  5.61 |  5.36 |   5.98 |  5.79 |   4.37 |   5.30 |   5.28 |   5.96 |  5.09 |   7.00 |   5.38 |   4.40 |  4.47 |  5.44 |
|        19 |  4.47 |  5.58 |  5.92 |  5.78 |  5.78 |  5.23 |   3.05 |  6.72 |   6.94 |   5.03 |  5.72 |  5.49 |  5.96 |   5.22 |  6.74 |   4.87 |  5.49 |  5.73 |  7.40 |   5.84 |   4.90 |   5.67 |   6.67 |   6.06 |  6.11 |   6.16 |  5.62 |  4.79 |   6.45 |  6.06 |   4.49 |   5.74 |   5.02 |   5.70 |  5.23 |   7.05 |   5.45 |   4.73 |  4.97 |  5.81 |
|        20 |  4.38 |  5.38 |  6.05 |  5.69 |  5.48 |  5.54 |   3.69 |  6.42 |   7.20 |   4.94 |  5.46 |  4.92 |  6.29 |   5.03 |  6.68 |   4.66 |  4.99 |  5.92 |  7.45 |   6.28 |   4.51 |   5.88 |   6.46 |   5.72 |  6.66 |   6.61 |  5.22 |  3.22 |   6.89 |  6.60 |   4.98 |   5.75 |   5.68 |   5.52 |  5.58 |   6.82 |   5.52 |   5.25 |  5.37 |  5.74 |
|        21 |  5.20 |  5.76 |  5.98 |  5.66 |  5.30 |  5.78 |   5.35 |  6.60 |   7.33 |   5.20 |  5.58 |  4.74 |  6.63 |   5.31 |  6.83 |   4.96 |  5.36 |  6.46 |  7.12 |   6.30 |   4.29 |   5.75 |   6.26 |   5.47 |  7.30 |   7.09 |  4.81 |  3.60 |   7.10 |  7.30 |   5.28 |   5.73 |   5.88 |   5.53 |  5.28 |   6.65 |   5.69 |   5.41 |  5.71 |  5.46 |
|        22 |  5.57 |  6.25 |  5.76 |  6.06 |  5.58 |  5.84 |   5.90 |  6.63 |   7.31 |   5.26 |  6.27 |  5.02 |  6.69 |   5.48 |  6.96 |   5.01 |  5.91 |  6.46 |  7.12 |   6.16 |   4.48 |   5.09 |   6.26 |   5.76 |  7.78 |   7.76 |  4.96 |  4.22 |   6.92 |  7.76 |   5.91 |   5.78 |   6.14 |   5.96 |  5.20 |   6.14 |   6.00 |   5.75 |  6.38 |  5.62 |
