# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |      6 |     7 |      8 |     9 |     10 |     11 |     12 |     13 |     14 |     15 |    16 |     17 |     18 |    19 |     20 |    21 |    22 |    23 |     24 |     25 |     26 |    27 |    28 |    29 |    30 |     31 |    32 |     33 |     34 |    35 |     36 |    37 |    38 |    39 |     40 |
|         1 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         2 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         3 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         4 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         5 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         6 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         7 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |
|         8 |  1.30 |  0.10 |     0 |     0 |     0 |      0 |     0 |      0 |  0.10 |   0.20 |      0 |   0.10 |      0 |      0 |   0.20 |     0 |   0.10 |      0 |  0.20 |   0.10 |     0 |  0.10 |     0 |   0.10 |      0 |   0.10 |     0 |  0.20 |     0 |  0.10 |   0.10 |     0 |   0.10 |      0 |  0.10 |   0.10 |     0 |     0 |     0 |      0 |
|         9 | 15.40 |  1.70 |  4.30 |  0.20 |  3.60 |   1.60 |  0.40 |   1.10 |  0.60 |  10.80 |   0.30 |   3.00 |   3.20 |   0.20 |   9.20 |  0.50 |   3.20 |   0.20 |  8.90 |   1.10 |  1.30 |  0.40 |  0.20 |   8.10 |   0.50 |   2.10 |  0.10 |  1.40 |  0.20 |  7.70 |   1.10 |  0.60 |   7.90 |   9.60 |  2.10 |   0.50 |  1.70 |  0.50 |  1.00 |      0 |
|        10 | 39.30 |  9.20 | 24.80 |  3.90 | 16.20 |   7.40 |  2.20 |   2.00 |  2.30 |  24.40 |   2.10 |   7.60 |  12.40 |   0.10 |  14.90 |  7.60 |   3.30 |   0.80 | 11.60 |   8.70 | 14.70 |  6.80 |  0.40 |  14.20 |   0.80 |   7.60 | 15.40 | 13.40 |  0.10 | 19.30 |   3.10 |  5.90 |  24.70 |  40.30 | 14.90 |  10.40 | 17.20 |  0.80 |  3.20 |   0.50 |
