# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |      2 |     3 |     4 |      5 |     6 |      7 |     8 |      9 |     10 |    11 |    12 |     13 |     14 |    15 |     16 |    17 |    18 |    19 |     20 |     21 |     22 |    23 |    24 |    25 |     26 |    27 |     28 |     29 |     30 |    31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |    39 |     40 |
|         0 |   7.68 |   8.22 |  8.08 |  8.68 |   8.61 |  7.80 |   8.17 |  8.41 |   8.10 |   8.11 |  8.19 |  8.22 |   7.81 |   7.85 |  8.25 |   7.92 |  9.55 |  8.25 |  7.96 |   8.22 |   7.61 |   7.56 |  9.01 |  8.22 |  8.86 |   8.32 |  7.71 |   7.95 |   7.69 |   8.10 |  8.06 |   8.16 |   9.00 |   8.48 |   9.22 |   7.84 |   8.45 |   8.42 |  7.52 |   8.07 |
|         1 |   8.24 |   8.47 |  9.25 |  8.78 |   9.39 |  8.74 |   8.31 |  8.57 |   8.51 |   8.77 |  8.71 |  8.64 |   8.09 |   8.38 |  8.76 |   8.74 |  9.80 |  8.77 |  8.25 |   8.86 |   8.49 |   8.36 |  9.74 |  8.25 |  9.41 |   8.50 |  7.93 |   9.08 |   8.25 |   8.61 |  9.31 |   8.77 |   9.52 |   8.62 |   9.67 |   7.83 |   8.72 |   8.69 |  7.57 |   8.51 |
|         2 |   8.37 |   8.63 |  9.62 |  8.96 |   9.67 |  8.81 |   8.36 |  8.09 |   9.07 |   8.98 |  8.64 |  8.87 |   8.43 |   8.80 |  9.12 |   8.97 |  9.13 |  9.00 |  8.67 |   9.67 |   9.02 |   9.18 |  9.86 |  7.97 |  9.54 |   9.18 |  7.71 |   9.53 |   8.36 |   8.86 |  9.61 |   8.49 |   9.70 |   8.63 |  10.16 |   8.26 |   9.10 |   8.49 |  7.73 |   9.20 |
|         3 |   7.53 |   8.33 |  9.15 |  8.63 |   8.93 |  8.09 |   8.36 |  7.80 |   8.80 |   8.71 |  8.04 |  9.01 |   8.08 |   8.63 |  8.80 |   9.25 |  8.90 |  8.61 |  8.43 |   9.43 |   8.73 |   9.14 |  9.37 |  7.68 |  9.10 |   8.89 |  7.47 |   8.78 |   7.98 |   8.67 |  9.47 |   7.63 |   9.17 |   8.45 |   9.70 |   8.35 |   8.95 |   7.93 |  7.72 |   9.36 |
|         4 |   5.46 |   8.49 |  8.91 |  8.41 |   8.72 |  6.56 |   8.06 |  7.49 |   8.56 |   7.70 |  7.65 |  9.10 |   7.67 |   8.26 |  8.49 |   9.04 |  8.36 |  7.91 |  7.92 |   9.01 |   8.65 |   8.92 |  9.64 |  8.07 |  9.13 |   8.76 |  7.10 |   8.57 |   7.27 |   8.65 |  9.44 |   6.05 |   8.73 |   7.67 |   9.08 |   8.07 |   8.73 |   7.84 |  7.26 |   8.85 |
|         5 |   1.66 |   7.78 |  7.13 |  8.29 |   7.54 |  3.76 |   5.45 |  6.30 |   6.78 |   5.62 |  7.01 |  7.43 |   6.22 |   7.91 |  6.25 |   8.07 |  6.55 |  6.56 |  5.79 |   7.39 |   7.76 |   8.15 |  9.21 |  5.91 |  8.00 |   7.94 |  7.08 |   7.91 |   6.18 |   7.98 |  8.39 |   3.45 |   7.65 |   5.39 |   7.14 |   7.32 |   6.86 |   6.38 |  6.17 |   8.15 |
|         6 |   0.58 |   5.57 |  4.39 |  7.05 |   5.02 |  2.59 |   2.88 |  4.23 |   4.89 |   3.01 |  5.56 |  4.79 |   2.77 |   7.03 |  3.14 |   6.39 |  4.47 |  4.44 |  1.85 |   5.14 |   4.99 |   4.94 |  7.50 |  3.23 |  6.10 |   5.23 |  5.30 |   5.21 |   4.11 |   5.28 |  6.58 |   2.13 |   5.21 |   2.76 |   2.97 |   5.13 |   4.54 |   4.34 |  3.16 |   7.40 |
|         7 |   3.79 |   4.45 |  3.17 |  4.68 |   3.54 |  2.01 |   1.52 |  2.77 |   4.45 |   3.09 |  5.25 |  2.48 |   0.11 |   5.74 |  2.27 |   2.80 |  3.23 |  3.37 |  0.70 |   3.64 |   0.56 |   1.71 |  5.03 |  3.43 |  4.48 |   3.76 |  2.96 |   3.32 |   2.81 |   3.69 |  5.06 |   1.82 |   3.70 |   1.28 |   1.50 |   1.63 |   4.08 |   3.90 |  1.90 |   5.23 |
|         8 |   2.48 |   3.14 |  3.06 |  3.11 |   2.25 |  1.26 |   1.43 |  1.87 |   3.54 |   2.97 |  4.27 |  2.48 |   1.40 |   4.47 |  2.46 |   1.65 |  2.75 |  3.82 |  2.53 |   2.42 |   1.39 |   2.50 |  3.36 |  3.27 |  3.47 |   3.49 |  2.76 |   2.76 |   2.28 |   2.48 |  4.87 |   1.15 |   3.80 |   1.08 |   1.13 |   1.59 |   3.00 |   3.03 |  1.40 |   2.64 |
|         9 |   1.27 |   2.25 |  2.45 |  2.26 |   1.63 |  0.62 |   1.51 |  1.39 |   2.03 |   2.15 |  2.80 |  2.12 |   2.28 |   2.98 |  2.16 |   2.41 |  1.86 |  3.06 |  1.44 |   1.75 |   2.03 |   1.90 |  2.16 |  1.71 |  2.63 |   3.28 |  3.58 |   1.93 |   1.97 |   1.67 |  4.32 |   0.11 |   3.00 |   1.25 |   1.02 |   1.76 |   1.49 |   2.06 |  1.28 |   2.53 |
