# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |      3 |      4 |     5 |     6 |      7 |      8 |     9 |     10 |     11 |    12 |    13 |    14 |    15 |     16 |     17 |     18 |     19 |    20 |    21 |    22 |    23 |     24 |    25 |     26 |     27 |    28 |     29 |    30 |    31 |     32 |     33 |     34 |    35 |     36 |    37 |     38 |    39 |     40 |
|         1 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         2 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         3 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         4 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         5 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         6 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         7 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         8 |   0.20 |  0.40 |   2.20 |   2.80 |  0.20 |  1.70 |   0.80 |   0.50 |  1.30 |   0.90 |   1.80 |     0 |  0.40 |  1.00 |  0.40 |   2.00 |   2.10 |   1.30 |   1.40 |  1.10 |  1.20 |  0.90 |  0.20 |   2.30 |  1.50 |   2.20 |   2.00 |  2.80 |   2.70 |  0.10 |  1.70 |   1.50 |   2.00 |   2.00 |  0.70 |   3.80 |  1.70 |   3.40 |  1.00 |   2.00 |
|         9 |   7.80 |  4.50 |  30.70 |  30.80 |  3.60 | 15.70 |   6.70 |  15.50 | 17.90 |  18.40 |  26.50 |  4.60 |  6.00 | 17.70 | 10.70 |  25.00 |  23.40 |  18.20 |  20.40 | 11.20 | 14.80 | 15.30 |  6.00 |  38.40 | 18.80 |  29.70 |  31.10 | 34.50 |  35.70 |  3.70 | 21.50 |  25.10 |  30.60 |  32.90 | 12.50 |  43.60 | 21.50 |  40.30 | 12.00 |  29.70 |
|        10 |  18.90 | 19.80 |  80.80 |  68.00 | 14.40 | 35.70 |  12.20 |  56.10 | 49.40 |  59.20 |  76.00 | 12.80 | 24.80 | 52.50 | 38.20 |  67.90 |  66.00 |  52.90 |  64.70 | 32.70 | 40.20 | 46.20 | 19.70 |  98.20 | 48.10 |  80.20 |  77.20 | 76.50 |  85.50 | 22.10 | 49.60 |  68.40 |  85.70 |  90.00 | 39.20 |  98.50 | 46.20 |  92.10 | 37.80 |  79.60 |
