# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |      2 |      3 |     4 |      5 |     6 |      7 |     8 |     9 |     10 |     11 |    12 |     13 |    14 |    15 |     16 |     17 |    18 |    19 |    20 |    21 |     22 |     23 |    24 |    25 |     26 |     27 |    28 |     29 |    30 |     31 |    32 |     33 |    34 |     35 |     36 |    37 |     38 |    39 |     40 |
|         0 | -4.77 |  -4.82 |  -5.15 | -5.24 |  -5.01 | -5.05 |  -4.69 | -4.11 | -5.01 |  -5.06 |  -4.14 | -4.14 |  -4.58 | -4.34 | -5.03 |  -4.55 |  -4.85 | -4.06 | -4.98 | -5.17 | -4.55 |  -4.20 |  -4.34 | -3.60 | -4.00 |  -4.31 |  -5.21 | -4.95 |  -4.42 | -4.34 |  -3.95 | -4.52 |  -4.87 | -4.67 |  -4.61 |  -4.88 | -4.83 |  -5.17 | -4.62 |  -4.51 |
|         1 | -5.12 |  -4.78 |  -5.31 | -5.02 |  -5.12 | -5.49 |  -4.72 | -4.54 | -4.85 |  -5.38 |  -4.08 | -4.00 |  -4.71 | -4.39 | -4.95 |  -4.81 |  -4.86 | -4.08 | -5.39 | -5.29 | -4.42 |  -4.39 |  -4.66 | -3.87 | -3.78 |  -4.39 |  -4.96 | -5.20 |  -4.78 | -4.57 |  -4.01 | -4.75 |  -5.04 | -4.67 |  -4.75 |  -5.20 | -4.78 |  -4.55 | -4.69 |  -4.33 |
|         2 | -5.38 |  -4.75 |  -5.43 | -4.96 |  -5.27 | -5.76 |  -5.09 | -4.59 | -5.22 |  -5.42 |  -4.37 | -4.32 |  -4.58 | -4.42 | -4.96 |  -4.95 |  -4.96 | -4.40 | -5.73 | -5.31 | -4.47 |  -4.63 |  -4.92 | -3.89 | -4.08 |  -4.74 |  -5.23 | -5.08 |  -4.85 | -4.71 |  -4.34 | -5.04 |  -5.03 | -4.79 |  -4.71 |  -5.28 | -4.76 |  -4.76 | -4.78 |  -4.46 |
|         3 | -5.28 |  -4.91 |  -5.34 | -4.72 |  -5.29 | -5.94 |  -5.07 | -4.35 | -5.37 |  -5.33 |  -4.62 | -4.17 |  -4.75 | -4.38 | -5.00 |  -5.09 |  -4.94 | -4.79 | -5.77 | -5.33 | -4.40 |  -4.56 |  -4.95 | -4.15 | -4.32 |  -4.54 |  -5.47 | -4.90 |  -4.91 | -4.57 |  -4.39 | -5.33 |  -4.84 | -5.01 |  -4.54 |  -5.34 | -4.69 |  -5.15 | -4.69 |  -4.62 |
|         4 | -5.19 |  -5.01 |  -5.28 | -4.52 |  -5.26 | -6.13 |  -4.72 | -4.25 | -5.48 |  -5.26 |  -4.84 | -4.10 |  -4.63 | -4.45 | -4.92 |  -5.24 |  -4.92 | -5.02 | -5.57 | -5.32 | -4.39 |  -4.61 |  -4.95 | -4.46 | -4.14 |  -4.46 |  -5.47 | -4.72 |  -5.02 | -4.50 |  -4.59 | -5.32 |  -4.87 | -5.25 |  -4.31 |  -5.56 | -4.71 |  -5.45 | -4.55 |  -4.88 |
|         5 | -5.23 |  -5.20 |  -5.32 | -4.53 |  -5.41 | -5.97 |  -4.53 | -4.27 | -5.51 |  -5.36 |  -4.89 | -4.11 |  -4.76 | -4.68 | -4.97 |  -5.33 |  -4.95 | -4.96 | -5.50 | -5.08 | -4.49 |  -4.77 |  -5.00 | -4.72 | -4.26 |  -4.44 |  -5.55 | -4.81 |  -5.21 | -4.71 |  -4.72 | -5.53 |  -5.11 | -5.46 |  -4.31 |  -5.69 | -4.89 |  -5.89 | -4.42 |  -5.20 |
|         6 | -5.16 |  -5.36 |  -5.37 | -4.63 |  -5.61 | -5.80 |  -4.71 | -4.28 | -5.61 |  -5.47 |  -4.99 | -4.22 |  -5.13 | -4.71 | -4.94 |  -5.30 |  -5.01 | -4.94 | -5.61 | -4.85 | -4.60 |  -4.99 |  -5.16 | -4.94 | -4.46 |  -4.59 |  -5.58 | -4.76 |  -5.47 | -4.70 |  -4.72 | -5.70 |  -5.27 | -5.73 |  -4.52 |  -5.51 | -5.01 |  -6.01 | -4.36 |  -5.18 |
|         7 | -5.16 |  -5.61 |  -5.47 | -4.89 |  -5.66 | -5.90 |  -4.91 | -4.34 | -5.64 |  -5.58 |  -5.34 | -4.46 |  -5.46 | -5.11 | -4.89 |  -5.24 |  -5.08 | -5.15 | -5.75 | -4.88 | -4.88 |  -5.20 |  -5.60 | -4.85 | -4.51 |  -4.83 |  -5.62 | -4.87 |  -5.68 | -5.03 |  -4.87 | -5.65 |  -5.21 | -5.84 |  -4.81 |  -5.41 | -5.28 |  -6.18 | -4.19 |  -5.04 |
|         8 | -5.28 |  -6.00 |  -5.77 | -4.86 |  -5.58 | -5.82 |  -5.00 | -4.44 | -5.48 |  -5.75 |  -5.49 | -4.76 |  -5.61 | -5.47 | -4.95 |  -5.30 |  -5.24 | -5.36 | -5.63 | -5.14 | -4.90 |  -5.29 |  -5.95 | -4.49 | -4.60 |  -4.76 |  -5.79 | -5.11 |  -5.75 | -5.26 |  -5.12 | -5.80 |  -5.14 | -6.00 |  -4.74 |  -5.44 | -5.51 |  -6.35 | -4.06 |  -4.90 |
|         9 | -5.28 |  -6.22 |  -6.08 | -4.93 |  -5.69 | -5.46 |  -5.11 | -4.43 | -5.36 |  -6.01 |  -6.28 | -4.77 |  -5.71 | -4.89 | -5.42 |  -5.40 |  -5.52 | -5.49 | -5.70 | -5.47 | -4.57 |  -5.66 |  -5.48 | -4.13 | -4.78 |  -5.65 |  -5.88 | -5.03 |  -5.79 | -5.23 |  -5.31 | -6.43 |  -5.02 | -6.21 |  -4.85 |  -5.70 | -5.49 |  -6.63 | -4.11 |  -5.07 |
