# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |     15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |     28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |     40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         8 |  0.10 |  0.30 |  0.70 |     0 |     0 |  0.40 |     0 |  0.30 |  0.30 |  0.10 |  0.30 |     0 |     0 |  0.20 |   1.10 |  0.10 |  0.10 |  0.30 |  0.60 |  0.20 |  0.10 |  0.40 |  0.10 |  0.10 |  0.60 |  0.10 |  0.30 |   0.10 |  0.20 |     0 |  0.10 |     0 |  0.30 |  0.20 |     0 |  0.10 |  0.20 |     0 |     0 |      0 |
|         9 |  0.90 | 11.40 |  3.40 |  1.70 |  0.10 | 10.10 |  1.00 |  0.40 |  8.80 |  5.10 |  5.80 |  0.30 |     0 |  2.30 |   5.60 |  2.30 |  2.80 |  3.40 |  9.50 |  0.70 |  3.70 |  1.60 |  1.30 |  0.70 | 16.10 |     0 |  0.20 |   0.90 |  1.80 |  0.10 |  4.10 |     0 |  0.70 |  0.70 |  0.20 |  0.60 |  1.90 |  0.20 |  2.10 |   0.10 |
|        10 |  0.30 | 51.60 |  9.90 |  2.40 |  0.40 | 20.90 | 10.50 |  0.60 | 28.60 | 22.20 | 20.00 |  2.20 |     0 |  8.30 |  31.80 | 11.50 |  4.80 | 10.20 | 18.10 |  9.90 | 22.80 |  2.90 |  3.00 |  1.20 | 19.60 |  0.60 |  0.60 |   3.70 |  7.20 |  0.20 | 11.60 | 14.30 |  4.40 |  0.30 |  0.80 |  3.90 |  4.50 |  0.30 |  3.80 |   0.70 |
