# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |     21 |    22 |    23 |     24 |    25 |    26 |    27 |     28 |    29 |    30 |    31 |     32 |    33 |    34 |    35 |     36 |    37 |     38 |    39 |     40 |
|         1 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         2 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         3 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         4 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         5 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         6 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         7 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |      0 |
|         8 |   1.80 |   0.50 |   0.20 |     0 |  1.00 |  2.10 |  0.30 |     0 |     0 |     0 |  2.20 |  0.70 |  0.20 |     0 |  0.40 |     0 |     0 |  0.60 |  0.50 |  0.20 |   0.60 |  0.20 |  3.00 |   1.10 |  1.90 |  0.20 |  0.10 |   0.70 |  0.30 |     0 |  0.90 |      0 |     0 |  0.50 |  1.00 |   1.50 |     0 |   0.80 |  0.10 |   0.40 |
|         9 |  28.90 |   9.90 |   6.80 |  6.00 | 16.00 | 30.70 | 14.30 |  2.70 |  4.00 |  0.20 | 32.40 |  9.20 |  9.50 |  2.20 |  7.40 |  0.90 |  1.90 |  6.20 |  5.40 |  7.60 |   9.70 |  7.30 | 36.40 |  30.60 | 31.40 |  0.70 |  2.70 |  18.50 |  9.10 |  0.10 | 24.90 |  23.80 |  4.90 | 12.00 | 14.60 |  36.30 |  3.90 |  15.10 |  0.40 |  26.40 |
|        10 |  70.00 |  45.60 |  36.10 | 37.20 | 37.60 | 59.80 | 52.40 |  4.00 | 26.90 | 10.10 | 67.20 | 23.60 | 22.30 |  2.40 | 36.50 |  5.60 | 10.10 | 23.30 | 21.00 | 27.80 |  42.20 | 24.70 | 78.10 |  89.50 | 68.70 |  3.80 | 23.90 |  58.10 | 30.70 |  0.40 | 58.50 |  87.20 | 36.30 | 41.50 | 25.70 |  91.70 | 12.80 |  47.10 |  2.40 |  75.60 |
