# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |    1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | 4.48 |  3.92 |  4.36 |  2.38 |  3.72 |  4.92 |  3.36 |  3.25 |  3.62 |  2.94 |  4.68 |  4.46 |  3.29 |  2.95 |  4.09 |  4.68 |  2.19 |  7.84 |  2.53 |  4.18 |  3.63 |  4.51 |  2.37 |  4.49 |  7.09 |  2.52 |  3.67 |  3.83 |  3.42 |  3.53 |  3.06 |  1.83 |  5.30 |  3.26 |  2.16 |  6.17 |  4.80 |  3.22 |  2.15 |  4.05 |
|         1 | 4.64 |  4.99 |  5.16 |  2.15 |  3.93 |  5.34 |  3.59 |  3.06 |  3.81 |  2.95 |  5.68 |  3.78 |  2.85 |  3.04 |  4.93 |  5.44 |  4.25 |  8.28 |  2.75 |  4.31 |  3.83 |  4.85 |  2.70 |  4.56 |  8.31 |  3.19 |  3.96 |  3.93 |  3.25 |  3.05 |  3.59 |  3.01 |  5.50 |  3.73 |  2.81 |  5.69 |  5.39 |  4.03 |  2.60 |  4.48 |
|         2 | 5.36 |  6.02 |  6.27 |  2.95 |  5.33 |  6.42 |  4.23 |  3.79 |  4.68 |  3.52 |  6.87 |  3.46 |  2.78 |  4.25 |  6.35 |  6.72 |  5.74 |  8.05 |  3.96 |  4.91 |  4.82 |  5.77 |  2.80 |  4.97 |  8.43 |  4.03 |  4.16 |  5.96 |  3.68 |  3.47 |  4.53 |  4.03 |  5.91 |  4.16 |  4.85 |  5.78 |  6.13 |  5.72 |  4.74 |  5.07 |
|         3 | 6.02 |  6.87 |  7.78 |  3.53 |  5.96 |  7.28 |  4.70 |  5.24 |  6.11 |  5.24 |  8.07 |  3.68 |  4.22 |  4.85 |  6.74 |  7.71 |  6.94 |  8.30 |  5.19 |  6.15 |  6.45 |  6.36 |  3.28 |  5.53 |  8.60 |  5.72 |  4.76 |  6.45 |  4.13 |  3.99 |  5.69 |  5.54 |  7.02 |  6.01 |  7.10 |  6.16 |  6.92 |  8.11 |  6.03 |  6.12 |
|         4 | 8.36 |  7.23 |  8.32 |  4.60 |  6.46 |  8.59 |  4.93 |  6.36 |  7.13 |  5.37 |  8.62 |  4.76 |  5.80 |  5.40 |  6.71 |  8.23 |  7.28 |  7.71 |  5.52 |  7.44 |  6.99 |  6.45 |  4.23 |  5.70 |  8.28 |  4.98 |  6.05 |  6.61 |  3.98 |  4.22 |  6.23 |  6.23 |  8.72 |  6.22 |  8.23 |  5.90 |  7.43 |  9.04 |  6.87 |  6.46 |
|         5 | 8.86 |  7.14 |  8.48 |  4.68 |  6.95 |  9.13 |  5.50 |  7.23 |  7.11 |  5.84 |  8.53 |  5.14 |  6.62 |  5.66 |  6.96 |  8.63 |  7.16 |  7.00 |  6.29 |  7.74 |  7.84 |  6.90 |  5.40 |  5.62 |  7.85 |  4.64 |  6.25 |  7.26 |  4.55 |  5.95 |  7.10 |  7.91 |  9.82 |  6.32 |  8.01 |  5.89 |  8.38 |  9.39 |  6.70 |  6.83 |
|         6 | 8.82 |  7.78 |  8.89 |  5.87 |  7.12 |  8.96 |  6.04 |  7.97 |  7.00 |  6.96 |  7.91 |  5.67 |  7.86 |  6.19 |  7.83 |  8.86 |  7.45 |  6.60 |  6.73 |  8.19 |  8.23 |  6.52 |  5.87 |  5.84 |  8.19 |  4.32 |  7.00 |  7.39 |  5.08 |  5.44 |  6.75 |  7.98 |  9.96 |  5.70 |  7.58 |  6.32 |  8.53 |  9.26 |  6.97 |  7.63 |
|         7 | 8.04 |  8.22 |  9.40 |  5.99 |  6.44 |  7.75 |  7.78 |  8.60 |  7.12 |  6.88 |  7.22 |  6.16 |  7.08 |  8.03 |  8.37 |  9.53 |  8.16 |  7.70 |  6.81 |  8.36 |  8.09 |  6.88 |  5.32 |  6.16 |  7.45 |  4.62 |  7.81 |  8.86 |  5.44 |  6.02 |  6.18 |  8.69 |  9.98 |  5.81 |  7.56 |  6.66 |  9.00 |  8.71 |  7.41 |  7.87 |
|         8 | 6.84 |  8.28 |  9.24 |  6.08 |  6.81 |  6.88 |  8.82 |  9.49 |  7.53 |  6.94 |  7.06 |  7.15 |  7.40 |  8.79 |  8.89 | 10.05 |  8.73 |  7.64 |  7.68 |  8.56 |  7.11 |  7.96 |  4.77 |  6.36 |  7.48 |  5.12 |  8.58 |  8.13 |  6.20 |  7.45 |  5.63 |  8.57 | 10.14 |  7.25 |  7.37 |  7.01 |  8.83 |  7.79 |  7.90 |  7.85 |
|         9 | 7.18 |  9.50 | 10.00 |  7.27 |  8.61 |  8.10 |  8.80 |  9.88 |  8.34 |  7.25 |  7.68 |  9.25 |  8.99 |  9.22 |  9.68 | 10.53 |  9.62 |  7.48 |  7.58 |  8.75 |  7.51 | 10.52 |  5.37 |  7.03 |  7.59 |  7.23 |  8.93 |  8.50 |  7.93 |  8.53 |  6.13 |  7.62 | 10.51 |  9.00 |  9.35 |  7.35 |  8.75 |  8.44 |  8.85 |  8.02 |
