# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |      7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -2.08 | -1.41 | -2.55 | -2.81 | -2.76 | -2.44 |  -3.26 | -2.80 | -2.45 | -2.83 | -2.35 | -2.41 | -2.13 | -2.55 | -2.35 | -2.77 | -2.06 | -2.60 | -2.50 | -1.70 | -2.09 | -1.89 | -3.08 | -2.66 | -1.97 | -2.42 | -2.11 | -2.55 | -2.70 | -2.54 | -1.65 | -2.29 | -2.89 | -3.06 | -2.91 | -2.15 | -1.69 | -2.78 | -2.51 | -2.48 |
|         1 | -2.04 | -1.46 | -2.56 | -2.78 | -2.86 | -2.34 |  -3.36 | -2.72 | -2.52 | -2.76 | -2.27 | -2.47 | -2.07 | -2.55 | -2.43 | -2.64 | -1.92 | -2.76 | -2.33 | -1.72 | -2.18 | -1.89 | -3.02 | -2.77 | -2.08 | -2.40 | -2.05 | -2.55 | -2.79 | -2.47 | -1.68 | -2.24 | -2.92 | -3.12 | -2.65 | -2.28 | -1.80 | -2.74 | -2.42 | -2.58 |
|         2 | -1.90 | -1.52 | -2.54 | -2.67 | -2.87 | -2.30 |  -3.27 | -2.66 | -2.77 | -2.70 | -2.16 | -2.47 | -2.03 | -2.53 | -2.36 | -2.59 | -1.84 | -2.87 | -2.13 | -1.80 | -2.17 | -1.85 | -2.91 | -2.83 | -2.09 | -2.34 | -2.09 | -2.57 | -2.88 | -2.40 | -1.75 | -2.15 | -2.84 | -3.04 | -2.52 | -2.34 | -1.86 | -2.71 | -2.34 | -2.68 |
|         3 | -1.85 | -1.55 | -2.46 | -2.66 | -2.80 | -2.23 |  -3.16 | -2.61 | -2.84 | -2.67 | -2.11 | -2.31 | -1.99 | -2.41 | -2.29 | -2.59 | -1.79 | -2.97 | -1.94 | -1.82 | -2.17 | -1.83 | -2.76 | -2.80 | -2.01 | -2.35 | -2.05 | -2.58 | -2.90 | -2.29 | -1.83 | -2.06 | -2.78 | -3.01 | -2.46 | -2.33 | -1.89 | -2.69 | -2.36 | -2.78 |
|         4 | -1.78 | -1.60 | -2.40 | -2.62 | -2.72 | -2.16 |  -3.07 | -2.54 | -2.86 | -2.70 | -2.06 | -2.18 | -1.93 | -2.26 | -2.21 | -2.50 | -1.76 | -2.97 | -1.87 | -1.84 | -2.16 | -1.87 | -2.71 | -2.73 | -1.97 | -2.22 | -1.98 | -2.48 | -2.74 | -2.15 | -1.87 | -2.04 | -2.65 | -2.93 | -2.45 | -2.32 | -1.90 | -2.56 | -2.36 | -2.75 |
|         5 | -1.77 | -1.63 | -2.34 | -2.57 | -2.60 | -2.11 |  -2.94 | -2.58 | -2.79 | -2.60 | -1.99 | -2.07 | -1.83 | -2.15 | -2.10 | -2.36 | -1.75 | -2.98 | -1.82 | -1.86 | -2.04 | -1.78 | -2.48 | -2.66 | -1.90 | -2.04 | -1.90 | -2.33 | -2.58 | -1.95 | -1.88 | -2.09 | -2.57 | -2.84 | -2.52 | -2.25 | -1.89 | -2.54 | -2.36 | -2.68 |
|         6 | -1.79 | -1.51 | -2.24 | -2.48 | -2.38 | -2.05 |  -2.75 | -2.48 | -2.55 | -2.42 | -1.86 | -1.94 | -1.67 | -2.04 | -1.92 | -2.29 | -1.63 | -2.87 | -1.71 | -1.80 | -1.83 | -1.64 | -2.26 | -2.50 | -1.80 | -1.95 | -1.76 | -2.20 | -2.40 | -1.77 | -1.74 | -2.11 | -2.44 | -2.63 | -2.46 | -2.19 | -1.84 | -2.45 | -2.36 | -2.55 |
|         7 | -1.79 | -1.38 | -2.06 | -2.29 | -2.18 | -1.95 |  -2.51 | -2.31 | -2.35 | -2.20 | -1.79 | -1.85 | -1.55 | -2.05 | -1.76 | -2.30 | -1.56 | -2.76 | -1.58 | -1.67 | -1.74 | -1.47 | -2.09 | -2.35 | -1.69 | -1.84 | -1.61 | -2.09 | -2.25 | -1.73 | -1.58 | -2.11 | -2.26 | -2.45 | -2.30 | -2.00 | -1.69 | -2.40 | -2.24 | -2.40 |
|         8 | -1.67 | -1.27 | -1.86 | -2.09 | -1.98 | -1.80 |  -2.30 | -2.07 | -2.15 | -1.99 | -1.70 | -1.64 | -1.43 | -1.90 | -1.52 | -2.14 | -1.47 | -2.60 | -1.43 | -1.46 | -1.57 | -1.29 | -1.90 | -2.14 | -1.51 | -1.70 | -1.49 | -1.91 | -2.02 | -1.65 | -1.45 | -2.00 | -2.04 | -2.30 | -2.13 | -1.84 | -1.47 | -2.24 | -2.01 | -2.21 |
|         9 | -1.32 | -0.99 | -1.45 | -1.69 | -1.55 | -1.44 |  -1.90 | -1.52 | -1.77 | -1.59 | -1.32 | -1.25 | -1.10 | -1.49 | -1.15 | -1.79 | -1.15 | -2.12 | -1.10 | -1.08 | -1.21 | -0.96 | -1.45 | -1.77 | -1.11 | -1.40 | -1.11 | -1.52 | -1.53 | -1.36 | -1.02 | -1.66 | -1.63 | -1.94 | -1.75 | -1.49 | -1.07 | -1.75 | -1.60 | -1.79 |
|        10 | -0.95 | -0.65 | -0.93 | -1.22 | -1.14 | -1.03 |  -1.39 | -0.92 | -1.25 | -1.08 | -0.86 | -0.76 | -0.75 | -1.04 | -0.73 | -1.34 | -0.72 | -1.56 | -0.64 | -0.70 | -0.87 | -0.61 | -0.90 | -1.31 | -0.76 | -0.97 | -0.64 | -1.07 | -0.98 | -0.91 | -0.62 | -1.20 | -1.16 | -1.42 | -1.22 | -1.17 | -0.62 | -1.27 | -1.04 | -1.28 |
|        11 | -0.63 | -0.35 | -0.44 | -0.76 | -0.79 | -0.57 |  -0.90 | -0.49 | -0.81 | -0.64 | -0.37 | -0.49 | -0.42 | -0.57 | -0.42 | -0.95 | -0.31 | -1.13 | -0.24 | -0.30 | -0.52 | -0.27 | -0.53 | -0.86 | -0.46 | -0.55 | -0.17 | -0.68 | -0.55 | -0.47 | -0.31 | -0.80 | -0.74 | -0.85 | -0.68 | -0.87 | -0.27 | -0.71 | -0.61 | -0.75 |
|        12 | -0.40 | -0.18 | -0.03 | -0.38 | -0.50 | -0.20 |  -0.54 | -0.22 | -0.52 | -0.38 | -0.02 | -0.23 | -0.14 | -0.15 | -0.18 | -0.64 | -0.02 | -0.82 |  0.04 |  0.05 | -0.41 | -0.43 | -0.32 | -0.49 | -0.28 | -0.22 |  0.20 | -0.44 | -0.32 | -0.08 | -0.13 | -0.62 | -0.44 | -0.42 | -0.24 | -0.60 |     0 | -0.28 | -0.07 | -0.38 |
|        13 | -0.25 | -0.04 |  0.20 | -0.18 | -0.36 |     0 |  -0.55 | -0.23 | -0.28 | -0.21 |  0.31 | -0.10 |  0.10 |  0.01 |  0.06 | -0.45 | -0.55 | -0.59 |  0.23 |  0.20 | -0.93 | -0.55 | -0.47 | -0.32 | -0.21 | -0.01 |  0.43 | -0.27 | -0.20 |  0.25 | -0.11 | -0.42 | -0.26 | -0.83 |  0.03 | -0.33 |  0.30 | -0.07 |  0.31 | -0.13 |
|        14 | -0.51 |  0.10 |  0.25 | -0.11 | -0.29 |  0.09 |  -0.97 | -0.67 | -0.75 | -0.14 |  0.47 | -0.08 |  0.17 |  0.06 |  0.23 | -0.45 | -0.25 | -0.53 |  0.23 |  0.16 | -0.16 | -0.15 | -0.49 | -0.27 | -0.14 |  0.03 |  0.50 | -0.92 | -0.16 |  0.39 |  0.06 | -0.31 | -0.27 | -0.61 |  0.13 | -0.25 |  0.42 |  0.03 |  0.46 | -0.08 |
|        15 | -0.51 |  0.12 |  0.21 | -0.17 | -0.31 |    -0 |  -1.04 | -0.79 | -0.77 | -0.12 |  0.43 | -0.18 |  0.18 |  0.11 |  0.30 | -0.50 |  0.02 | -0.49 |  0.16 | -0.32 |  0.12 | -0.08 | -0.32 | -1.00 |  0.05 |  0.11 |  0.48 | -1.02 | -0.20 |  0.32 |  0.09 | -0.22 | -0.41 | -0.59 |  0.17 | -0.30 |  0.42 |  0.05 |  0.42 | -0.16 |
|        16 | -0.52 |  0.14 |  0.15 | -0.39 | -0.40 | -0.13 |  -1.05 | -0.78 | -0.79 | -0.70 |  0.43 | -0.24 |  0.24 |  0.03 |  0.38 | -0.60 |  0.13 | -0.50 | -0.14 | -0.45 |  0.12 | -0.63 | -0.32 | -1.01 |  0.12 |    -0 |  0.43 | -0.83 | -0.30 | -0.42 | -0.91 | -0.24 | -0.34 | -0.65 |  0.11 | -0.22 |  0.38 | -0.03 | -0.66 | -0.45 |
|        17 | -0.68 | -0.84 | -0.89 | -0.48 | -0.70 | -0.68 |  -0.99 | -0.67 | -0.83 | -0.80 |  0.23 | -0.43 |  0.07 | -0.56 |  0.25 | -0.68 | -0.75 | -0.72 | -0.69 | -0.68 | -0.64 | -0.54 | -0.50 | -0.80 | -0.47 | -0.46 |  0.15 | -0.84 | -0.87 | -0.31 | -0.83 | -0.24 | -0.73 | -0.76 |  0.05 | -0.41 |  0.29 |     0 | -0.76 | -0.93 |
|        18 | -0.89 | -0.80 | -0.88 | -0.64 | -0.85 | -0.78 |  -1.03 | -0.47 | -0.76 | -0.64 | -0.29 | -0.88 | -0.58 | -0.36 | -0.32 | -0.86 | -0.61 | -1.01 | -0.54 | -0.49 | -0.79 | -0.34 | -0.81 | -0.63 | -0.31 | -0.61 | -0.44 | -0.86 | -0.64 | -0.10 | -0.60 | -0.86 | -1.01 | -0.97 |  0.11 | -0.33 | -0.30 | -0.16 | -0.70 | -0.79 |
|        19 | -0.77 | -0.57 | -0.61 | -0.78 | -0.62 | -0.55 |  -0.83 | -0.37 | -0.49 | -0.52 | -0.44 | -0.80 | -0.50 | -0.12 | -0.08 | -0.71 | -0.39 | -1.19 | -0.42 | -0.33 | -0.53 | -0.12 | -0.58 | -1.10 | -0.09 | -0.25 | -0.42 | -0.65 | -0.44 |  0.47 | -0.32 | -0.83 | -0.75 | -0.78 | -0.31 | -0.08 | -0.07 | -0.43 | -0.44 | -0.55 |
|        20 | -0.65 | -0.27 | -0.30 | -0.45 | -0.47 | -0.22 |  -0.46 | -0.23 | -0.22 | -0.20 |  0.05 | -0.68 | -0.32 |  0.13 |  0.38 | -0.46 | -0.14 | -1.02 | -0.22 | -0.06 | -0.25 |  0.23 | -0.46 | -0.69 | -0.24 |  0.10 | -0.11 | -0.29 | -0.15 |  0.75 |  0.07 | -0.81 | -0.46 | -0.37 | -0.41 |  0.31 |  0.51 | -0.29 | -0.03 | -0.28 |
|        21 | -0.46 | -0.07 | -0.01 | -0.02 | -0.28 |  0.05 |      0 | -0.09 |  0.19 |  0.30 |  0.64 | -0.48 |  0.02 |  0.25 |  0.89 | -0.24 |  0.18 | -0.80 |  0.05 |  0.52 |  0.16 |  0.79 | -0.35 | -0.26 |  0.14 |  0.33 |  0.31 | -0.02 |  0.18 |  1.16 |  0.64 | -0.74 | -0.13 | -0.06 | -0.31 |  0.61 |  0.69 |  0.13 |  0.39 | -0.02 |
|        22 |  0.02 |  0.28 |  0.26 |  0.14 |  0.07 |  0.31 |   0.30 |  0.32 |  0.60 |  0.67 |  0.93 | -0.24 |  0.32 |  0.29 |  1.29 | -0.09 |  0.35 | -0.52 |  0.49 |  0.91 |  0.57 |  1.04 | -0.09 |  0.05 |  0.73 |  0.74 |  0.81 |  0.19 |  0.56 |  1.64 |  0.91 | -0.57 |  0.35 |  0.23 | -0.05 |  0.95 |  0.84 |  0.50 |  0.74 |  0.16 |
|        23 |  0.40 |  0.37 |  0.61 |  0.28 |  0.40 |  0.53 |   0.45 |  0.92 |  0.96 |  1.38 |  1.28 | -0.12 |  0.62 |  0.29 |  1.58 |  0.07 |  0.61 | -0.19 |  0.78 |  1.34 |  0.79 |  0.88 |  0.40 |  0.50 |  0.92 |  1.25 |  1.16 |  0.28 |  0.80 |  2.28 |  1.36 | -0.32 |  0.44 |  0.44 |  0.57 |  1.37 |  1.27 |  0.89 |  1.04 |  0.33 |
|        24 |  0.77 |  0.39 |  0.71 |  0.51 |  0.61 |  0.61 |   0.59 |  1.30 |  1.24 |  2.13 |  1.45 | -0.07 |  0.89 |  0.48 |  1.71 |  0.13 |  0.79 |  0.21 |  0.65 |  1.56 |  0.95 |  0.57 |  0.57 |  0.98 |  1.19 |  1.64 |  1.43 |  0.30 |  0.99 |  2.87 |  1.77 | -0.09 |  0.42 |  0.56 |  0.84 |  1.89 |  1.78 |  1.09 |  1.37 |  0.53 |
|        25 |  0.85 |  0.38 |  0.47 |  0.74 |  0.77 |  0.71 |   0.64 |  1.56 |  1.76 |  2.34 |  1.67 | -0.06 |  1.02 |  0.84 |  1.88 |  0.12 |  0.95 |  0.40 |  0.42 |  2.01 |  1.15 |  0.71 |  0.85 |  1.31 |  1.39 |  1.70 |  1.70 |  0.22 |  1.16 |  3.37 |  2.26 |  0.03 |  0.40 |  0.59 |  1.13 |  2.81 |  2.14 |  1.42 |  1.74 |  0.89 |
|        26 |  0.88 |  0.52 |  0.54 |  0.92 |  0.95 |  0.88 |   0.91 |  2.16 |  2.42 |  2.23 |  2.00 | -0.04 |  1.13 |  0.98 |  2.35 |  0.11 |  0.96 |  0.51 |  0.60 |  2.45 |  1.38 |  0.81 |  1.04 |  1.48 |  1.59 |  1.74 |  1.84 |  0.13 |  1.70 |  3.69 |  2.66 |  0.12 |  0.45 |  0.67 |  1.36 |  2.42 |  2.32 |  1.71 |  1.55 |  0.98 |
|        27 |  1.09 |  0.50 |  1.11 |  1.05 |  1.29 |  1.05 |   1.25 |  2.23 |  2.45 |  2.06 |  2.24 | -0.04 |  1.27 |  1.14 |  2.56 |  0.03 |  0.93 |  0.98 |  0.68 |  2.65 |  1.81 |  0.99 |  1.24 |  1.74 |  1.81 |  1.54 |  1.97 |  0.38 |  1.64 |  3.89 |  2.38 |  0.13 |  0.44 |  0.69 |  1.42 |  2.86 |  2.19 |  2.21 |  1.16 |  0.79 |
|        28 |  1.37 |  0.50 |  1.16 |  1.26 |  1.53 |  1.37 |   1.34 |  2.28 |  2.58 |  2.04 |  2.73 | -0.02 |  1.40 |  1.25 |  2.79 | -0.06 |  0.81 |  2.09 |  0.70 |  2.68 |  2.08 |  1.26 |  1.50 |  1.98 |  1.88 |  1.26 |  2.42 |  0.37 |  1.74 |  4.06 |  2.29 |  0.10 |  0.33 |  0.54 |  1.40 |  2.98 |  2.15 |  2.69 |  0.76 |  0.74 |
|        29 |  1.62 |  0.24 |  1.20 |  1.27 |  1.48 |  1.61 |   1.09 |  2.42 |  2.59 |  1.80 |  3.69 |  0.07 |  1.60 |  1.27 |  3.44 | -0.12 |  0.67 |  2.43 |  0.76 |  2.75 |  2.22 |  1.47 |  1.66 |  1.73 |  1.99 |  1.16 |  2.55 |  0.33 |  1.63 |  3.96 |  2.20 |  0.11 |  0.32 |  0.41 |  1.26 |  3.34 |  2.17 |  3.01 |  0.41 |  0.71 |
|        30 |  1.84 |  0.13 |  1.46 |  1.28 |  1.39 |  1.75 |   1.29 |  2.31 |  2.56 |  1.54 |  4.38 |  0.09 |  1.70 |  1.42 |  4.19 | -0.15 |  0.52 |  2.38 |  0.86 |  3.06 |  2.34 |  1.73 |  1.80 |  1.39 |  2.06 |  1.07 |  2.87 |  0.42 |  1.45 |  3.65 |  2.13 |  0.17 |  0.27 |  0.24 |  1.16 |  3.63 |  2.06 |  2.94 |  0.25 |  0.84 |
|        31 |  2.28 |  0.11 |  1.54 |  1.02 |  1.24 |  1.90 |   1.36 |  2.32 |  2.58 |  1.31 |  5.39 |  0.09 |  1.81 |  1.59 |  4.82 | -0.14 |  0.37 |  2.89 |  0.90 |  3.28 |  2.44 |  2.03 |  1.98 |  1.33 |  2.16 |  0.80 |  3.19 |  0.64 |  1.51 |  3.43 |  1.95 |  0.33 |  0.18 |  0.12 |  0.98 |  3.95 |  1.85 |  2.91 |  0.18 |  0.96 |
|        32 |  2.54 |  0.02 |  1.46 |  1.09 |  1.05 |  2.01 |   1.25 |  2.29 |  2.45 |  1.19 |  5.79 |  0.12 |  1.87 |  1.85 |  5.29 | -0.12 |  0.31 |  3.21 |  1.03 |  3.38 |  2.53 |  2.05 |  2.39 |  1.20 |  2.26 |  0.30 |  3.26 |  0.74 |  1.55 |  3.21 |  1.83 |  0.45 |  0.11 |  0.06 |  1.01 |  4.46 |  1.67 |  2.71 |  0.10 |  1.02 |
|        33 |  2.82 |  0.11 |  1.39 |  1.09 |  0.94 |  2.48 |   1.12 |  2.15 |  2.41 |  1.14 |  6.10 |  0.12 |  1.93 |  2.32 |  5.80 | -0.03 |  0.30 |  3.48 |  1.29 |  3.48 |  2.68 |  1.91 |  2.71 |  1.15 |  2.26 |  0.24 |  3.34 |  0.59 |  1.66 |  3.02 |  1.79 |  0.64 |  0.15 |  0.21 |  0.93 |  4.57 |  1.53 |  2.63 |  0.11 |  1.28 |
|        34 |  3.27 |  0.14 |  1.29 |  1.07 |  0.93 |  2.74 |   0.96 |  2.09 |  2.35 |  1.11 |  6.33 |  0.16 |  2.14 |  2.47 |  5.90 |  0.02 |  0.40 |  3.54 |  1.41 |  3.64 |  2.77 |  1.83 |  3.31 |  1.01 |  2.05 |  0.29 |  3.25 |  0.50 |  1.80 |  2.88 |  1.80 |  0.76 |  0.38 |  0.52 |  1.46 |  4.57 |  1.12 |  2.41 |  0.28 |  1.42 |
|        35 |  3.25 |  0.21 |  1.21 |  1.07 |  0.94 |  3.03 |   0.70 |  2.03 |  2.32 |  1.34 |  6.62 |  0.18 |  2.15 |  2.48 |  5.58 |  0.15 |  0.54 |  3.58 |  1.38 |  3.93 |  2.95 |  1.67 |  3.89 |  1.09 |  2.00 |  0.27 |  3.34 |  0.59 |  1.84 |  2.71 |  1.54 |  0.87 |  0.62 |  0.65 |  1.30 |  4.45 |  0.67 |  2.20 |  0.39 |  1.42 |
|        36 |  3.02 |  0.23 |  1.09 |  1.39 |  0.92 |  3.19 |   0.32 |  1.91 |  2.11 |  1.38 |  6.97 |  0.21 |  2.00 |  2.62 |  5.01 |  0.19 |  0.55 |  3.51 |  1.58 |  4.18 |  3.08 |  1.38 |  3.87 |  1.33 |  1.95 |  0.45 |  3.59 |  0.79 |  1.89 |  2.42 |  1.72 |  0.84 |  0.76 |  0.83 |  0.61 |  4.26 |  0.74 |  2.03 |  0.40 |  1.67 |
