# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |      3 |     4 |      5 |     6 |      7 |     8 |      9 |     10 |    11 |     12 |    13 |    14 |     15 |     16 |     17 |    18 |    19 |     20 |    21 |    22 |    23 |     24 |    25 |    26 |     27 |     28 |     29 |    30 |    31 |     32 |     33 |    34 |    35 |    36 |     37 |    38 |    39 |     40 |
|         0 | -5.98 | -5.67 |  -6.27 | -6.21 |  -6.32 | -5.63 |  -6.29 | -5.52 |  -5.59 |  -6.26 | -6.17 |  -5.08 | -5.66 | -6.48 |  -6.46 |  -6.74 |  -6.52 | -6.64 | -7.37 |  -5.81 | -6.31 | -5.75 | -5.66 |  -6.28 | -6.20 | -5.83 |  -6.14 |  -6.05 |  -5.60 | -5.25 | -6.67 |  -6.15 |  -6.44 | -5.90 | -6.40 | -6.20 |  -5.29 | -6.01 | -5.45 |  -6.38 |
|         1 | -5.69 | -5.26 |  -5.52 | -5.47 |  -5.86 | -5.16 |  -5.75 | -4.93 |  -4.98 |  -5.67 | -5.44 |  -4.39 | -5.13 | -5.83 |  -6.04 |  -6.15 |  -5.93 | -6.31 | -6.81 |  -5.04 | -5.80 | -5.11 | -5.06 |  -5.81 | -5.52 | -5.28 |  -5.72 |  -5.29 |  -4.85 | -4.49 | -6.02 |  -5.73 |  -6.11 | -5.16 | -5.95 | -5.56 |  -4.58 | -5.51 | -4.93 |  -5.82 |
|         2 | -5.10 | -4.75 |  -4.96 | -4.76 |  -5.44 | -4.65 |  -5.22 | -4.29 |  -4.36 |  -5.13 | -4.90 |  -3.77 | -4.76 | -5.07 |  -5.67 |  -5.64 |  -5.54 | -6.03 | -6.31 |  -4.59 | -5.26 | -4.51 | -4.49 |  -5.35 | -4.76 | -4.68 |  -5.39 |  -4.60 |  -4.32 | -3.96 | -5.37 |  -5.23 |  -5.76 | -4.71 | -5.52 | -4.84 |  -3.90 | -4.98 | -4.35 |  -5.22 |
|         3 | -4.23 | -4.09 |  -4.12 | -3.92 |  -4.78 | -3.84 |  -4.59 | -3.45 |  -3.47 |  -4.41 | -4.12 |  -3.03 | -3.93 | -4.14 |  -5.03 |  -4.67 |  -4.81 | -5.57 | -5.54 |  -3.88 | -4.50 | -3.73 | -3.74 |  -4.54 | -3.69 | -3.79 |  -4.72 |  -3.74 |  -3.57 | -3.14 | -4.56 |  -4.30 |  -5.14 | -4.04 | -4.85 | -3.89 |  -3.11 | -4.18 | -3.57 |  -4.32 |
|         4 | -3.05 | -3.32 |  -3.28 | -3.04 |  -4.05 | -3.14 |  -3.71 | -2.50 |  -2.62 |  -3.51 | -3.10 |  -2.29 | -2.91 | -3.35 |  -4.11 |  -3.68 |  -3.91 | -5.03 | -4.66 |  -2.83 | -3.48 | -2.86 | -2.98 |  -3.77 | -2.56 | -2.81 |  -3.79 |  -2.84 |  -2.62 | -2.33 | -3.83 |  -3.23 |  -4.25 | -3.48 | -4.05 | -2.90 |  -2.33 | -3.35 | -2.58 |  -3.49 |
|         5 | -2.49 | -2.39 |  -2.43 | -2.14 |  -2.97 | -2.23 |  -2.64 | -1.62 |  -1.93 |  -2.47 | -2.26 |  -1.59 | -2.01 | -2.32 |  -3.12 |  -2.81 |  -2.87 | -4.29 | -3.76 |  -1.89 | -2.25 | -1.89 | -2.30 |  -2.98 | -1.54 | -1.98 |  -2.84 |  -1.71 |  -1.60 | -0.93 | -3.15 |  -2.01 |  -3.28 | -2.41 | -3.23 | -2.05 |  -1.62 | -2.37 | -1.35 |  -2.41 |
|         6 | -1.62 | -1.66 |  -2.06 | -1.42 |  -2.19 | -1.58 |  -1.62 | -0.86 |  -1.03 |  -1.72 | -1.87 |  -1.34 | -1.51 | -1.75 |  -2.65 |  -1.52 |  -2.48 | -3.57 | -3.06 |  -1.11 | -1.94 | -1.13 | -1.49 |  -2.46 | -1.29 | -1.16 |  -2.13 |  -1.90 |  -0.99 | -0.93 | -2.36 |  -1.46 |  -2.28 | -1.55 | -2.19 | -1.57 |  -0.95 | -1.67 | -1.16 |  -1.95 |
|         7 | -1.42 | -1.09 |  -1.40 | -0.94 |  -1.65 | -1.08 |  -1.39 | -0.31 |  -1.01 |  -1.07 | -1.01 |  -1.21 | -1.22 | -1.36 |  -1.82 |  -1.06 |  -1.82 | -2.95 | -2.15 |  -0.81 | -1.30 | -1.09 | -0.84 |  -1.74 | -0.83 | -0.38 |  -1.73 |  -1.72 |  -0.62 | -0.45 | -1.84 |  -0.88 |  -2.10 | -1.11 | -1.75 | -1.39 |  -1.16 | -1.28 | -0.83 |  -1.40 |
|         8 | -0.90 | -0.79 |  -1.45 | -0.60 |  -1.36 | -0.76 |  -0.66 |     0 |  -0.75 |  -1.45 | -0.22 |  -0.77 | -0.73 | -0.95 |  -1.25 |  -0.78 |  -1.19 | -2.34 | -1.68 |  -0.78 | -1.05 | -1.11 | -0.34 |  -1.36 | -0.80 | -0.23 |  -1.23 |  -1.26 |   0.07 | -0.12 | -1.35 |  -0.66 |  -1.38 | -1.06 | -1.00 | -1.24 |  -0.70 | -0.27 | -0.49 |  -1.24 |
|         9 | -0.35 | -0.64 |  -1.11 | -0.50 |  -1.11 | -0.52 |  -0.04 |  0.12 |  -0.24 |  -1.59 | -0.10 |  -0.62 | -0.39 | -0.82 |  -1.58 |  -0.87 |  -0.96 | -1.81 | -1.38 |  -0.95 | -0.97 | -0.94 | -0.24 |  -1.57 | -0.55 | -0.29 |  -0.83 |  -0.98 |  -0.22 | -0.22 | -0.98 |  -1.03 |  -0.70 | -0.88 | -0.77 | -0.86 |  -0.36 |  0.33 | -0.83 |  -0.73 |
