# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |     14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  0.33 |  1.06 |  0.48 |  0.98 |  0.39 |  0.56 |  0.58 |  0.96 |  0.88 |  0.94 |  0.98 |  0.35 |  1.14 |   0.32 |  1.39 |  0.22 |  1.03 |  0.43 |  0.31 |  1.31 |  0.49 |  1.02 |  0.40 |  0.71 |  0.49 |  0.51 |  1.09 |  0.31 |  0.57 |  1.59 |  0.83 |  0.28 |  0.67 |  0.30 |  0.41 |  0.87 |  1.02 |  0.48 |  0.92 |  0.17 |
|         1 |  0.44 |  1.20 |  0.97 |  1.48 |  0.72 |  0.84 |  1.02 |  1.32 |  1.16 |  1.15 |  1.26 |  0.45 |  1.30 |   0.88 |  1.71 |  0.69 |  1.18 |  0.57 |  0.41 |  1.65 |  0.88 |  1.23 |  0.84 |  1.27 |  0.83 |  1.03 |  1.42 |  0.26 |  1.05 |  2.36 |  1.12 |  0.32 |  0.81 |  0.37 |  1.20 |  1.23 |  1.28 |  0.81 |  1.18 |  0.32 |
|         2 |  0.64 |  1.22 |  1.35 |  1.67 |  1.06 |  1.03 |  1.45 |  1.88 |  1.58 |  1.62 |  1.37 |  0.49 |  1.40 |   0.93 |  1.96 |  0.79 |  1.53 |  0.68 |  0.35 |  2.17 |  1.19 |  1.40 |  1.12 |  1.81 |  0.95 |  0.95 |  1.83 |  0.30 |  1.57 |  2.69 |  1.43 |  0.41 |  1.04 |  0.27 |  1.52 |  1.60 |  1.41 |  0.97 |  1.40 |  0.67 |
|         3 |  0.83 |  1.49 |  1.35 |  1.54 |  1.76 |  1.55 |  1.53 |  2.18 |  1.92 |  2.10 |  1.52 |  0.73 |  1.61 |   1.09 |  2.45 |  0.78 |  1.93 |  0.86 |  0.60 |  2.30 |  1.62 |  1.62 |  1.60 |  2.46 |  1.39 |  0.97 |  2.30 |  0.43 |  1.77 |  2.93 |  1.80 |  0.48 |  1.25 |  0.19 |  1.55 |  1.92 |  1.90 |  1.16 |  1.68 |  0.77 |
|         4 |  1.00 |  1.79 |  1.62 |  1.78 |  2.09 |  1.94 |  1.91 |  1.95 |  2.17 |  2.43 |  1.70 |  0.92 |  1.96 |   1.33 |  2.93 |  0.79 |  2.28 |  1.40 |  0.48 |  2.66 |  2.06 |  1.85 |  1.88 |  2.79 |  1.77 |  1.08 |  2.68 |  0.75 |  2.08 |  3.16 |  2.10 |  0.51 |  1.45 |  0.17 |  1.53 |  2.36 |  2.29 |  1.55 |  2.19 |  0.89 |
|         5 |  1.19 |  2.04 |  1.97 |  2.19 |  2.02 |  2.20 |  2.41 |  1.79 |  2.25 |  2.52 |  2.27 |  1.11 |  2.24 |   1.72 |  3.27 |  1.00 |  2.63 |  1.69 |  0.46 |  2.92 |  2.38 |  2.40 |  2.27 |  3.03 |  2.17 |  1.33 |  3.02 |  1.28 |  2.38 |  3.07 |  2.39 |  0.72 |  1.77 |  0.88 |  1.47 |  2.65 |  2.60 |  1.94 |  2.46 |  0.96 |
|         6 |  1.43 |  2.30 |  2.43 |  2.28 |  2.13 |  2.60 |  2.90 |  1.44 |  2.27 |  2.63 |  3.24 |  1.55 |  2.50 |   2.05 |  3.62 |  1.60 |  2.77 |  1.89 |  0.48 |  3.12 |  2.59 |  2.80 |  2.53 |  3.16 |  2.49 |  1.62 |  3.16 |  1.71 |  2.34 |  3.28 |  2.65 |  1.08 |  2.16 |  0.68 |  1.90 |  3.13 |  2.78 |  2.19 |  2.37 |  1.26 |
|         7 |  1.67 |  2.59 |  2.78 |  2.38 |  2.93 |  3.18 |  3.05 |  1.74 |  2.52 |  2.86 |  3.57 |  1.86 |  2.54 |   2.35 |  3.93 |  1.82 |  2.96 |  2.23 |  0.59 |  3.26 |  2.65 |  3.08 |  3.12 |  3.40 |  2.56 |  1.65 |  3.49 |  1.99 |  3.21 |  3.40 |  2.77 |  1.59 |  2.33 |  0.62 |  2.30 |  3.23 |  3.08 |  2.34 |  2.31 |  1.48 |
|         8 |  1.93 |  2.80 |  2.92 |  2.35 |  3.04 |  3.26 |  3.15 |  1.86 |  2.68 |  2.87 |  3.93 |  2.22 |  2.53 |   2.56 |  4.52 |  1.92 |  2.97 |  2.53 |  0.78 |  3.33 |  2.91 |  3.37 |  3.14 |  3.21 |  2.63 |  1.60 |  3.80 |  1.88 |  3.23 |  3.45 |  2.77 |  1.91 |  2.43 |  0.60 |  2.50 |  3.73 |  3.29 |  2.70 |  2.32 |  1.75 |
|         9 |  2.05 |  2.73 |  2.99 |  1.80 |  3.05 |  3.55 |  2.99 |  2.05 |  2.81 |  3.16 |  4.71 |  2.71 |  2.68 |   2.43 |  4.53 |  2.07 |  3.24 |  2.46 |  0.94 |  3.28 |  3.26 |  3.75 |  3.42 |  2.99 |  2.78 |  1.20 |  3.64 |  1.58 |  3.16 |  3.38 |  2.53 |  2.30 |  2.51 |  0.87 |  2.51 |  4.19 |  3.32 |  2.53 |  2.35 |  1.85 |
|        10 |  2.17 |  2.53 |  2.83 |  1.85 |  2.95 |  3.53 |  2.58 |  2.59 |  2.84 |  3.34 |  5.52 |  3.10 |  2.38 |   2.80 |  4.24 |  1.83 |  3.22 |  2.52 |  1.22 |  3.27 |  3.28 |  4.25 |  3.33 |  2.88 |  2.56 |  1.50 |  3.31 |  1.21 |  3.24 |  3.30 |  2.31 |  2.41 |  2.43 |  1.33 |  2.72 |  4.30 |  3.20 |  2.61 |  2.40 |  2.24 |
|        11 |  2.08 |  2.10 |  2.55 |  1.76 |  2.53 |  3.05 |  2.45 |  2.48 |  2.68 |  3.22 |  6.68 |  2.91 |  2.18 |   2.84 |  3.61 |  1.05 |  2.81 |  2.23 |  1.31 |  3.02 |  3.50 |  4.26 |  2.99 |  2.33 |  2.06 |  1.07 |  2.81 |  0.23 |  3.12 |  3.02 |  1.94 |  2.26 |  2.23 |  1.43 |  2.66 |  3.83 |  2.88 |  2.46 |  2.45 |  2.98 |
|        12 |  1.82 |  1.73 |  2.08 |  1.87 |  2.14 |  2.61 |  2.01 |  2.04 |  2.10 |  2.88 |  6.96 |  2.48 |  1.88 |   2.58 |  2.87 |  0.35 |  2.01 |  1.80 |  1.50 |  2.62 |  3.48 |  3.17 |  2.36 |  0.65 |  1.65 |  0.88 |  2.12 |  0.27 |  3.09 |  2.38 |  1.69 |  1.83 |  1.90 |  1.56 |  2.02 |  3.10 |  2.47 |  2.26 |  2.29 |  3.64 |
|        13 |  1.56 |  0.70 |  1.65 |  2.13 |  1.71 |  2.13 |  1.03 |  1.72 |  1.05 |  2.03 |  6.19 |  2.05 |  0.97 |   2.15 |  2.11 |  0.36 |  1.28 |  1.05 |  0.96 |  1.81 |  3.24 |  1.32 |  1.98 |  0.43 |  0.85 |  0.52 |  1.38 |  0.43 |  2.05 |  1.49 |  1.17 |  1.44 |  0.88 |  1.28 |  0.41 |  2.43 |  1.86 |  2.04 |  2.08 |  3.29 |
|        14 |  1.04 |  0.33 |  1.27 |  1.70 |  1.28 |  1.71 |  0.27 |  1.33 |  0.51 |  0.42 |  3.68 |  1.51 |  0.34 |   1.35 |  1.61 |  0.36 |  0.24 |  0.24 |  0.23 |  1.15 |  2.46 |  0.26 |  0.55 |  0.30 |  0.33 |  0.18 |  1.18 |  0.43 |  1.08 |  0.45 |  0.68 |  0.72 |  0.38 |  0.26 |  0.44 |  1.72 |  1.52 |  1.68 |  1.83 |  2.02 |
|        15 |  0.45 |  0.43 |  0.83 |  0.97 |  0.65 |  1.38 |  0.26 |  1.05 |  0.57 |  0.29 |  2.17 |  0.53 |  0.37 |   0.77 |  1.57 |  0.35 |  0.32 |  0.32 |  0.28 |  0.33 |  1.54 |  0.45 |  0.42 |  0.30 |  0.29 |  0.10 |  1.16 |  0.40 |  0.29 |  0.36 |  0.80 |  0.69 |  0.43 |  0.21 |  0.54 |  1.11 |  1.27 |  1.41 |  0.97 |  0.65 |
|        16 |  0.30 |  0.51 |  0.52 |  0.31 |  0.24 |  1.15 |  0.29 |  0.89 |  0.57 |  0.53 |  1.75 |  0.32 |  0.40 |   0.17 |  1.54 |  0.34 |  0.32 |  0.36 |  0.27 |  0.39 |  1.10 |  0.62 |  0.67 |  0.44 |  0.33 |  0.11 |  1.09 |  0.53 |  0.26 |  0.38 |  0.75 |  0.73 |  0.38 |  0.40 |  0.60 |  0.85 |  1.05 |  1.23 |  0.21 |  0.12 |
