# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |      2 |      3 |     4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |    14 |     15 |     16 |     17 |     18 |     19 |     20 |    21 |     22 |     23 |     24 |    25 |    26 |     27 |     28 |     29 |    30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |    39 |     40 |
|         0 |  -0.39 |  -0.19 |  -0.87 |  0.14 |  -0.21 |  -0.12 |   0.47 |   0.12 |  -0.19 |   0.26 |   0.48 |  -1.27 |  -0.60 | -0.22 |  -0.08 |  -1.01 |  -0.39 |  -0.42 |  -1.45 |  -0.17 | -0.30 |  -0.38 |  -0.29 |  -0.63 | -0.60 | -1.11 |   0.14 |  -0.86 |  -0.06 | -0.31 |  -0.39 |  -0.87 |  -1.02 |  -0.77 |  -0.84 |   0.30 |  -0.29 |  -0.31 | -0.51 |  -0.48 |
|         1 |  -0.01 |   0.53 |  -0.42 |  0.44 |  -0.25 |   0.26 |   0.62 |   0.39 |  -0.11 |   0.37 |   1.20 |  -0.80 |   0.35 | -0.22 |   0.46 |  -0.41 |  -0.27 |   0.32 |  -0.74 |  -0.09 | -0.28 |   0.31 |      0 |  -0.41 |  0.15 | -0.98 |   0.15 |  -0.59 |   0.30 | -0.15 |   0.77 |  -0.39 |  -0.27 |  -0.52 |  -0.43 |   0.14 |  -0.48 |   0.28 | -0.48 |   0.08 |
|         2 |   0.09 |   0.30 |  -0.58 |  0.27 |  -0.11 |   0.38 |   0.36 |   0.58 |     -0 |   0.51 |   0.11 |  -0.46 |   0.33 | -0.44 |   0.28 |  -0.57 |  -0.26 |   0.72 |  -0.58 |  -0.14 | -0.37 |   0.17 |  -0.15 |  -0.39 |  0.31 | -1.07 |   0.13 |  -0.48 |   0.17 | -0.12 |   0.28 |  -0.31 |   0.09 |  -0.32 |  -0.45 |   0.19 |  -0.56 |   0.54 | -0.45 |   0.09 |
|         3 |  -0.09 |  -0.16 |  -0.71 |  0.06 |  -0.28 |   0.28 |   0.36 |   0.24 |  -0.37 |   0.19 |  -0.33 |  -0.33 |   0.05 | -0.62 |   0.40 |  -0.58 |  -0.24 |   0.94 |  -0.80 |  -0.33 | -0.15 |  -0.10 |  -0.26 |  -0.41 |  0.13 | -1.12 |   0.18 |  -0.31 |   0.23 | -0.32 |  -0.12 |  -0.36 |  -0.13 |  -0.32 |  -0.63 |   0.38 |  -0.41 |   0.79 | -0.25 |  -0.13 |
|         4 |  -0.20 |  -0.57 |  -1.04 | -0.10 |  -0.37 |  -0.06 |   0.25 |  -0.21 |  -0.39 |  -0.03 |  -0.24 |  -0.61 |  -0.26 | -0.67 |  -0.12 |  -0.80 |  -0.38 |   0.52 |  -1.19 |  -0.58 | -0.22 |  -0.16 |  -0.34 |  -0.54 | -0.11 | -1.34 |  -0.18 |  -0.03 |   0.05 | -0.52 |  -0.38 |  -0.37 |  -0.15 |  -0.40 |  -0.71 |   0.45 |  -0.69 |   0.87 | -0.28 |  -0.06 |
|         5 |  -0.40 |  -0.63 |  -1.12 | -0.23 |  -0.56 |  -0.39 |  -0.22 |  -0.39 |  -0.47 |  -0.30 |   0.27 |  -0.26 |  -0.58 | -0.54 |  -0.20 |  -0.92 |  -0.22 |   0.19 |  -0.59 |  -0.56 | -0.39 |  -0.20 |  -0.17 |  -0.71 | -0.33 | -1.04 |  -0.45 |     -0 |  -0.42 | -0.81 |  -0.18 |  -0.55 |  -0.37 |  -0.50 |  -0.78 |   0.16 |  -0.96 |   0.27 | -0.56 |  -0.05 |
|         6 |  -0.49 |  -0.62 |  -1.04 | -0.32 |  -0.55 |  -0.60 |  -0.58 |  -0.50 |  -0.58 |  -0.34 |   0.34 |  -0.76 |  -0.53 | -0.62 |  -0.63 |  -0.81 |  -0.77 |   0.10 |  -0.99 |  -0.73 | -0.52 |  -0.10 |  -0.11 |  -0.63 | -0.32 | -1.35 |  -0.55 |  -0.44 |  -0.32 | -0.79 |  -0.53 |  -0.66 |  -0.50 |  -0.73 |  -0.62 |   0.02 |  -1.21 |  -0.40 | -0.63 |   0.06 |
|         7 |  -0.32 |  -0.49 |  -1.20 | -0.42 |  -0.59 |  -0.46 |  -0.62 |  -0.82 |  -0.84 |  -0.47 |   0.46 |  -0.63 |  -0.58 | -0.91 |  -0.81 |  -0.87 |  -0.89 |   0.21 |  -1.20 |  -1.24 | -0.56 |  -0.10 |  -0.39 |  -1.06 | -0.48 | -1.41 |  -0.57 |  -0.78 |  -0.65 | -0.85 |  -0.64 |  -0.42 |  -0.83 |  -0.71 |  -0.89 |  -0.12 |  -1.17 |  -0.35 | -0.80 |  -0.10 |
|         8 |  -0.24 |  -0.85 |  -1.68 | -0.55 |  -0.93 |  -0.60 |  -0.70 |  -1.09 |  -0.91 |  -0.42 |   0.80 |  -0.83 |  -0.66 | -1.17 |  -0.93 |  -1.29 |  -0.88 |   0.29 |  -1.47 |  -1.73 | -0.60 |  -0.51 |  -0.39 |  -1.39 | -0.47 | -1.60 |  -0.86 |  -1.67 |  -0.66 | -1.14 |  -1.08 |  -0.77 |  -1.20 |  -0.86 |  -0.93 |   0.21 |  -1.35 |  -0.40 | -1.03 |  -0.20 |
|         9 |  -0.48 |  -1.03 |  -1.85 | -0.78 |  -1.32 |  -1.33 |  -0.94 |  -1.03 |  -0.94 |  -0.35 |   0.63 |  -1.12 |  -0.90 | -1.53 |  -0.78 |  -1.76 |  -0.38 |   0.21 |  -1.24 |  -1.99 | -0.70 |  -0.40 |  -0.92 |  -1.22 | -0.44 | -1.71 |  -1.24 |  -1.73 |  -0.23 | -1.20 |  -1.26 |  -0.99 |  -1.21 |  -0.79 |  -1.34 |  -0.31 |  -1.40 |  -1.04 | -0.81 |  -0.14 |
