# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |     13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |     33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |  0.10 |  0.20 |  0.20 |  0.40 |  0.60 |  0.10 |     0 |  0.20 |  0.10 |  0.20 |  0.40 |     0 |   0.10 |  0.70 |  0.20 |  0.10 |  0.20 |  0.80 |  0.30 |  0.30 |     0 |  0.30 |  0.20 |  0.10 |  1.50 |     0 |  0.10 |  0.10 |  0.20 |  0.20 |  0.90 |  0.20 |   1.10 |     0 |     0 |  0.20 |  0.60 |  0.20 |     0 |  0.10 |
|         9 |  1.00 |  5.90 |  1.80 |  7.60 | 10.20 |  4.40 |  3.40 |  5.10 |  2.50 |  5.40 | 11.60 |  2.10 |   2.50 | 15.00 |  0.70 |  6.10 |  2.40 | 17.90 |  3.80 |  4.80 |  1.60 |  0.60 |  1.30 |  5.80 | 24.00 |  3.20 |  2.60 |  1.60 |  1.70 |  8.00 | 21.70 |  0.70 |  20.20 |  0.80 |  1.30 |  2.60 | 12.50 |  6.00 |  0.80 |  3.00 |
|        10 |  4.60 | 20.40 | 10.90 | 17.20 | 18.50 |  8.60 |  7.70 | 12.00 | 10.50 | 11.20 | 13.70 | 16.70 |   3.00 | 44.90 |  4.00 | 18.70 |  9.10 | 38.40 | 12.50 |  7.40 |  7.80 |  5.80 |  3.70 | 16.80 | 54.00 | 17.00 |  6.50 |  0.50 |  4.10 | 25.50 | 61.30 |  2.60 |  52.20 |  5.10 |  7.90 |  4.50 | 38.50 |  3.40 |  0.90 |  6.40 |
