# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |      9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |     30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |     0 |     0 |     0 |  0.10 |  0.30 |  0.50 |  0.20 |     0 |      0 |     0 |  0.10 |  0.10 |  0.10 |  1.00 |  0.50 |  0.10 |  0.20 |     0 |  0.20 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |  0.30 |  0.10 |   0.20 |     0 |     0 |     0 |     0 |     0 |  0.30 |     0 |     0 |  0.20 |     0 |
|         9 |  3.10 |  2.40 |  1.10 |  2.60 |  1.40 | 13.60 |  3.20 |  1.70 |   2.40 |  3.50 | 12.50 |  2.10 |  0.20 | 13.70 | 17.60 |  8.90 |  3.50 |  3.00 |  7.30 |  6.00 |  7.60 |  3.10 |  0.40 |  0.10 |     0 |  2.30 | 13.20 |  6.30 |  1.50 |   7.00 |  4.10 |  3.50 |  4.00 |  1.00 |  1.10 |  3.60 |  6.10 |  7.20 |  9.60 |  6.70 |
|        10 |  5.40 |  1.80 |  2.70 |  7.40 |  1.80 | 31.20 |  2.20 |  6.40 |  10.40 | 17.90 | 45.10 |  6.30 |  7.30 | 26.30 | 39.20 | 28.40 |  8.40 |  1.90 |  9.40 |  9.40 | 22.30 |  3.40 |  3.80 |     0 |  3.10 |  2.70 | 39.20 | 30.40 |  7.40 |  20.00 |  2.90 |  5.80 | 17.00 |  1.90 |  1.30 |  0.50 | 24.70 | 16.90 | 26.90 | 14.60 |
