# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |    6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |   18 |    19 |   20 |   21 |    22 |    23 |   24 |    25 |    26 |   27 |    28 |    29 |    30 |    31 |   32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  1.45 |  1.19 |  1.13 |  0.81 | 1.30 | 1.41 |  0.84 |  0.81 |  0.08 |  0.95 |  0.82 |  1.00 |  1.01 |  1.34 |  0.70 |  1.23 |  0.96 | 1.68 |  1.25 | 1.13 | 0.93 |  1.27 |  0.64 | 0.79 |  1.06 |  1.05 | 1.19 |  0.90 |  1.10 |  1.87 |  0.26 | 1.58 |  1.98 |  0.92 |  0.50 |  0.84 |  0.68 |  1.54 |  1.11 |  1.01 |
|         1 |  1.41 |  1.08 |  0.93 |  0.66 | 1.17 | 1.27 |  0.79 |  0.95 |    -0 |  0.79 |  0.71 |  0.87 |  0.83 |  1.09 |  0.86 |  1.32 |  0.67 | 1.70 |  1.26 | 0.93 | 0.69 |  1.26 |  0.94 | 0.79 |  0.93 |  0.95 | 1.17 |  0.77 |  0.98 |  2.28 |  0.52 | 1.39 |  1.68 |  1.00 |  0.49 |  0.74 |  0.71 |  1.50 |  1.07 |  1.10 |
|         2 |  1.37 |  1.29 |  0.88 |  0.41 | 1.05 | 0.93 |  0.89 |  1.06 |  0.39 |  0.88 |  0.75 |  0.86 |  0.52 |  0.89 |  0.97 |  1.44 |  0.56 | 1.66 |  1.31 | 0.73 | 0.79 |  1.22 |  1.00 | 0.99 |  0.74 |  0.98 | 0.92 |  0.82 |  0.83 |  2.23 |  0.57 | 1.06 |  1.45 |  0.97 |  0.68 |  0.81 |  0.80 |  1.29 |  1.03 |  1.11 |
|         3 |  1.29 |  1.40 |  0.80 |  0.19 | 1.25 | 0.71 |  0.95 |  1.19 |  0.54 |  1.03 |  0.81 |  0.90 |  0.61 |  0.86 |  1.03 |  1.45 |  0.55 | 1.66 |  1.28 | 0.84 | 1.00 |  1.16 |  0.89 | 0.95 |  0.66 |  0.81 | 0.60 |  1.03 |  0.82 |  2.14 |  0.45 | 1.01 |  1.36 |  1.03 |  0.77 |  1.04 |  0.79 |  1.27 |  0.96 |  1.09 |
|         4 |  1.49 |  1.47 |  0.80 |  0.26 | 1.53 | 0.84 |  1.08 |  1.51 |  0.91 |  1.26 |  0.99 |  0.99 |  0.85 |  1.13 |  1.15 |  1.38 |  0.87 | 1.70 |  1.40 | 0.99 | 1.37 |  1.25 |  1.02 | 0.60 |  0.95 |  0.90 | 0.63 |  1.29 |  1.05 |  2.39 |  0.59 | 1.13 |  1.46 |  1.03 |  0.74 |  1.08 |  1.07 |  1.35 |  1.26 |  1.15 |
|         5 |  1.60 |  1.66 |  1.10 |  0.34 | 1.49 | 1.24 |  1.10 |  1.74 |  1.42 |  1.53 |  1.27 |  0.95 |  0.56 |  1.34 |  1.43 |  1.47 |  1.10 | 1.80 |  1.52 | 1.13 | 1.67 |  1.45 |  1.20 | 0.72 |  1.06 |  0.76 | 0.84 |  1.44 |  1.29 |  2.55 |  0.82 | 1.27 |  1.33 |  0.86 |  0.81 |  1.21 |  1.38 |  1.43 |  1.50 |  1.32 |
|         6 |  1.40 |  1.64 |  0.75 |  0.37 | 1.38 | 1.69 |  0.87 |  1.54 |  1.63 |  1.62 |  1.43 |  0.59 |  0.27 |  1.30 |  1.49 |  1.41 |  1.07 | 1.72 |  1.49 | 1.24 | 1.70 |  1.47 |  1.04 | 0.78 |  0.92 |  0.50 | 1.10 |  1.23 |  1.35 |  2.33 |  0.93 | 1.19 |  1.29 |  0.78 |  0.76 |  1.00 |  1.47 |  1.20 |  1.48 |  1.48 |
|         7 |  1.27 |  1.54 |  0.57 |  0.42 | 1.37 | 1.73 |  0.97 |  1.16 |  1.48 |  1.60 |  1.82 |  0.30 |  0.23 |  1.28 |  1.14 |  1.29 |  1.11 | 1.41 |  1.50 | 1.24 | 1.79 |  1.59 |  1.20 | 0.50 |  0.97 |  0.41 | 0.92 |  1.10 |  1.32 |  2.12 |  0.66 | 1.00 |  1.18 |  0.92 |  0.54 |  1.04 |  1.75 |  1.38 |  1.32 |  1.18 |
|         8 |  1.31 |  1.30 |  0.29 |  0.87 | 1.15 | 1.57 |  0.82 |  1.31 |  1.30 |  1.84 |  1.76 |  0.42 |  0.44 |  1.20 |  1.04 |  1.16 |  1.59 | 1.74 |  1.55 | 1.03 | 1.88 |  1.02 |  0.95 | 0.59 |  1.09 |  0.28 | 0.91 |  1.16 |  1.38 |  1.77 |  0.40 | 1.06 |  1.30 |  1.10 |  0.21 |  0.92 |  1.79 |  1.70 |  1.17 |  1.32 |
|         9 |  0.90 |  1.07 |  0.43 |  0.92 | 0.78 | 1.39 |  0.24 |  1.60 |  1.44 |  1.72 |  1.61 |  0.40 |  0.72 |  1.16 |  1.34 |  1.08 |  1.58 | 1.47 |  1.23 | 1.12 | 1.80 |  0.74 |  1.04 | 1.03 |  1.34 | -0.04 | 0.98 |  1.19 |  1.00 |  1.52 |  0.61 | 0.92 |  1.38 |  0.70 |  0.46 |  0.98 |  1.57 |  1.30 |  1.14 |  1.17 |
