# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |    7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |   21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |   32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |  1.00 |  0.30 |     0 |  0.20 |  0.10 |  0.20 | 0.20 |     0 |  0.10 |     0 |  0.10 |     0 |  0.30 |  0.20 |  0.10 |     0 |  0.40 |  0.60 |     0 |  0.30 |    0 |     0 |  0.20 |     0 |     0 |  0.80 |     0 |     0 |     0 |  0.10 |  0.20 |    0 |  0.40 |  0.10 |  0.50 |  1.30 |  0.20 |     0 |  0.40 |  0.10 |
|         9 | 13.50 |  4.60 |  0.20 |  2.20 |  0.20 |  0.70 | 0.20 |  0.10 |  1.20 |  2.70 |  1.90 |     0 |  1.80 |  0.40 |  0.60 |  0.60 |  2.90 |  5.60 |  0.10 |  2.20 | 0.10 |     0 | 13.30 |  0.20 |     0 | 14.30 |  0.10 |     0 |     0 |  0.20 |  3.40 | 0.50 |  7.40 |  1.10 |  0.40 | 19.40 |  1.10 |  2.20 |  4.80 |  8.90 |
|        10 | 30.70 |  5.30 |  2.40 |  4.60 |     0 |     0 | 0.30 |     0 |  1.10 |  3.40 |  0.90 |  1.10 |  0.90 |     0 |  0.40 |  0.40 |  6.10 |  2.00 |     0 |     0 | 1.20 |  0.20 | 31.20 |  0.40 |     0 | 46.50 |  0.20 |     0 | 17.70 |  9.20 |  8.10 | 3.60 | 14.00 |  5.90 |  2.70 | 25.00 |  7.50 |  4.00 |  5.20 | 19.70 |
