# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |   11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |   28 |    29 |    30 |    31 |    32 |    33 |    34 |   35 |    36 |   37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |
|         8 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |    0 |  0.20 |     0 |  0.10 |     0 |  0.30 |     0 |  0.50 |  0.30 |     0 |     0 |     0 |  0.10 |     0 |  0.20 |  0.10 |     0 |    0 |     0 |  0.20 |  0.10 |     0 |     0 |  0.10 | 0.10 |     0 | 0.10 |  0.10 |     0 |  0.20 |
|         9 |  8.20 |  0.10 |  1.70 |  1.10 |  2.20 |  0.10 |  0.10 |  3.00 |  5.90 |  0.20 | 0.30 |  0.40 |  1.90 |  1.60 |     0 |  5.50 |  2.70 |  0.50 |  1.10 |  0.80 |  0.40 |     0 |  2.30 |  2.30 |  5.10 |     0 |  0.20 | 0.40 |  5.70 |  3.80 |  0.80 |     0 |  4.00 |  0.30 | 3.80 |  0.30 | 0.40 |  2.20 |  2.10 |  0.90 |
|        10 | 22.60 |  1.50 |  1.20 |     0 | 12.50 |  0.90 |  1.50 |  5.20 |  7.40 |  1.10 | 0.60 |  2.90 |  0.80 |  0.10 |  0.10 |  6.40 |  4.80 |  1.80 | 11.60 |  0.80 |  0.90 |  3.90 |  8.20 |  2.00 | 10.70 |  0.60 |  0.10 | 0.70 |  8.70 |  7.10 |  1.00 |  0.50 |  5.80 |  0.50 | 6.10 |  0.90 | 1.00 |  1.20 |  3.80 |  0.30 |
