# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |   14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |   22 |    23 |    24 |    25 |    26 |    27 |    28 |   29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  3.00 |  1.65 |  2.88 |  1.72 |  2.67 |  2.75 |  1.86 |  0.94 |  2.33 |  2.97 |  1.60 |  2.16 |  1.97 | 1.98 |  2.92 |  2.08 |  2.71 |  3.22 |  1.92 |  1.65 |  2.25 | 2.27 |  2.64 |  2.07 |  2.43 |  1.59 |  2.87 |  2.07 | 1.84 |  2.74 |  2.88 |  1.32 |  3.65 |  2.53 |  1.62 |  3.19 |  2.29 |  2.38 |  1.42 |  2.83 |
|         1 |  2.82 |  2.12 |  2.61 |  1.71 |  2.46 |  2.49 |  1.33 |  1.57 |  1.94 |  2.21 |  2.21 |  1.87 |  2.08 | 1.75 |  2.59 |  1.94 |  2.81 |  3.03 |  2.10 |  2.01 |  2.33 | 2.28 |  2.49 |  2.18 |  2.31 |  1.85 |  2.59 |  2.54 | 2.11 |  2.19 |  2.56 |  1.54 |  3.47 |  2.62 |  1.77 |  2.96 |  2.38 |  3.15 |  2.39 |  2.34 |
|         2 |  2.37 |  2.02 |  2.56 |  2.39 |  2.32 |  2.74 |  2.10 |  1.37 |  2.22 |  2.00 |  2.61 |  1.98 |  2.33 | 2.46 |  2.86 |  2.03 |  3.07 |  2.92 |  1.69 |  1.84 |  2.57 | 2.25 |  2.65 |  2.81 |  2.30 |  2.32 |  3.00 |  2.45 | 2.22 |  2.74 |  2.28 |  2.04 |  3.17 |  2.51 |  2.24 |  2.35 |  2.43 |  2.89 |  2.67 |  2.43 |
|         3 |  2.74 |  2.60 |  3.08 |  2.83 |  3.45 |  3.50 |  2.30 |  2.72 |  3.17 |  2.68 |  3.15 |  2.61 |  2.85 | 2.81 |  3.26 |  3.17 |  3.66 |  3.30 |  2.46 |  2.79 |  3.54 | 2.95 |  3.76 |  3.57 |  3.14 |  2.82 |  3.76 |  3.36 | 3.16 |  3.47 |  3.05 |  2.54 |  3.40 |  3.77 |  3.37 |  3.13 |  3.56 |  3.26 |  3.42 |  3.30 |
|         4 |  2.10 |  3.48 |  2.14 |  2.17 |  3.00 |  2.89 |  1.25 |  2.89 |  2.95 |  2.03 |  3.54 |  2.98 |  3.46 | 2.43 |  2.57 |  3.03 |  3.63 |  3.39 |  1.78 |  2.39 |  3.52 | 2.55 |  3.23 |  2.55 |  2.10 |  2.93 |  4.42 |  2.87 | 2.72 |  2.77 |  2.84 |  2.08 |  2.69 |  2.83 |  2.36 |  2.35 |  3.25 |  3.05 |  4.07 |  2.86 |
|         5 |  1.25 |  2.96 |  1.95 |  1.44 |  2.03 |  2.16 |  0.66 |  2.19 |  2.14 |  1.32 |  2.42 |  2.26 |  2.15 | 1.53 |  1.78 |  2.47 |  3.24 |  2.38 |  1.17 |  2.87 |  2.62 | 1.93 |  1.64 |  2.44 |  1.97 |  1.87 |  2.72 |  2.75 | 1.72 |  2.34 |  1.96 |  0.91 |  2.44 |  1.75 |  2.82 |  1.59 |  4.80 |  2.16 |  3.62 |  2.08 |
|         6 |  0.82 |  4.06 |  1.75 |  1.04 |  1.22 |  1.52 |  1.03 |  1.91 |  1.01 |  1.13 |  2.34 |  1.53 |  1.18 | 1.62 |  1.53 |  1.53 |  2.10 |  2.20 |  1.57 |  2.83 |  1.49 | 2.07 |  1.23 |  3.15 |  2.99 |  1.91 |  1.84 |  2.37 | 1.27 |  1.39 |  1.25 |  2.20 |  2.66 |  1.82 |  4.04 |  1.35 |  4.19 |  2.96 |  1.88 |  1.13 |
|         7 |  2.01 |  4.39 |  2.17 |  2.18 |  1.88 |  3.61 |  0.83 |  2.68 |  1.88 |  2.21 |  2.77 |  1.77 |  1.27 | 1.64 |  3.39 |  1.49 |  3.40 |  3.31 |  2.08 |  3.67 |  1.53 | 2.22 |  0.95 |  3.09 |  3.03 |  2.82 |  3.48 |  2.53 | 1.06 |  1.74 |  1.69 |  2.78 |  4.33 |  1.77 |  5.09 |  2.81 |  3.14 |  4.66 |  3.49 |  1.27 |
|         8 |  2.73 |  5.42 |  1.26 |  3.24 |  4.17 |  3.78 |  1.13 |  2.56 |  3.13 |  2.68 |  3.71 |  2.57 |  2.64 | 2.16 |  3.58 |  2.66 |  4.20 |  3.28 |  2.50 |  3.87 |  3.40 | 2.20 |  1.41 |  2.66 |  3.34 |  3.73 |  3.78 |  2.67 | 2.23 |  2.59 |  3.25 |  2.69 |  5.18 |  2.35 |  3.18 |  3.26 |  3.59 |  3.97 |  4.60 |  4.12 |
|         9 |  3.90 |  4.12 |  1.89 |  3.64 |  3.05 |  4.17 |  1.92 |  2.94 |  4.08 |  3.33 |  4.49 |  3.69 |  3.60 | 2.91 |  4.13 |  3.80 |  4.16 |  3.20 |  3.19 |  3.83 |  5.33 | 2.91 |  3.02 |  3.02 |  3.93 |  3.53 |  4.05 |  3.51 | 3.14 |  2.49 |  3.27 |  2.72 |  4.59 |  3.78 |  3.52 |  2.87 |  4.69 |  3.99 |  4.21 |  5.07 |
|        10 |  4.70 |  4.56 |  4.65 |  3.89 |  3.36 |  4.73 |  2.78 |  3.84 |  4.52 |  4.43 |  4.37 |  4.61 |  4.74 | 3.77 |  4.36 |  3.65 |  5.14 |  3.77 |  3.61 |  4.36 |  4.82 | 3.68 |  4.54 |  3.86 |  4.66 |  4.25 |  4.93 |  4.46 | 3.58 |  4.00 |  4.21 |  3.82 |  5.51 |  3.86 |  4.98 |  3.45 |  5.23 |  4.87 |  4.28 |  5.01 |
|        11 |  4.67 |  4.58 |  5.38 |  3.89 |  3.34 |  4.81 |  4.18 |  4.12 |  4.81 |  4.38 |  4.79 |  4.59 |  5.09 | 5.12 |  4.78 |  4.22 |  4.53 |  4.98 |  4.44 |  5.22 |  4.99 | 4.23 |  5.41 |  4.11 |  5.04 |  4.39 |  4.69 |  4.66 | 3.26 |  4.61 |  4.57 |  4.65 |  5.55 |  4.05 |  4.08 |  4.48 |  5.21 |  4.74 |  5.12 |  4.86 |
|        12 |  5.00 |  4.22 |  5.25 |  4.33 |  3.61 |  5.01 |  5.01 |  4.72 |  4.26 |  4.77 |  4.74 |  5.19 |  5.38 | 5.00 |  5.10 |  3.18 |  4.68 |  4.71 |  5.11 |  4.80 |  5.51 | 4.46 |  4.63 |  4.68 |  5.03 |  4.94 |  5.29 |  4.83 | 4.43 |  4.78 |  4.90 |  4.68 |  6.07 |  4.05 |  3.58 |  4.60 |  5.85 |  4.40 |  5.09 |  4.51 |
|        13 |  5.25 |  4.44 |  5.69 |  4.29 |  3.95 |  5.03 |  5.42 |  5.13 |  4.44 |  5.66 |  5.22 |  5.62 |  4.99 | 5.01 |  5.54 |  3.38 |  5.26 |  5.04 |  4.81 |  5.72 |  6.21 | 5.01 |  4.88 |  4.91 |  5.71 |  4.89 |  5.24 |  5.03 | 5.49 |  5.13 |  4.58 |  4.61 |  6.63 |  4.26 |  4.01 |  5.02 |  6.06 |  4.51 |  5.07 |  4.90 |
|        14 |  5.58 |  5.09 |  5.31 |  4.62 |  4.25 |  5.66 |  6.12 |  5.60 |  4.61 |  5.64 |  5.57 |  6.26 |  6.05 | 5.32 |  5.47 |  4.68 |  5.53 |  5.49 |  5.59 |  5.90 |  6.20 | 5.80 |  4.90 |  5.75 |  6.34 |  5.37 |  5.45 |  5.10 | 5.68 |  5.31 |  4.98 |  4.57 |  6.75 |  4.89 |  4.67 |  5.33 |  6.20 |  4.69 |  5.41 |  5.44 |
|        15 |  6.42 |  5.79 |  5.78 |  6.05 |  5.05 |  5.71 |  6.20 |  5.61 |  4.88 |  5.49 |  5.81 |  5.98 |  6.05 | 6.31 |  5.55 |  5.49 |  5.42 |  6.14 |  6.05 |  5.80 |  6.49 | 6.10 |  5.62 |  6.02 |  6.20 |  5.74 |  5.51 |  5.29 | 6.58 |  5.63 |  5.56 |  4.81 |  7.21 |  5.11 |  5.36 |  5.89 |  5.90 |  4.78 |  5.91 |  5.56 |
|        16 |  5.98 |  5.88 |  6.12 |  5.92 |  5.26 |  5.74 |  6.02 |  6.32 |  5.06 |  6.01 |  6.25 |  5.75 |  6.56 | 6.38 |  5.87 |  5.74 |  5.87 |  5.69 |  6.61 |  6.54 |  6.86 | 6.31 |  6.17 |  6.26 |  6.37 |  5.57 |  5.77 |  5.63 | 6.45 |  5.99 |  5.71 |  5.10 |  6.32 |  5.85 |  5.70 |  5.87 |  6.12 |  5.41 |  6.39 |  6.40 |
|        17 |  6.25 |  5.90 |  6.41 |  5.70 |  6.16 |  5.67 |  5.71 |  6.12 |  5.63 |  6.04 |  6.26 |  5.44 |  7.31 | 6.35 |  6.06 |  5.74 |  5.97 |  5.49 |  6.29 |  6.96 |  6.90 | 6.81 |  6.27 |  6.03 |  6.38 |  5.43 |  6.00 |  5.46 | 6.14 |  6.30 |  5.72 |  5.20 |  6.53 |  6.02 |  5.63 |  6.11 |  6.01 |  5.91 |  6.59 |  6.81 |
|        18 |  6.26 |  6.11 |  6.36 |  5.45 |  6.35 |  5.97 |  6.15 |  6.22 |  5.93 |  6.27 |  6.10 |  5.26 |  6.74 | 6.70 |  5.78 |  6.02 |  5.78 |  6.04 |  6.27 |  6.85 |  6.85 | 7.18 |  6.36 |  5.98 |  6.27 |  5.73 |  6.52 |  5.32 | 6.08 |  6.72 |  5.57 |  5.52 |  6.40 |  6.73 |  6.08 |  6.03 |  6.67 |  5.70 |  6.62 |  6.76 |
|        19 |  6.10 |  5.96 |  6.38 |  5.47 |  5.88 |  6.31 |  6.65 |  6.07 |  5.83 |  5.85 |  5.98 |  4.86 |  7.68 | 6.92 |  5.94 |  5.67 |  5.72 |  6.29 |  6.17 |  6.78 |  6.28 | 6.88 |  6.26 |  5.81 |  6.28 |  5.38 |  6.40 |  4.95 | 6.38 |  6.73 |  5.79 |  5.50 |  6.15 |  6.47 |  6.17 |  6.08 |  6.22 |  6.13 |  6.78 |  6.84 |
|        20 |  5.91 |  5.62 |  6.37 |  5.35 |  5.81 |  6.33 |  5.82 |  6.21 |  5.61 |  5.67 |  5.77 |  4.45 |  7.05 | 6.75 |  5.74 |  6.05 |  5.71 |  6.48 |  6.40 |  6.70 |  5.86 | 6.15 |  6.12 |  5.76 |  6.31 |  5.33 |  6.37 |  5.11 | 6.79 |  6.16 |  5.85 |  5.28 |  6.22 |  6.34 |  6.16 |  5.66 |  6.15 |  6.06 |  6.34 |  6.61 |
|        21 |  6.08 |  5.88 |  6.30 |  5.21 |  5.96 |  5.83 |  5.67 |  6.18 |  5.91 |  5.62 |  5.52 |  4.57 |  6.99 | 6.00 |  5.69 |  5.62 |  5.65 |  6.43 |  6.61 |  6.65 |  5.73 | 6.03 |  5.92 |  5.79 |  6.20 |  5.61 |  7.10 |  5.51 | 6.69 |  6.09 |  6.11 |  5.33 |  6.47 |  6.50 |  5.93 |  5.99 |  5.94 |  5.99 |  5.85 |  6.02 |
|        22 |  6.00 |  5.25 |  5.82 |  5.37 |  5.97 |  5.97 |  5.70 |  6.24 |  5.67 |  5.71 |  5.25 |  5.09 |  6.97 | 6.08 |  5.66 |  5.29 |  5.20 |  6.20 |  6.77 |  6.61 |  5.95 | 6.19 |  5.74 |  5.58 |  5.93 |  5.76 |  6.43 |  5.78 | 6.80 |  5.93 |  5.97 |  5.35 |  6.64 |  6.36 |  5.63 |  5.55 |  5.80 |  5.57 |  5.62 |  5.84 |
|        23 |  5.91 |  5.30 |  5.83 |  5.71 |  5.86 |  5.93 |  5.66 |  6.11 |  5.55 |  5.76 |  5.32 |  5.53 |  6.19 | 5.85 |  5.75 |  5.17 |  5.28 |  6.12 |  7.41 |  6.34 |  6.10 | 5.99 |  5.67 |  5.21 |  5.71 |  5.34 |  6.32 |  5.24 | 7.40 |  5.87 |  5.78 |  5.63 |  6.71 |  5.86 |  5.48 |  5.35 |  5.74 |  5.35 |  5.69 |  5.51 |
|        24 |  6.07 |  5.48 |  5.87 |  6.01 |  5.36 |  5.80 |  5.56 |  7.00 |  5.96 |  5.51 |  5.45 |  5.37 |  6.43 | 5.45 |  5.74 |  5.15 |  5.96 |  6.57 |  7.87 |  6.49 |  6.15 | 6.35 |  5.76 |  5.19 |  5.68 |  5.00 |  6.57 |  5.07 | 7.84 |  5.94 |  5.71 |  5.14 |  6.09 |  6.36 |  5.46 |  5.67 |  5.59 |  5.26 |  5.42 |  5.83 |
|        25 |  5.82 |  5.82 |  5.89 |  6.29 |  5.26 |  5.61 |  5.37 |  7.47 |  6.28 |  5.50 |  5.83 |  5.44 |  7.18 | 5.78 |  5.75 |  5.01 |  5.78 |  6.63 |  6.04 |  6.64 |  6.32 | 6.74 |  5.68 |  5.30 |  5.84 |  5.53 |  6.36 |  5.30 | 6.16 |  6.01 |  5.89 |  4.86 |  6.23 |  5.87 |  5.54 |  5.62 |  5.69 |  5.45 |  5.24 |  5.71 |
|        26 |  5.62 |  5.63 |  5.71 |  5.84 |  6.11 |  5.72 |  5.73 |  6.30 |  6.40 |  5.41 |  5.69 |  5.78 |  6.82 | 6.10 |  5.81 |  5.89 |  5.78 |  5.93 |  6.10 |  6.77 |  5.90 | 6.73 |  5.71 |  5.20 |  5.94 |  5.83 |  6.51 |  5.51 | 6.10 |  6.09 |  5.69 |  5.50 |  6.38 |  6.29 |  5.56 |  5.67 |  5.71 |  5.65 |  5.73 |  5.63 |
|        27 |  5.54 |  5.45 |  5.55 |  6.46 |  7.02 |  5.90 |  5.70 |  5.89 |  6.39 |  5.20 |  6.04 |  6.31 |  6.72 | 5.76 |  6.02 |  5.92 |  5.77 |  5.96 |  6.67 |  6.93 |  6.14 | 6.64 |  5.59 |  5.11 |  5.68 |  5.76 |  6.93 |  5.80 | 6.26 |  6.62 |  5.70 |  5.56 |  6.91 |  5.67 |  5.62 |  5.83 |  5.64 |  5.08 |  5.69 |  5.85 |
|        28 |  5.66 |  5.47 |  5.49 |  5.48 |  6.19 |  5.91 |  4.63 |  5.97 |  6.35 |  5.35 |  5.64 |  6.34 |  6.69 | 5.85 |  5.38 |  5.72 |  5.85 |  5.79 |  6.84 |  7.01 |  6.47 | 6.67 |  5.87 |  5.11 |  6.54 |  5.59 |  6.99 |  5.82 | 6.34 |  6.29 |  6.43 |  5.60 |  6.21 |  5.71 |  5.98 |  5.85 |  5.96 |  4.99 |  5.52 |  5.58 |
|        29 |  5.58 |  4.57 |  5.93 |  4.00 |  6.36 |  5.84 |  4.95 |  5.94 |  5.23 |  5.65 |  5.74 |  5.67 |  7.03 | 5.70 |  4.53 |  5.72 |  5.65 |  5.80 |  6.55 |  6.87 |  6.42 | 5.55 |  5.59 |  5.04 |  6.56 |  5.84 |  6.76 |  5.55 | 6.44 |  6.05 |  7.07 |  6.78 |  5.78 |  5.79 |  5.85 |  5.97 |  5.93 |  5.08 |  5.06 |  5.52 |
|        30 |  5.64 |  3.60 |  5.59 |  4.59 |  5.47 |  5.33 |  5.34 |  5.72 |  4.29 |  5.73 |  5.22 |  3.72 |  6.60 | 5.81 |  4.69 |  6.29 |  5.51 |  6.42 |  6.08 |  7.11 |  5.58 | 5.16 |  5.49 |  4.90 |  6.86 |  5.83 |  6.94 |  5.53 | 5.83 |  6.01 |  6.70 |  5.53 |  4.50 |  5.85 |  5.58 |  5.95 |  5.35 |  5.00 |  5.09 |  5.97 |
