# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |     27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.02 |  5.37 |  6.08 |  6.26 |  6.07 |  6.00 |  5.35 |  5.78 |  6.06 |  5.58 |  5.43 |  5.89 |  6.51 |  5.58 |  5.58 |  5.68 |  5.25 |  5.77 |  5.84 |  5.40 |  5.76 |  6.13 |  5.89 |  5.66 |  6.03 |  5.22 |   6.04 |  5.39 |  5.83 |  5.60 |  5.44 |  5.82 |  6.08 |  5.65 |  5.83 |  5.32 |  5.67 |  5.50 |  5.26 |  5.51 |
|         1 |  5.89 |  5.69 |  5.91 |  5.76 |  5.90 |  6.09 |  5.79 |  5.73 |  5.93 |  5.22 |  5.86 |  5.95 |  6.38 |  5.50 |  5.87 |  5.63 |  5.68 |  6.11 |  5.77 |  6.32 |  5.98 |  6.39 |  5.98 |  5.83 |  5.99 |  5.62 |   5.70 |  5.46 |  5.72 |  5.83 |  5.71 |  5.77 |  5.86 |  6.16 |  6.04 |  5.37 |  5.85 |  5.78 |  5.67 |  5.54 |
|         2 |  5.68 |  5.31 |  5.64 |  6.13 |  6.17 |  6.63 |  5.14 |  5.43 |  6.62 |  5.29 |  5.44 |  5.76 |  6.86 |  5.85 |  6.08 |  5.76 |  5.84 |  6.66 |  5.65 |  5.93 |  6.27 |  6.31 |  7.01 |  7.05 |  6.37 |  6.00 |   5.85 |  5.69 |  5.90 |  6.07 |  6.00 |  5.75 |  5.73 |  6.12 |  5.87 |  5.63 |  5.59 |  6.19 |  5.58 |  5.77 |
|         3 |  6.33 |  5.30 |  5.79 |  6.64 |  7.05 |  6.64 |  4.78 |  5.12 |  7.05 |  5.44 |  6.19 |  5.98 |  6.76 |  5.73 |  5.75 |  5.81 |  5.28 |  6.18 |  5.79 |  5.93 |  5.96 |  6.14 |  7.34 |  5.52 |  6.46 |  5.54 |   6.80 |  6.23 |  5.94 |  6.54 |  5.90 |  5.72 |  5.92 |  5.89 |  5.90 |  5.92 |  5.60 |  6.00 |  5.48 |  5.93 |
|         4 |  6.26 |  5.08 |  5.22 |  5.04 |  6.81 |  6.71 |  5.31 |  5.07 |  6.59 |  5.64 |  6.55 |  5.28 |  6.06 |  5.05 |  4.90 |  5.10 |  4.59 |  6.12 |  5.22 |  6.53 |  5.80 |  5.95 |  6.37 |  5.76 |  6.97 |  5.07 |   6.65 |  6.39 |  6.26 |  6.64 |  6.51 |  5.28 |  4.88 |  4.99 |  5.78 |  6.26 |  5.65 |  4.32 |  5.76 |  5.99 |
|         5 |  5.13 |  4.09 |  5.25 |  3.39 |  6.28 |  5.63 |  5.10 |  4.78 |  5.15 |  5.61 |  4.37 |  4.14 |  4.75 |  4.79 |  4.41 |  5.08 |  4.64 |  5.06 |  4.22 |  6.73 |  4.91 |  5.69 |  5.13 |  5.00 |  6.95 |  5.02 |   5.96 |  6.59 |  4.78 |  5.69 |  5.42 |  4.77 |  3.88 |  4.29 |  5.63 |  6.59 |  5.20 |  4.25 |  4.98 |  5.57 |
|         6 |  4.36 |  3.68 |  5.09 |  3.37 |  5.15 |  4.43 |  3.77 |  4.31 |  3.76 |  4.37 |  3.20 |  3.37 |  3.88 |  3.69 |  4.10 |  5.52 |  4.85 |  3.29 |  3.84 |  5.18 |  3.20 |  5.22 |  4.47 |  4.38 |  5.95 |  3.99 |   4.11 |  5.92 |  4.42 |  4.96 |  5.43 |  4.35 |  3.51 |  4.01 |  4.90 |  4.66 |  4.25 |  3.15 |  4.78 |  4.91 |
|         7 |  3.79 |  2.69 |  4.58 |  3.37 |  4.72 |  3.66 |  4.09 |  4.49 |  3.58 |  4.10 |  2.67 |  3.09 |  3.81 |  3.37 |  3.86 |  4.59 |  3.69 |  3.54 |  3.04 |  4.39 |  2.79 |  5.16 |  4.71 |  3.87 |  4.17 |  3.32 |   3.84 |  4.69 |  3.72 |  3.74 |  5.33 |  3.71 |  3.11 |  3.94 |  4.13 |  3.38 |  3.73 |  2.34 |  4.93 |  3.74 |
|         8 |  2.73 |  2.97 |  4.16 |  3.74 |  4.45 |  3.09 |  3.71 |  3.87 |  3.50 |  3.35 |  1.94 |  2.99 |  3.12 |  2.75 |  3.67 |  3.11 |  3.43 |  3.91 |  3.43 |  4.19 |  2.64 |  5.40 |  4.83 |  3.54 |  3.71 |  2.97 |   3.98 |  3.94 |  3.47 |  3.34 |  4.36 |  2.87 |  3.41 |  4.36 |  3.51 |  2.84 |  3.41 |  2.03 |  5.39 |  2.91 |
|         9 |  2.44 |  2.77 |  2.26 |  2.81 |  3.00 |  3.36 |  3.69 |  3.27 |  4.36 |  2.36 |  2.55 |  3.00 |  2.84 |  2.72 |  3.26 |  2.71 |  3.66 |  2.51 |  2.81 |  3.65 |  3.14 |  3.54 |  3.81 |  3.59 |  2.51 |  3.35 |   3.43 |  3.22 |  2.48 |  3.57 |  3.00 |  3.12 |  3.69 |  4.65 |  1.96 |  3.18 |  3.60 |  2.76 |  4.46 |  2.21 |
