# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |   18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  8.67 |  8.01 |  8.85 |  8.98 |  9.29 |  8.58 |  9.07 |  9.53 |  8.43 |  9.70 |  9.89 |  8.80 |  8.89 |  9.94 |  9.15 |  9.37 |  7.87 | 8.34 |  9.54 |  9.14 |  8.27 |  7.95 |  9.66 |  9.32 |  9.08 |  9.81 |  8.92 |  9.30 |  9.15 |  8.56 |  8.34 |  8.33 |  8.71 |  8.98 |  9.10 |  9.32 |  9.13 |  9.31 |  8.77 |  9.28 |
|         1 |  8.45 |  7.42 |  8.21 |  8.52 |  8.91 |  8.24 |  8.64 |  8.89 |  8.29 |  9.28 |  9.22 |  7.99 |  8.31 |  9.47 |  8.52 |  8.71 |  7.78 | 7.71 |  8.52 |  8.71 |  7.57 |  7.59 |  9.20 |  8.68 |  8.34 |  9.38 |  8.29 |  8.72 |  8.57 |  7.99 |  7.84 |  7.95 |  8.34 |  8.38 |  8.66 |  8.82 |  8.36 |  9.00 |  8.05 |  8.61 |
|         2 |  7.91 |  7.04 |  7.60 |  7.96 |  8.28 |  7.73 |  8.10 |  8.29 |  7.86 |  8.67 |  8.72 |  7.33 |  7.91 |  8.96 |  7.92 |  7.96 |  7.38 | 7.24 |  7.57 |  8.07 |  7.17 |  7.14 |  8.66 |  7.98 |  7.56 |  8.78 |  7.62 |  8.18 |  8.06 |  7.58 |  7.43 |  7.73 |  7.92 |  7.61 |  8.17 |  8.15 |  7.74 |  8.44 |  7.41 |  8.05 |
|         3 |  7.37 |  6.89 |  7.19 |  7.67 |  7.57 |  7.20 |  7.59 |  7.68 |  7.50 |  7.97 |  8.28 |  6.91 |  7.40 |  8.59 |  7.37 |  7.35 |  7.06 | 6.95 |  6.96 |  7.38 |  6.86 |  6.65 |  8.18 |  7.56 |  7.02 |  8.33 |  7.03 |  7.74 |  7.54 |  7.15 |  7.13 |  7.45 |  7.38 |  7.16 |  7.77 |  7.59 |  7.11 |  7.98 |  7.00 |  7.54 |
|         4 |  7.04 |  6.91 |  6.95 |  7.39 |  6.79 |  6.77 |  7.25 |  7.28 |  7.29 |  7.44 |  7.84 |  6.84 |  7.01 |  8.24 |  7.15 |  6.94 |  6.85 | 6.58 |  6.59 |  6.93 |  6.50 |  6.13 |  7.78 |  7.33 |  6.71 |  8.03 |  6.65 |  7.45 |  7.12 |  6.76 |  6.75 |  7.30 |  7.04 |  6.91 |  7.33 |  7.21 |  6.63 |  7.56 |  6.63 |  7.13 |
|         5 |  6.86 |  6.87 |  6.72 |  7.21 |  6.25 |  6.51 |  7.01 |  7.05 |  7.23 |  7.07 |  7.61 |  6.84 |  6.69 |  7.87 |  6.88 |  6.63 |  6.62 | 6.34 |  6.37 |  6.45 |  6.06 |  5.90 |  7.57 |  7.16 |  6.68 |  7.89 |  6.57 |  7.19 |  6.86 |  6.49 |  6.65 |  7.28 |  6.83 |  6.79 |  7.00 |  6.96 |  6.37 |  7.15 |  6.39 |  6.71 |
|         6 |  6.73 |  6.81 |  6.35 |  6.90 |  5.87 |  6.40 |  6.82 |  7.02 |  7.10 |  6.81 |  7.38 |  7.07 |  6.40 |  7.48 |  6.55 |  6.52 |  6.57 | 6.23 |  6.22 |  6.01 |  5.64 |  5.68 |  7.38 |  6.84 |  6.55 |  7.85 |  6.55 |  6.99 |  6.83 |  6.28 |  6.65 |  7.24 |  6.63 |  6.87 |  6.66 |  6.79 |  6.08 |  7.17 |  6.05 |  6.32 |
|         7 |  6.48 |  6.69 |  6.34 |  6.86 |  5.68 |  6.30 |  6.90 |  7.12 |  7.13 |  6.66 |  7.57 |  7.42 |  6.33 |  7.25 |  6.30 |  6.76 |  6.40 | 6.33 |  6.24 |  5.81 |  5.30 |  5.59 |  7.24 |  6.53 |  6.17 |  7.89 |  6.48 |  7.23 |  6.93 |  6.33 |  6.52 |  7.18 |  6.82 |  7.12 |  6.39 |  6.78 |  6.01 |  7.38 |  5.82 |  6.08 |
|         8 |  6.27 |  6.72 |  7.02 |  7.24 |  5.80 |  6.46 |  7.22 |  7.43 |  7.44 |  6.90 |  8.05 |  7.95 |  6.49 |  7.34 |  6.51 |  7.21 |  6.27 | 6.52 |  6.45 |  5.92 |  5.55 |  5.78 |  7.13 |  6.47 |  5.94 |  7.98 |  6.51 |  7.72 |  7.10 |  6.60 |  6.40 |  7.29 |  6.99 |  7.56 |  6.30 |  7.06 |  6.24 |  7.89 |  5.86 |  6.08 |
|         9 |  6.84 |  7.28 |  7.83 |  8.04 |  6.46 |  7.09 |  7.97 |  8.20 |  8.48 |  7.62 |  8.68 |  8.83 |  7.09 |  8.17 |  7.39 |  8.28 |  6.96 | 7.11 |  7.16 |  6.51 |  6.51 |  6.53 |  7.77 |  7.09 |  6.70 |  8.63 |  7.27 |  8.51 |  7.59 |  7.60 |  7.09 |  7.93 |  7.55 |  8.20 |  6.86 |  7.80 |  6.88 |  9.11 |  6.58 |  6.64 |
