# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |     10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |     21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |     35 |    36 |    37 |    38 |    39 |    40 |
|         0 |   8.51 |  8.22 |  8.26 |  6.46 |  7.04 |  6.30 |  7.39 |  7.64 |  8.57 |   7.79 |  6.72 |  7.97 |  6.94 |  6.99 |  6.07 |  7.50 |  8.01 |  8.29 |  7.12 |  7.09 |   7.50 |  6.74 |  7.05 |  5.48 |  6.65 |  8.25 |  7.54 |  8.43 |  8.05 |  5.98 |  7.15 |  7.52 |  7.56 |  7.25 |   7.72 |  5.53 |  6.95 |  7.33 |  7.57 |  7.00 |
|         1 |   8.05 |  8.42 |  8.57 |  7.50 |  8.73 |  7.22 |  7.92 |  7.84 |  9.34 |   7.95 |  7.78 |  8.45 |  7.84 |  6.75 |  6.81 |  8.09 |  8.16 |  8.93 |  7.88 |  7.44 |   7.99 |  7.62 |  7.24 |  6.94 |  7.53 |  8.89 |  8.05 |  8.74 |  8.63 |  6.82 |  7.50 |  8.00 |  7.83 |  7.49 |   8.45 |  7.83 |  7.84 |  7.96 |  7.92 |  8.27 |
|         2 |   8.71 |  8.68 |  8.69 |  7.68 |  8.15 |  7.71 |  8.34 |  8.18 |  9.16 |   8.29 |  7.97 |  8.45 |  8.48 |  6.77 |  7.52 |  7.91 |  8.42 |  8.88 |  8.54 |  7.90 |   8.57 |  8.42 |  7.56 |  8.26 |  7.72 |  8.98 |  8.55 |  8.88 |  8.63 |  7.29 |  7.94 |  7.69 |  8.14 |  7.86 |   8.58 |  7.72 |  8.04 |  8.47 |  8.53 |  8.96 |
|         3 |   8.96 |  9.10 |  8.57 |  7.78 |  8.04 |  8.03 |  8.39 |  7.87 |  9.02 |   8.24 |  7.77 |  8.49 |  8.56 |  7.09 |  7.94 |  7.83 |  8.56 |  9.11 |  9.12 |  8.03 |   8.63 |  8.62 |  7.93 |  8.68 |  7.94 |  9.00 |  8.61 |  8.80 |  9.02 |  7.59 |  8.13 |  8.36 |  8.49 |  8.39 |   8.99 |  8.50 |  8.14 |  8.74 |  8.62 |  9.33 |
|         4 |   9.05 |  8.89 |  8.45 |  7.85 |  7.89 |  8.24 |  7.29 |  7.41 |  8.56 |   7.55 |  7.44 |  7.75 |  8.97 |  7.58 |  7.82 |  7.83 |  8.48 |  8.98 |  9.25 |  7.77 |   8.33 |  8.47 |  7.93 |  8.82 |  7.97 |  8.99 |  8.80 |  8.26 |  8.86 |  7.63 |  8.44 |  8.76 |  8.21 |  8.42 |   9.03 |  8.51 |  7.91 |  8.36 |  7.77 |  8.99 |
|         5 |   8.12 |  7.92 |  7.32 |  7.21 |  8.01 |  7.77 |  6.77 |  7.30 |  7.59 |   6.71 |  6.66 |  7.13 |  8.02 |  7.27 |  7.36 |  7.93 |  8.23 |  8.09 |  8.60 |  7.20 |   7.62 |  7.47 |  7.50 |  8.83 |  7.73 |  8.46 |  8.33 |  7.17 |  8.25 |  7.33 |  8.48 |  8.51 |  7.77 |  7.92 |   8.68 |  7.56 |  7.35 |  7.74 |  6.82 |  8.24 |
|         6 |   7.65 |  7.44 |  7.07 |  6.94 |  7.66 |  7.23 |  6.97 |  7.27 |  7.55 |   6.67 |  6.33 |  7.21 |  7.30 |  7.48 |  6.92 |  7.53 |  7.49 |  7.62 |  7.71 |  7.07 |   7.70 |  7.18 |  7.05 |  8.19 |  7.04 |  7.95 |  7.05 |  7.31 |  7.58 |  7.53 |  7.95 |  7.57 |  7.07 |  7.42 |   7.87 |  6.98 |  7.71 |  7.91 |  7.03 |  7.57 |
|         7 |   7.69 |  7.16 |  6.35 |  6.22 |  6.90 |  7.14 |  6.67 |  7.18 |  7.52 |   6.00 |  5.47 |  6.41 |  6.80 |  6.31 |  7.10 |  5.98 |  7.04 |  7.36 |  7.45 |  6.88 |   7.50 |  7.07 |  7.23 |  7.53 |  7.49 |  7.79 |  6.81 |  6.68 |  7.73 |  7.06 |  6.96 |  7.24 |  6.25 |  5.92 |   8.00 |  7.25 |  7.09 |  7.48 |  6.85 |  7.36 |
|         8 |   5.95 |  6.63 |  5.23 |  5.51 |  6.35 |  6.33 |  6.05 |  5.87 |  6.40 |   5.72 |  5.90 |  5.93 |  6.15 |  5.77 |  6.06 |  5.85 |  7.09 |  6.76 |  7.27 |  6.54 |   6.51 |  6.78 |  6.06 |  7.92 |  6.49 |  6.57 |  6.72 |  7.16 |  7.12 |  6.25 |  6.65 |  7.09 |  6.61 |  5.34 |   8.11 |  6.49 |  6.15 |  6.37 |  6.25 |  7.45 |
|         9 |   5.97 |  6.40 |  4.94 |  5.32 |  6.24 |  7.04 |  5.77 |  5.99 |  5.78 |   6.26 |  5.90 |  5.71 |  5.69 |  5.20 |  5.36 |  6.17 |  6.03 |  6.20 |  5.80 |  5.61 |   6.59 |  5.59 |  6.10 |  7.31 |  6.23 |  6.28 |  6.59 |  7.11 |  6.21 |  5.47 |  7.12 |  6.86 |  6.19 |  5.78 |   7.74 |  6.11 |  5.60 |  6.03 |  5.82 |  6.07 |
