# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |      6 |     7 |     8 |      9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |     18 |     19 |    20 |    21 |    22 |    23 |     24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -1.29 | -1.73 |  0.04 | -2.26 | -1.68 |  -2.28 | -0.74 | -0.29 |  -0.98 | -0.87 | -0.72 | -0.59 | -1.96 | -0.27 | -0.88 | -1.89 | -0.53 |  -0.59 |  -0.97 | -2.23 | -1.93 | -0.61 | -0.41 |  -2.14 | -0.16 | -1.28 | -1.71 | -0.99 | -0.56 | -1.69 | -2.14 | -0.92 | -2.01 | -0.56 | -0.91 | -2.04 | -1.26 | -0.54 | -1.64 | -1.50 |
|         1 | -1.35 | -1.95 |  0.55 | -1.82 | -1.92 |  -1.68 | -1.11 | -0.32 |  -1.71 | -0.73 | -0.43 | -0.61 | -1.94 | -0.70 | -0.48 | -1.80 | -0.66 |  -0.50 |  -0.82 | -2.19 | -1.80 | -0.85 | -1.02 |  -1.68 | -0.40 | -2.07 | -1.64 | -0.22 | -0.50 | -1.48 | -1.44 | -1.02 | -2.02 | -0.52 | -0.80 | -1.58 | -1.55 | -0.20 | -2.03 | -0.87 |
|         2 | -2.26 | -2.20 |  0.33 | -1.37 | -1.95 |  -1.33 | -0.86 |  0.01 |  -1.57 | -0.91 | -0.57 | -0.47 | -1.77 | -0.80 | -0.41 | -1.44 | -0.43 |  -0.38 |  -0.47 | -1.58 | -1.68 | -0.91 | -1.08 |  -1.13 | -0.24 | -1.96 | -1.09 |  0.20 | -0.15 | -1.80 | -0.91 | -1.18 | -1.50 | -0.81 | -0.73 | -1.37 | -1.96 | -0.20 | -2.14 | -0.91 |
|         3 | -1.46 | -1.68 | -0.22 | -1.06 | -1.75 |  -1.50 | -0.77 |  0.19 |  -1.83 | -0.73 | -0.87 | -0.95 | -1.28 | -0.49 | -0.30 | -1.03 | -0.20 |  -0.85 |  -0.48 | -1.40 | -1.62 | -1.35 | -0.86 |  -0.93 | -0.10 | -1.82 | -0.91 |  0.16 | -0.34 | -1.55 | -1.02 | -1.25 | -1.63 | -1.07 | -1.17 | -1.48 | -1.68 | -0.52 | -2.09 | -1.53 |
|         4 | -1.30 | -0.91 | -0.51 | -0.93 | -1.24 |  -1.77 | -0.86 | -0.07 |  -1.77 | -1.20 | -0.81 | -1.05 | -0.72 | -0.20 | -0.13 | -1.20 | -0.33 |  -1.02 |  -0.73 | -1.13 | -1.39 | -1.30 | -0.72 |  -0.85 | -0.08 | -1.84 | -0.76 |  0.05 | -0.50 | -1.48 | -1.30 | -0.83 | -1.98 | -1.40 | -1.33 | -1.56 | -0.76 | -0.42 | -1.80 | -2.00 |
|         5 | -0.95 | -0.55 | -0.40 | -0.85 | -0.87 |  -1.47 | -0.84 | -0.32 |  -1.66 | -1.63 | -0.63 | -1.04 | -0.44 | -0.74 |     0 | -1.26 | -0.05 |  -0.98 |  -0.34 | -1.09 | -1.00 | -0.76 | -0.10 |  -0.85 | -0.22 | -1.56 | -0.87 | -0.21 | -0.70 | -1.19 | -1.55 | -0.66 | -2.40 | -1.35 | -1.13 | -1.43 | -1.15 | -0.17 | -1.15 | -2.01 |
|         6 | -0.33 | -0.51 | -0.65 | -0.69 | -0.78 |  -0.89 | -0.59 | -0.40 |  -1.37 | -1.34 | -0.73 | -1.02 | -0.51 | -1.10 |  0.05 | -1.31 | -0.10 |  -0.99 |  -0.66 | -0.86 | -0.95 | -0.75 |  0.03 |  -0.58 | -0.35 | -1.25 | -0.92 | -0.07 | -0.78 | -0.67 | -0.97 | -0.53 | -2.46 | -0.77 | -0.75 | -1.34 | -1.23 | -0.31 | -0.82 | -2.02 |
|         7 | -0.62 | -0.41 | -0.57 | -0.75 | -0.80 |  -0.59 | -0.44 | -0.23 |  -1.11 | -0.58 | -0.77 | -0.71 | -0.44 | -1.04 | -0.09 | -1.50 | -0.04 |  -0.98 |  -0.71 | -0.79 | -0.98 | -0.63 |  0.07 |  -0.55 | -0.64 | -0.84 | -0.81 | -0.10 | -0.75 | -0.87 | -0.30 | -0.54 | -1.98 | -0.53 | -0.50 | -1.24 | -1.42 | -0.23 | -0.71 | -1.71 |
|         8 | -0.64 | -0.49 | -0.41 | -0.72 | -0.61 |  -0.44 | -0.42 | -0.37 |  -0.86 | -0.21 | -0.75 | -0.76 | -0.48 | -1.19 | -0.28 | -1.68 | -0.05 |  -1.16 |  -0.63 | -0.49 | -0.87 | -0.62 |     0 |  -0.35 | -0.62 | -0.69 | -0.60 | -0.17 | -0.70 | -1.14 | -0.12 | -0.61 | -1.65 | -0.47 | -0.53 | -1.31 | -1.25 | -0.14 | -0.61 | -1.66 |
|         9 | -0.60 | -0.69 | -0.27 | -0.73 | -0.83 |  -0.35 | -0.34 | -0.29 |  -0.69 | -0.43 | -0.80 | -0.96 | -0.50 | -1.16 | -0.38 | -1.39 | -0.32 |  -1.17 |  -0.64 | -0.39 | -0.90 | -0.57 | -0.06 |  -0.34 | -0.68 | -0.70 | -0.71 | -0.15 | -1.02 | -0.99 | -0.10 | -0.53 | -1.23 | -0.56 | -0.65 | -1.29 | -0.57 | -0.32 | -0.60 | -1.64 |
