# variable: Wind Gust at 10m, Maximum of Time Interval before fcst_hour
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 | 41.83 | 40.45 | 34.32 | 37.56 | 36.34 | 40.86 | 40.72 | 32.12 | 32.83 | 33.07 | 39.31 | 38.68 | 43.31 | 39.84 | 35.77 | 30.55 | 42.59 | 37.22 | 37.58 | 34.32 | 34.59 | 35.38 | 33.83 | 36.20 | 39.18 | 38.56 | 36.60 | 37.30 | 40.42 | 35.83 | 34.18 | 38.45 | 39.35 | 40.46 | 38.34 | 34.38 | 36.74 | 38.17 | 36.53 | 32.90 |
|         2 | 43.36 | 43.78 | 38.78 | 37.10 | 40.99 | 43.64 | 38.49 | 32.39 | 36.14 | 37.28 | 39.89 | 40.27 | 43.30 | 40.04 | 35.21 | 31.71 | 42.85 | 41.04 | 38.50 | 34.74 | 36.40 | 38.40 | 34.15 | 40.61 | 35.93 | 39.26 | 37.29 | 36.85 | 38.60 | 38.73 | 38.93 | 37.71 | 37.16 | 40.66 | 39.47 | 37.74 | 37.97 | 41.81 | 38.25 | 34.08 |
|         3 | 43.70 | 43.01 | 39.25 | 33.32 | 40.97 | 42.56 | 40.31 | 32.10 | 40.96 | 40.97 | 40.63 | 39.50 | 43.41 | 39.02 | 35.56 | 36.20 | 46.76 | 40.26 | 42.48 | 35.54 | 37.68 | 40.72 | 36.11 | 42.15 | 37.45 | 40.25 | 39.74 | 37.33 | 38.98 | 39.01 | 41.46 | 38.24 | 38.73 | 38.84 | 38.92 | 38.54 | 39.08 | 41.64 | 39.45 | 36.23 |
|         4 | 39.87 | 42.97 | 37.20 | 36.91 | 41.38 | 43.74 | 40.28 | 33.16 | 40.67 | 40.95 | 41.57 | 38.69 | 44.23 | 39.40 | 36.50 | 36.13 | 46.77 | 41.42 | 45.02 | 38.73 | 36.42 | 39.60 | 36.09 | 42.06 | 38.67 | 42.53 | 40.47 | 37.71 | 39.00 | 41.26 | 44.02 | 40.03 | 38.67 | 38.50 | 39.91 | 38.70 | 38.30 | 39.64 | 42.75 | 35.81 |
|         5 | 39.00 | 42.35 | 35.38 | 37.22 | 41.46 | 42.04 | 36.17 | 33.85 | 37.16 | 40.52 | 41.81 | 38.95 | 39.61 | 39.74 | 35.92 | 37.48 | 42.44 | 41.48 | 45.82 | 38.69 | 39.75 | 32.71 | 35.26 | 41.75 | 37.99 | 42.54 | 37.69 | 37.75 | 37.07 | 42.84 | 44.29 | 39.34 | 38.09 | 36.13 | 39.17 | 38.53 | 37.57 | 36.33 | 42.82 | 37.40 |
|         6 | 37.23 | 32.34 | 33.78 | 33.76 | 37.22 | 32.38 | 31.18 | 33.39 | 36.22 | 38.46 | 38.09 | 33.50 | 32.05 | 36.25 | 29.39 | 36.79 | 36.54 | 38.79 | 42.01 | 32.12 | 39.69 | 28.78 | 33.05 | 37.31 | 37.03 | 39.70 | 34.62 | 34.62 | 35.59 | 40.14 | 38.14 | 35.67 | 37.74 | 28.32 | 33.80 | 33.48 | 32.49 | 32.54 | 38.37 | 37.21 |
|         7 | 30.55 | 26.57 | 28.81 | 28.51 | 31.11 | 29.75 | 33.47 | 32.41 | 35.22 | 33.19 | 30.65 | 28.35 | 29.14 | 28.35 | 28.01 | 28.43 | 33.03 | 33.52 | 32.26 | 27.05 | 34.57 | 32.03 | 26.16 | 30.41 | 30.37 | 32.43 | 27.36 | 30.08 | 29.66 | 27.37 | 29.60 | 29.90 | 29.80 | 30.61 | 26.01 | 30.78 | 26.80 | 32.78 | 32.36 | 30.67 |
|         8 | 31.55 | 28.80 | 26.85 | 25.43 | 30.20 | 32.29 | 34.29 | 31.13 | 32.27 | 33.76 | 27.15 | 31.32 | 29.70 | 31.43 | 31.30 | 26.45 | 33.43 | 32.36 | 32.34 | 30.37 | 32.97 | 31.86 | 24.73 | 32.85 | 28.85 | 31.30 | 30.18 | 31.13 | 27.92 | 27.83 | 32.90 | 28.21 | 27.02 | 30.79 | 26.81 | 31.03 | 28.21 | 32.24 | 34.88 | 27.97 |
|         9 | 31.81 | 29.60 | 27.28 | 24.98 | 33.39 | 32.14 | 34.30 | 29.50 | 30.77 | 33.94 | 26.90 | 32.12 | 29.39 | 31.70 | 32.19 | 26.49 | 32.79 | 33.22 | 32.35 | 31.20 | 33.36 | 30.32 | 25.33 | 33.43 | 28.86 | 31.24 | 31.78 | 32.23 | 28.20 | 31.03 | 35.70 | 28.38 | 29.43 | 30.69 | 27.48 | 31.20 | 28.30 | 30.48 | 34.87 | 29.81 |
|        10 | 31.63 | 30.29 | 27.17 | 26.36 | 34.35 | 29.10 | 33.23 | 30.20 | 32.52 | 33.75 | 25.70 | 32.49 | 27.44 | 31.05 | 33.75 | 26.90 | 30.94 | 33.97 | 31.81 | 30.95 | 34.28 | 31.51 | 25.86 | 33.73 | 28.89 | 29.03 | 32.61 | 32.23 | 28.66 | 31.35 | 40.09 | 27.39 | 29.93 | 31.87 | 27.44 | 30.85 | 28.14 | 30.37 | 33.02 | 29.80 |
|        11 | 34.31 | 30.35 | 27.95 | 26.92 | 36.19 | 29.04 | 30.61 | 30.46 | 37.11 | 35.32 | 25.21 | 36.01 | 27.03 | 31.80 | 35.89 | 29.59 | 30.54 | 37.44 | 31.95 | 28.24 | 35.97 | 31.52 | 27.27 | 33.95 | 29.20 | 28.11 | 32.45 | 31.21 | 28.25 | 31.31 | 43.27 | 28.10 | 29.67 | 34.09 | 27.54 | 30.50 | 28.36 | 32.94 | 33.46 | 29.44 |
|        12 | 36.11 | 31.12 | 26.95 | 25.20 | 36.43 | 30.58 | 28.06 | 32.68 | 37.31 | 35.95 | 25.67 | 36.99 | 26.98 | 32.67 | 38.70 | 28.99 | 29.92 | 38.08 | 32.18 | 27.84 | 35.55 | 30.42 | 26.02 | 33.99 | 28.54 | 27.21 | 31.21 | 32.17 | 28.48 | 32.55 | 43.20 | 27.74 | 31.24 | 37.98 | 26.72 | 30.13 | 26.81 | 34.30 | 36.13 | 27.29 |
|        13 | 36.11 | 31.99 | 26.60 | 24.23 | 35.45 | 33.55 | 27.19 | 33.44 | 37.34 | 34.03 | 23.24 | 36.22 | 26.02 | 32.07 | 38.84 | 28.20 | 28.21 | 37.37 | 29.68 | 26.31 | 35.03 | 28.97 | 24.67 | 32.95 | 26.69 | 25.81 | 29.03 | 31.90 | 27.31 | 32.48 | 41.50 | 25.88 | 31.34 | 38.39 | 24.33 | 30.09 | 24.84 | 34.12 | 36.13 | 24.71 |
|        14 | 33.27 | 32.06 | 21.38 | 21.53 | 30.83 | 33.46 | 24.86 | 32.95 | 35.98 | 27.45 | 19.71 | 31.53 | 23.45 | 27.90 | 36.81 | 26.19 | 24.17 | 33.03 | 24.23 | 24.41 | 33.25 | 24.77 | 21.36 | 31.32 | 24.60 | 23.80 | 26.71 | 29.20 | 24.70 | 29.62 | 39.42 | 22.76 | 30.45 | 36.79 | 22.46 | 28.05 | 21.47 | 31.18 | 34.18 | 22.92 |
|        15 | 26.42 | 25.16 | 10.57 | 17.84 | 22.97 | 31.22 | 19.16 | 26.44 | 31.43 | 18.58 | 16.49 | 22.10 | 18.65 | 19.99 | 30.20 | 18.86 | 17.06 | 25.15 | 17.18 | 20.87 | 27.90 | 18.81 | 16.16 | 25.04 | 19.63 | 18.90 | 22.43 | 23.30 | 19.30 | 24.45 | 33.06 | 18.83 | 25.15 | 29.64 | 18.22 | 21.27 | 16.68 | 23.52 | 26.97 | 18.92 |
|        16 | 18.82 | 16.55 |  9.75 | 13.70 | 16.29 | 23.49 | 13.51 | 16.72 | 23.83 | 13.32 | 20.74 | 13.21 | 12.43 | 11.68 | 21.53 | 10.24 | 10.96 | 17.58 | 12.61 | 14.73 | 20.75 | 14.29 |  9.23 | 17.33 | 14.12 | 11.56 | 17.28 | 16.22 | 12.29 | 20.04 | 24.56 | 15.57 | 18.11 | 19.23 | 19.23 | 13.48 | 12.57 | 15.02 | 18.18 | 15.30 |
|        17 | 17.32 | 15.42 | 13.33 | 13.95 | 16.18 | 17.98 | 11.38 | 13.74 | 18.89 | 13.09 | 23.34 | 11.39 |  9.32 | 10.14 | 16.94 | 15.71 |  9.77 | 13.81 | 12.04 | 15.38 | 16.99 | 13.42 |  8.60 | 14.47 | 12.42 |  8.36 | 15.58 | 14.15 |  9.60 | 18.75 | 20.59 | 17.84 | 16.44 | 14.39 | 22.30 | 12.02 | 14.73 | 12.28 | 13.49 | 14.95 |
|        18 | 16.08 | 14.89 | 14.73 | 14.87 | 15.40 | 14.36 | 10.94 | 12.22 | 16.04 | 12.02 | 23.28 | 10.77 | 10.62 | 10.79 | 13.35 | 16.55 |  8.06 | 12.29 | 12.55 | 16.53 | 13.87 | 13.99 |  9.60 | 13.04 | 11.99 |  7.24 | 14.69 | 12.05 |  7.35 | 15.94 | 18.05 | 19.03 | 14.80 | 10.65 | 23.53 | 11.13 | 16.91 | 10.64 | 10.64 | 15.41 |
|        19 | 12.90 | 12.72 | 15.81 | 16.95 | 17.88 | 11.56 | 10.93 | 11.39 | 11.21 | 14.88 | 21.66 |  9.74 | 13.78 | 11.05 |  9.88 | 17.49 |  7.81 | 10.47 | 14.40 | 18.11 | 12.45 | 15.18 | 12.90 | 11.34 | 11.01 |  8.01 | 15.77 | 12.54 |  7.17 | 13.78 | 16.21 | 19.06 | 13.22 | 10.12 | 22.98 |  8.44 | 17.97 |  7.97 |  7.66 | 16.97 |
|        20 | 11.26 |  9.85 | 16.05 | 18.41 | 19.75 |  9.85 | 13.70 | 12.78 | 10.74 | 16.78 | 21.31 | 10.34 | 14.62 | 12.42 |  8.71 | 17.77 |  9.14 |  9.55 | 16.75 | 20.44 | 13.68 | 16.88 | 16.25 | 10.86 | 11.44 |  8.37 | 18.55 | 12.45 |  8.75 | 15.52 | 13.34 | 18.92 | 14.65 |  9.60 | 22.21 |  7.81 | 17.91 |  8.68 |  8.26 | 17.40 |
|        21 |  8.97 |  9.88 | 15.41 | 20.33 | 22.97 |  8.06 | 15.32 | 15.83 | 11.63 | 17.61 | 20.87 | 12.99 | 15.77 | 14.80 |  8.26 | 17.55 |  9.77 |  9.81 | 18.31 | 20.91 | 16.05 | 19.87 | 16.56 | 11.90 | 13.35 |  8.72 | 19.79 | 12.48 |  9.89 | 17.77 | 13.63 | 18.62 | 16.54 |  9.65 | 20.61 |  8.35 | 18.13 | 10.07 | 10.20 | 17.41 |
|        22 | 11.26 | 12.55 | 14.54 | 20.82 | 24.12 | 10.81 | 16.72 | 18.96 | 12.40 | 20.15 | 17.74 | 16.51 | 16.76 | 16.30 |  9.37 | 21.56 | 12.21 | 11.00 | 18.89 | 20.53 | 19.52 | 21.34 | 17.09 | 13.05 | 14.89 | 12.00 | 20.94 | 15.99 | 11.80 | 18.36 | 13.98 | 16.80 | 18.10 | 12.84 | 18.47 | 10.30 | 18.22 | 12.27 | 11.10 | 16.85 |
|        23 | 13.20 | 13.09 | 14.97 | 20.86 | 22.11 | 14.35 | 19.04 | 20.59 | 13.65 | 21.33 | 18.19 | 17.39 | 17.61 | 18.85 | 11.70 | 21.81 | 15.59 | 12.35 | 20.45 | 20.12 | 20.16 | 21.49 | 17.34 | 14.62 | 15.96 | 11.96 | 20.88 | 17.32 | 13.38 | 18.16 | 15.54 | 16.60 | 19.97 | 15.83 | 16.48 | 13.98 | 17.82 | 15.02 | 13.19 | 17.14 |
|        24 | 16.87 | 15.69 | 18.57 | 20.33 | 21.09 | 16.36 | 19.00 | 21.17 | 14.98 | 20.83 | 18.33 | 18.72 | 17.56 | 19.13 | 16.33 | 19.47 | 15.44 | 13.42 | 21.05 | 19.26 | 20.29 | 20.90 | 17.16 | 14.96 | 16.07 | 12.74 | 19.78 | 18.63 | 15.39 | 16.79 | 17.45 | 16.91 | 20.24 | 17.99 | 15.52 | 15.05 | 18.08 | 16.53 | 13.94 | 16.85 |
