# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |      3 |     4 |     5 |     6 |     7 |     8 |      9 |     10 |    11 |    12 |    13 |    14 |    15 |     16 |    17 |    18 |    19 |     20 |    21 |     22 |     23 |    24 |     25 |     26 |     27 |    28 |     29 |     30 |    31 |     32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |   0.10 |  5.20 |   1.80 |  2.40 |  3.50 |  1.40 |  0.90 |  0.80 |   0.30 |   1.30 |  1.40 |  0.40 |  0.40 |  0.20 |  0.40 |   2.80 |  0.60 |  0.10 |  0.20 |   2.10 |  4.00 |   2.40 |   3.70 |  0.90 |   1.60 |   2.60 |   4.20 |  2.60 |   5.60 |   2.60 |  2.70 |   0.20 |  2.80 |  0.10 |  0.80 |  1.60 |  2.10 |  0.80 |  2.70 |  1.20 |
|         9 |   6.70 | 45.90 |  35.50 | 27.90 | 14.50 | 13.20 | 17.20 | 22.50 |  22.50 |  24.30 | 24.60 |  5.10 |  7.20 |  1.10 |  0.10 |  39.50 |  4.30 |  0.60 |  4.20 |  18.50 | 27.20 |  24.10 |  45.50 |  5.20 |  26.20 |  49.30 |  50.00 | 46.20 |  39.00 |  30.80 | 17.20 |  16.20 | 28.80 |  5.60 |  7.40 | 27.80 | 13.60 | 13.10 | 22.10 | 15.50 |
|        10 |  19.50 | 75.30 |  82.60 | 82.50 | 43.10 | 54.00 | 59.90 | 46.00 | 100.20 |  35.40 | 70.80 | 26.20 | 15.50 |  5.10 |  1.40 |  98.20 | 11.20 |  9.10 | 16.40 |  48.10 | 42.60 |  34.50 | 125.60 | 10.10 |  73.20 | 126.90 | 123.10 | 91.80 |  84.60 |  67.70 | 56.30 |  24.70 | 58.20 | 14.00 | 12.00 | 70.20 | 18.40 | 21.00 | 50.30 | 34.40 |
