# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |     4 |     5 |    6 |    7 |     8 |    9 |    10 |   11 |   12 |    13 |   14 |   15 |    16 |    17 |    18 |   19 |   20 |   21 |   22 |   23 |    24 |   25 |    26 |   27 |   28 |   29 |    30 |    31 |   32 |   33 |   34 |   35 |   36 |   37 |   38 |   39 |   40 |
|         0 | 1.70 | 2.43 |  1.76 |  2.34 |  2.14 | 1.30 | 2.05 |  1.41 | 1.04 |  1.23 | 1.91 | 1.53 |  1.09 | 1.79 | 2.48 |  1.42 |  2.11 |  1.61 | 1.08 | 2.34 | 2.08 | 1.75 | 2.21 |  1.71 | 1.15 |  1.99 | 0.91 | 1.44 | 1.72 |  1.55 |  1.20 | 1.63 | 1.41 | 2.04 | 1.19 | 1.25 | 1.72 | 0.75 | 2.20 | 1.84 |
|         1 | 1.94 | 2.38 |  2.05 |  2.38 |  2.34 | 1.75 | 2.32 |  1.65 | 1.18 |  1.26 | 2.12 | 1.52 |  1.03 | 1.71 | 2.62 |  1.72 |  2.36 |  1.73 | 1.20 | 2.41 | 2.34 | 2.18 | 2.38 |  1.92 | 1.39 |  2.07 | 1.16 | 1.77 | 2.11 |  1.44 |  1.47 | 1.73 | 1.55 | 2.10 | 1.17 | 0.77 | 1.62 | 0.97 | 2.19 | 2.12 |
|         2 | 1.94 | 2.06 |  2.12 |  2.38 |  2.36 | 2.02 | 2.40 |  1.64 | 1.25 |  1.22 | 2.29 | 1.32 |  0.90 | 1.52 | 2.65 |  1.76 |  2.48 |  1.78 | 1.37 | 2.53 | 2.38 | 2.24 | 2.53 |  2.13 | 1.48 |  2.04 | 1.21 | 1.78 | 2.11 |  1.38 |  1.48 | 1.56 | 1.63 | 1.97 | 1.23 | 0.74 | 1.48 | 0.98 | 2.32 | 2.13 |
|         3 | 1.85 | 1.73 |  1.82 |  2.27 |  2.41 | 2.14 | 2.34 |  1.64 | 1.30 |  1.17 | 2.35 | 1.04 |  0.94 | 1.24 | 2.32 |  1.56 |  2.43 |  1.87 | 1.49 | 2.57 | 2.57 | 2.17 | 2.62 |  2.01 | 1.43 |  1.79 | 1.12 | 1.64 | 1.99 |  1.53 |  1.73 | 1.54 | 1.67 | 1.86 | 1.15 | 0.81 | 1.35 | 0.96 | 2.31 | 2.26 |
|         4 | 1.80 | 1.88 |  1.64 |  1.86 |  2.67 | 2.11 | 2.20 |  1.43 | 1.40 |  0.92 | 2.23 | 0.96 |  0.78 | 1.20 | 1.89 |  1.27 |  2.36 |  1.95 | 1.61 | 2.43 | 2.31 | 2.04 | 2.32 |  1.65 | 1.28 |  1.26 | 1.22 | 1.62 | 2.01 |  1.50 |  1.81 | 1.51 | 1.80 | 1.45 | 0.77 | 0.81 | 1.50 | 0.97 | 2.05 | 2.02 |
|         5 | 1.40 | 1.86 |  1.37 |  1.78 |  2.65 | 1.78 | 1.97 |  1.34 | 1.30 |  0.93 | 1.94 | 0.82 |  0.52 | 0.98 | 1.72 |  1.13 |  2.17 |  1.60 | 1.56 | 2.24 | 2.15 | 1.90 | 2.24 |  1.24 | 1.12 |  0.92 | 1.04 | 1.69 | 1.92 |  1.76 |  1.72 | 1.41 | 1.58 | 1.03 | 0.57 | 0.88 | 1.53 | 0.96 | 1.89 | 1.63 |
|         6 | 1.16 | 1.70 |  1.30 |  1.58 |  2.09 | 1.45 | 1.79 |  1.12 | 1.11 |  0.88 | 1.51 | 0.71 |  0.40 | 0.71 | 1.37 |  1.11 |  1.77 |  1.22 | 1.42 | 1.71 | 1.76 | 1.53 | 1.52 |  0.94 | 0.98 |  0.78 | 0.64 | 1.43 | 1.42 |  1.80 |  1.47 | 1.34 | 1.25 | 0.94 | 0.90 | 0.84 | 1.56 | 1.03 | 1.52 | 1.30 |
|         7 | 1.07 | 1.22 |  0.97 |  1.56 |  1.57 | 1.15 | 1.55 |  0.80 | 0.82 |  0.85 | 1.05 | 0.58 |  0.26 | 1.01 | 1.07 |  0.71 |  1.16 |  1.17 | 1.27 | 1.16 | 1.27 | 1.00 | 0.68 |  0.66 | 0.71 |  0.79 | 0.51 | 1.12 | 0.68 |  1.49 |  1.15 | 1.15 | 0.97 | 0.59 | 0.98 | 0.88 | 1.34 | 0.90 | 0.99 | 0.96 |
|         8 | 1.01 | 0.82 |  0.81 |  1.39 |  1.34 | 1.11 | 1.39 |  0.51 | 0.71 |  0.75 | 0.78 | 0.59 |  0.18 | 1.06 | 0.98 |  0.42 |  0.93 |  1.11 | 1.18 | 0.88 | 1.03 | 0.74 | 0.48 |  0.59 | 0.54 |  0.72 | 0.35 | 0.85 | 0.43 |  0.82 |  0.78 | 0.97 | 0.83 | 0.45 | 0.92 | 0.62 | 1.04 | 0.64 | 0.70 | 0.85 |
|         9 | 1.34 | 0.75 |  1.05 |  1.59 |  1.60 | 1.56 | 1.52 |  0.54 | 0.81 |  0.79 | 1.01 | 0.86 |  0.37 | 1.09 | 1.14 |  0.51 |  1.09 |  1.24 | 1.23 | 1.09 | 1.15 | 0.89 | 0.80 |  0.70 | 0.67 |  0.77 | 0.48 | 0.90 | 0.61 |  0.87 |  0.68 | 1.09 | 0.95 | 0.61 | 1.17 | 0.68 | 1.23 | 0.82 | 0.83 | 0.95 |
|        10 | 1.61 | 1.05 |  1.43 |  2.13 |  2.00 | 2.17 | 1.94 |  0.99 | 1.24 |  0.83 | 1.57 | 1.36 |  1.01 | 1.39 | 1.44 |  0.88 |  1.46 |  1.44 | 1.40 | 1.43 | 1.71 | 1.25 | 1.59 |  0.84 | 1.07 |  1.08 | 0.97 | 1.11 | 1.05 |  1.52 |  0.92 | 1.34 | 1.20 | 0.97 | 1.39 | 1.31 | 1.77 | 1.25 | 1.29 | 1.16 |
|        11 | 1.90 | 1.51 |  1.85 |  2.59 |  2.55 | 2.49 | 2.37 |  1.36 | 1.59 |  1.05 | 1.91 | 1.87 |  1.47 | 1.74 | 1.90 |  1.35 |  1.78 |  1.82 | 1.71 | 1.75 | 2.00 | 1.54 | 2.15 |  0.97 | 1.37 |  1.48 | 1.26 | 1.30 | 1.44 |  2.05 |  1.07 | 1.64 | 1.33 | 1.45 | 1.44 | 1.68 | 2.15 | 1.59 | 1.45 | 1.40 |
|        12 | 2.27 | 1.79 |  2.15 |  2.82 |  2.86 | 2.63 | 2.64 |  1.54 | 1.83 |  1.27 | 2.06 | 2.19 |  1.70 | 1.95 | 2.29 |  1.46 |  2.09 |  2.21 | 1.90 | 2.05 | 2.35 | 1.74 | 2.45 |  0.99 | 1.66 |  1.79 | 1.41 | 1.61 | 1.73 |  2.54 |  1.11 | 2.07 | 1.62 | 1.84 | 1.70 | 1.80 | 2.46 | 1.99 | 1.77 | 1.51 |
|        13 | 2.43 | 1.94 |  2.22 |  2.98 |  3.01 | 2.66 | 2.76 |  1.68 | 1.91 |  1.51 | 2.19 | 2.45 |  1.86 | 2.25 | 2.60 |  1.60 |  2.37 |  2.50 | 2.02 | 2.26 | 2.53 | 1.92 | 2.62 |  1.06 | 2.00 |  2.05 | 1.55 | 1.76 | 1.96 |  2.77 |  1.22 | 2.30 | 1.71 | 2.18 | 1.90 | 2.01 | 2.57 | 2.10 | 2.01 | 1.67 |
|        14 | 2.34 | 1.96 |  2.08 |  2.97 |  3.01 | 2.44 | 2.64 |  1.63 | 1.59 |  1.43 | 2.15 | 2.28 |  1.66 | 1.97 | 2.72 |  1.52 |  2.52 |  2.34 | 1.91 | 2.24 | 2.49 | 1.79 | 2.44 |  1.13 | 2.11 |  2.04 | 1.20 | 1.69 | 1.73 |  2.70 |  1.14 | 2.30 | 1.81 | 2.05 | 1.87 | 1.88 | 2.67 | 1.98 | 1.85 | 1.53 |
|        15 | 1.90 | 1.63 |  1.55 |  2.44 |  2.41 | 1.80 | 2.14 |  1.11 | 0.68 |  0.92 | 1.59 | 1.68 |  1.26 | 1.52 | 2.62 |  0.72 |  2.12 |  1.70 | 1.45 | 1.67 | 2.04 | 0.95 | 1.44 |  1.11 | 1.79 |  1.51 | 0.57 | 1.04 | 0.66 |  1.95 |  0.87 | 1.77 | 1.41 | 1.59 | 1.56 | 1.16 | 2.45 | 1.46 | 1.20 | 1.02 |
|        16 | 1.54 | 1.15 |  1.22 |  1.70 |  1.55 | 1.53 | 1.61 |  0.69 | 0.36 |  0.76 | 1.16 | 1.26 |  0.82 | 1.21 | 2.37 |  0.39 |  1.56 |  1.25 | 1.04 | 1.00 | 1.70 | 0.59 | 0.71 |  1.15 | 1.29 |  1.19 | 0.45 | 0.76 | 0.31 |  1.10 |  0.77 | 1.44 | 1.10 | 1.19 | 1.29 | 0.59 | 2.11 | 0.95 | 0.71 | 0.80 |
|        17 | 1.12 | 0.89 |  1.02 |  1.41 |  1.17 | 1.34 | 1.41 |  0.49 | 0.33 |  0.78 | 1.03 | 0.89 |  0.57 | 1.13 | 2.10 |  0.21 |  1.49 |  1.34 | 1.05 | 0.69 | 1.60 | 0.62 | 0.44 |  1.25 | 1.08 |  1.17 | 0.57 | 0.68 | 0.27 |  0.74 |  0.88 | 1.39 | 1.17 | 1.01 | 1.32 | 0.44 | 1.81 | 0.49 | 0.90 | 0.79 |
|        18 | 1.08 | 0.32 |  0.93 |  1.35 |  0.50 | 1.12 | 1.35 |  0.50 | 0.38 |  0.85 | 0.38 | 0.68 |  0.48 | 1.35 | 1.87 |  0.12 |  1.56 |  1.70 | 1.18 | 0.51 | 1.53 | 0.70 | 0.18 |  1.36 | 0.96 |  1.19 | 0.66 | 0.70 | 0.25 |  0.64 |  0.96 | 1.39 | 1.12 | 1.17 | 1.21 | 0.41 | 1.72 | 0.27 | 1.23 | 0.90 |
|        19 | 1.26 | 0.19 |  0.92 |  1.45 | -0.03 | 0.63 | 1.38 |  0.59 | 0.40 |  0.96 | 0.29 | 0.78 |  0.51 | 1.68 | 1.88 |  0.09 |  1.64 |  2.04 | 1.38 | 0.42 | 1.45 | 0.73 | 0.05 |  1.52 | 0.99 |  1.29 | 0.70 | 0.84 | 0.17 |  0.49 |  1.05 | 1.47 | 1.12 | 1.43 | 1.13 | 0.44 | 1.78 | 0.09 | 1.69 | 0.98 |
|        20 | 1.48 | 0.32 |  0.93 |  1.22 | -0.44 | 0.49 | 1.52 |  0.75 | 0.28 |  1.10 | 0.27 | 0.94 |  0.59 | 1.95 | 1.97 |  0.14 |  1.79 |  2.37 | 1.60 | 0.43 | 1.35 | 0.63 | 0.09 |  1.78 | 1.13 |  1.42 | 0.69 | 1.06 | 0.12 |  0.37 |  1.19 | 1.55 | 1.28 | 1.68 | 1.29 | 0.52 | 1.86 | 0.05 | 2.42 | 0.95 |
|        21 | 1.81 | 0.38 |  0.95 |  0.71 | -0.28 | 0.53 | 1.76 |  0.97 | 0.23 |  1.26 | 0.29 | 1.08 |  0.66 | 2.28 | 2.09 |  0.28 |  2.08 |  2.84 | 2.06 | 0.47 | 1.36 | 0.62 | 0.14 |  1.95 | 1.26 |  1.59 | 0.73 | 1.40 | 0.15 |  0.49 |  1.40 | 1.62 | 1.39 | 2.09 | 1.46 | 0.63 | 2.09 | 0.13 | 2.93 | 0.92 |
|        22 | 2.13 | 0.50 |  1.08 |  0.77 |    -0 | 0.57 | 2.08 |  1.31 | 0.29 |  1.43 | 0.35 | 1.40 |  0.83 | 2.66 | 2.30 |  0.41 |  2.42 |  3.10 | 2.70 | 0.58 | 1.46 | 0.74 | 0.18 |  2.20 | 1.46 |  1.88 | 1.06 | 1.67 | 0.21 |  0.71 |  1.70 | 1.82 | 1.56 | 2.61 | 1.73 | 0.80 | 2.52 | 0.23 | 3.08 | 1.09 |
|        23 | 2.32 | 0.69 |  1.33 |  0.88 |  0.21 | 0.56 | 2.58 |  1.64 | 0.37 |  1.50 | 0.41 | 1.83 |  1.14 | 2.65 | 2.57 |  0.54 |  2.68 |  3.47 | 3.08 | 0.81 | 1.60 | 0.79 | 0.46 |  2.46 | 1.81 |  2.11 | 1.30 | 1.95 | 0.35 |  0.94 |  1.83 | 2.16 | 1.79 | 2.97 | 2.14 | 1.07 | 2.86 | 0.28 | 3.11 | 1.27 |
|        24 | 2.74 | 1.03 |  1.65 |  1.24 |  0.39 | 0.54 | 3.08 |  2.11 | 0.63 |  1.65 | 0.49 | 2.27 |  2.12 | 2.66 | 2.85 |  0.67 |  3.09 |  3.53 | 3.24 | 1.05 | 1.71 | 0.82 | 0.80 |  2.81 | 2.30 |  2.45 | 1.51 | 2.05 | 0.67 |  1.16 |  1.92 | 2.51 | 2.26 | 3.20 | 2.45 | 1.54 | 3.22 | 0.34 | 3.18 | 1.64 |
|        25 | 2.78 | 1.39 |  1.97 |  1.56 |  0.68 | 0.73 | 3.40 |  2.84 | 0.86 |  1.76 | 0.62 | 2.82 |  2.59 | 2.77 | 2.90 |  0.88 |  3.67 |  3.69 | 3.16 | 1.50 | 1.97 | 1.01 | 1.08 |  3.08 | 2.92 |  3.13 | 1.62 | 2.11 | 0.92 |  1.46 |  2.16 | 2.84 | 3.01 | 3.42 | 2.65 | 1.93 | 3.47 | 0.46 | 3.29 | 1.89 |
|        26 | 2.72 | 1.72 |  2.24 |  1.96 |  0.99 | 0.98 | 3.64 |  3.36 | 1.15 |  1.78 | 0.88 | 3.17 |  3.32 | 2.97 | 2.95 |  1.04 |  3.91 |  4.11 | 3.20 | 1.89 | 2.37 | 1.30 | 1.24 |  3.23 | 3.22 |  3.45 | 1.65 | 2.46 | 2.08 |  1.95 |  2.36 | 3.04 | 3.67 | 3.61 | 2.95 | 2.33 | 3.67 | 0.61 | 3.37 | 2.02 |
|        27 | 2.56 | 2.21 |  2.41 |  2.06 |  1.18 | 1.25 | 3.55 |  3.69 | 1.53 |  1.99 | 1.16 | 3.16 |  3.68 | 3.06 | 3.39 |  0.92 |  3.98 |  4.38 | 3.60 | 2.60 | 2.74 | 1.42 | 1.22 |  3.24 | 3.51 |  3.67 | 1.78 | 2.68 | 1.78 |  2.66 |  2.57 | 3.14 | 4.07 | 3.79 | 3.08 | 2.79 | 3.73 | 0.75 | 3.37 | 2.17 |
|        28 | 2.60 | 3.19 |  2.66 |  2.09 |  1.67 | 1.66 | 3.60 |  3.94 | 1.51 |  2.11 | 1.55 | 3.22 |  3.88 | 3.12 | 3.20 |  0.80 |  4.07 |  4.54 | 3.75 | 2.90 | 2.94 | 1.50 | 1.35 |  3.20 | 3.58 |  3.89 | 1.93 | 3.04 | 1.68 |  3.10 |  2.65 | 3.28 | 4.18 | 3.87 | 3.04 | 3.10 | 3.69 | 0.91 | 3.41 | 2.36 |
|        29 | 2.64 | 3.64 |  2.91 |  2.14 |  1.46 | 1.82 | 3.76 |  4.04 | 1.64 |  2.19 | 1.37 | 3.24 |  4.17 | 3.27 | 3.27 |  1.71 |  4.07 |  4.42 | 3.89 | 3.03 | 2.95 | 1.60 | 1.41 |  3.16 | 3.74 |  4.05 | 2.21 | 3.22 | 2.11 |  3.26 |  2.66 | 3.54 | 4.25 | 3.88 | 3.14 | 3.14 | 3.66 | 1.05 | 3.45 | 2.61 |
|        30 | 2.71 | 4.07 |  3.13 |  2.16 |  1.48 | 2.03 | 3.82 |  4.17 | 1.85 |  2.34 | 1.37 | 3.30 |  4.44 | 3.25 | 3.24 |  1.90 |  3.99 |  4.39 | 4.07 | 3.21 | 2.92 | 1.65 | 1.47 |  3.15 | 3.83 |  4.11 | 2.40 | 3.33 | 2.71 |  3.05 |  2.77 | 3.68 | 4.29 | 3.90 | 3.07 | 3.07 | 3.69 | 1.11 | 3.53 | 2.91 |
|        31 | 2.93 | 4.53 |  3.10 |  2.11 |  1.61 | 2.19 | 3.93 |  4.27 | 2.04 |  2.39 | 1.55 | 3.33 |  4.46 | 3.29 | 3.51 |  2.02 |  3.97 |  4.39 | 4.28 | 3.30 | 2.84 | 1.73 | 1.68 |  3.14 | 3.82 |  4.19 | 2.47 | 3.41 | 2.77 |  3.17 |  2.94 | 3.79 | 4.36 | 3.91 | 2.94 | 3.01 | 3.60 | 1.02 | 3.41 | 3.24 |
