# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |    1 |    2 |     3 |     4 |    5 |     6 |    7 |     8 |     9 |    10 |   11 |    12 |    13 |    14 |    15 |    16 |    17 |   18 |    19 |   20 |    21 |    22 |   23 |   24 |   25 |    26 |    27 |   28 |    29 |   30 |   31 |    32 |    33 |    34 |    35 |   36 |   37 |    38 |    39 |    40 |
|         1 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         2 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         3 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         4 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         5 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         6 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         7 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |    0 |     0 |     0 |    0 |    0 |    0 |     0 |     0 |    0 |     0 |    0 |    0 |     0 |     0 |     0 |     0 |    0 |    0 |     0 |     0 |     0 |
|         8 |    0 | 0.10 |     0 |     0 |    0 |  0.10 | 0.80 |  0.10 |     0 |     0 |    0 |  0.10 |  0.10 |     0 |  0.10 |  0.20 |     0 |    0 |     0 |    0 |  0.10 |     0 | 0.10 |    0 |    0 |     0 |  0.20 | 0.40 |  0.10 |    0 |    0 |     0 |     0 |  0.10 |  0.10 | 0.10 |    0 |  0.10 |  0.10 |  0.30 |
|         9 | 0.20 |    0 |  0.40 |  0.60 | 0.20 |  0.40 | 3.50 |     0 |  0.60 |  0.10 | 0.10 |  1.80 |  0.10 |  0.10 |  0.20 |  2.30 |  0.20 | 0.40 |  0.10 | 0.40 |  1.10 |     0 | 0.30 | 0.40 | 3.00 |  0.30 |  1.00 | 0.10 |  4.20 |    0 | 1.10 |  0.40 |     0 |  0.50 |  1.60 | 0.50 | 3.50 |  0.30 |  2.30 |  3.10 |
|        10 | 4.90 | 4.20 |  0.90 |  1.50 | 4.60 |  1.70 | 1.80 |  1.90 |  4.90 |  0.50 | 1.00 |  0.60 |  2.40 |  7.40 |  1.10 |  3.40 |  4.50 | 2.20 |  2.60 | 3.60 |  0.80 |  3.60 | 1.60 | 3.60 | 1.40 |  2.80 |  1.90 | 1.40 |  3.40 |    0 | 3.20 |  0.80 |  1.50 |  2.40 |  4.30 | 6.10 | 4.50 |  1.90 |  2.40 |  1.90 |
