# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |    10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |    22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |   32 |    33 |   34 |    35 |    36 |    37 |   38 |   39 |   40 |
|         0 | 2.71 | 2.06 | 2.55 | 1.26 | 0.98 | 2.83 | 3.17 | 2.41 | 1.86 |  2.42 | 2.22 | 2.92 | 0.87 | 1.52 | 2.22 | 1.92 | 2.27 | 3.25 | 2.27 | 2.71 | 2.72 |  2.22 | 1.52 | 3.05 | 3.04 | 2.97 | 2.44 | 2.78 | 0.88 | 0.83 | 2.64 | 2.25 |  2.43 | 2.31 |  2.50 |  2.17 |  3.12 | 1.75 | 2.03 | 2.15 |
|         1 | 3.03 | 2.48 | 2.72 | 1.83 | 1.82 | 3.25 | 3.45 | 2.99 | 2.47 |  2.71 | 2.68 | 3.29 | 1.17 | 1.97 | 2.49 | 2.23 | 3.00 | 3.59 | 2.43 | 3.35 | 3.17 |  2.70 | 2.00 | 3.21 | 3.55 | 3.36 | 2.78 | 3.18 | 1.98 | 1.06 | 2.71 | 2.54 |  3.14 | 2.61 |  3.08 |  3.19 |  3.36 | 2.04 | 2.53 | 2.47 |
|         2 | 3.02 | 3.00 | 2.92 | 2.07 | 2.14 | 3.65 | 3.71 | 3.36 | 2.80 |  2.74 | 3.03 | 3.71 | 1.81 | 2.24 | 2.97 | 2.58 | 3.37 | 3.78 | 2.74 | 3.66 | 3.44 |  3.12 | 2.41 | 3.42 | 4.05 | 3.60 | 3.02 | 3.34 | 2.36 | 1.41 | 2.77 | 2.87 |  3.52 | 2.94 |  3.47 |  3.73 |  3.63 | 2.89 | 2.73 | 2.81 |
|         3 | 3.08 | 3.62 | 3.33 | 2.20 | 2.24 | 3.94 | 3.83 | 3.62 | 3.05 |  2.67 | 2.90 | 3.88 | 2.31 | 2.47 | 3.19 | 2.73 | 3.61 | 4.00 | 3.12 | 3.95 | 3.44 |  3.24 | 2.63 | 3.50 | 4.22 | 3.75 | 3.30 | 3.47 | 2.85 | 2.20 | 2.82 | 3.11 |  3.78 | 3.19 |  3.51 |  3.90 |  3.76 | 3.21 | 2.90 | 3.11 |
|         4 | 3.16 | 3.93 | 3.64 | 2.31 | 2.03 | 4.00 | 3.86 | 3.77 | 3.30 |  2.78 | 3.10 | 3.86 | 2.39 | 2.81 | 3.54 | 2.82 | 3.86 | 4.18 | 3.26 | 3.97 | 3.23 |  3.18 | 2.35 | 3.50 | 4.13 | 3.86 | 3.40 | 3.56 | 3.42 | 2.71 | 2.96 | 3.33 |  3.95 | 3.41 |  3.64 |  3.94 |  3.81 | 3.51 | 3.01 | 3.45 |
|         5 | 3.18 | 4.26 | 3.61 | 2.51 | 2.76 | 3.98 | 3.91 | 3.90 | 3.43 |  2.88 | 3.38 | 3.85 | 2.15 | 3.01 | 3.50 | 2.95 | 3.86 | 4.27 | 3.24 | 3.91 | 3.34 |  2.94 | 2.93 | 3.59 | 4.18 | 3.93 | 3.47 | 3.66 | 3.66 | 2.88 | 3.07 | 3.40 |  3.99 | 3.56 |  3.80 |  3.86 |  3.91 | 3.70 | 3.11 | 3.64 |
|         6 | 3.15 | 4.47 | 3.43 | 2.69 | 3.39 | 3.89 | 4.01 | 3.87 | 3.48 |  3.02 | 3.48 | 3.79 | 2.37 | 3.06 | 3.54 | 3.01 | 3.69 | 4.22 | 3.39 | 3.89 | 3.50 |  2.81 | 3.08 | 3.67 | 4.23 | 3.92 | 3.43 | 3.68 | 3.55 | 3.13 | 3.18 | 3.39 |  3.98 | 3.49 |  3.88 |  3.69 |  3.78 | 3.76 | 3.11 | 3.57 |
|         7 | 3.13 | 4.41 | 3.39 | 2.99 | 3.71 | 3.82 | 3.85 | 3.81 | 3.51 |  3.16 | 3.48 | 3.71 | 2.85 | 3.10 | 3.58 | 3.06 | 3.65 | 4.08 | 3.50 | 3.88 | 3.63 |  2.87 | 3.24 | 3.72 | 4.23 | 3.91 | 3.44 | 3.58 | 3.55 | 3.33 | 3.26 | 3.41 |  3.98 | 3.44 |  3.92 |  3.52 |  3.71 | 3.80 | 3.15 | 3.39 |
|         8 | 3.24 | 4.42 | 3.43 | 3.13 | 3.79 | 3.87 | 3.69 | 3.77 | 3.58 |  3.14 | 3.51 | 3.71 | 3.35 | 3.23 | 3.66 | 3.04 | 3.67 | 4.08 | 3.69 | 3.88 | 3.82 |  3.04 | 3.52 | 3.80 | 4.32 | 3.99 | 3.54 | 3.61 | 3.59 | 3.62 | 3.39 | 3.51 |  4.08 | 3.45 |  3.85 |  3.54 |  3.83 | 3.91 | 3.23 | 3.35 |
|         9 | 3.50 | 4.52 | 3.64 | 3.42 | 4.06 | 4.13 | 3.96 | 3.93 | 3.75 |  3.23 | 3.72 | 3.93 | 4.03 | 3.44 | 3.95 | 3.47 | 3.89 | 4.30 | 3.94 | 4.00 | 4.16 |  3.30 | 3.85 | 4.03 | 4.55 | 4.22 | 3.88 | 3.79 | 3.95 | 3.88 | 3.63 | 3.86 |  4.34 | 3.61 |  3.96 |  3.90 |  4.12 | 4.18 | 3.60 | 3.75 |
