# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |     33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |  1.60 |  0.10 |  0.10 |  0.10 |  0.60 |  0.20 |  1.80 |  0.40 |  0.20 |  1.30 |  0.60 |  1.00 |  0.10 |  0.40 |  0.60 |  0.20 |  0.20 |  0.10 |  2.40 |  0.10 |  1.20 |  0.10 |  0.20 |  1.20 |  0.50 |  0.90 |  0.50 |  1.10 |  0.10 |  0.60 |  1.70 |  0.60 |      0 |  0.10 |  0.10 |  0.10 |     0 |  1.40 |  2.80 |  0.10 |
|         9 |  7.40 |  0.60 |  5.70 |  2.10 |  0.10 |  3.40 |  8.30 |  3.30 |  4.70 |  0.40 |  2.20 |     0 |  1.10 |  3.30 |  3.90 |  1.30 |  2.40 |  0.40 | 15.50 |  4.50 | 10.40 |     0 |  1.30 |  1.10 |  4.50 |  4.00 |  5.20 |  2.80 |  5.70 |  4.60 | 12.30 |  3.00 |      0 |  0.60 |  0.20 |  5.40 |  0.20 |  0.30 | 15.10 |  5.30 |
|        10 | 17.10 |  2.30 |  9.00 | 10.30 |  2.00 |  5.20 |  5.90 |  8.90 |  4.50 |  2.10 |  7.30 |  2.20 |  4.90 |  6.10 |  7.80 |  7.40 |  7.90 |  1.80 | 18.70 |  5.10 | 26.80 |     0 |  6.30 |  0.10 | 14.00 |  3.70 | 27.00 |  7.20 | 19.90 |  8.90 | 13.20 | 12.40 |   2.30 |  1.20 |  2.80 |  7.40 |  0.50 |  1.20 | 36.10 | 17.00 |
