# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |    5 |     6 |    7 |    8 |    9 |   10 |    11 |    12 |    13 |   14 |    15 |   16 |   17 |    18 |   19 |    20 |   21 |    22 |    23 |    24 |    25 |   26 |   27 |   28 |   29 |   30 |   31 |   32 |   33 |    34 |    35 |   36 |    37 |   38 |   39 |    40 |
|         0 | 4.87 | 5.46 |  3.53 | 4.94 | 4.35 |  4.70 | 4.63 | 4.73 | 4.38 | 4.64 |  4.76 |  4.72 |  5.07 | 4.41 |  4.25 | 4.47 | 4.38 |  4.99 | 5.20 |  4.61 | 5.05 |  5.08 |  4.12 |  4.69 |  4.68 | 5.18 | 4.80 | 4.73 | 4.52 | 4.87 | 4.73 | 5.12 | 5.14 |  4.69 |  5.20 | 5.20 |  4.27 | 5.12 | 4.19 |  5.05 |
|         1 | 4.78 | 5.39 |  3.46 | 4.90 | 4.23 |  4.75 | 4.67 | 4.72 | 4.37 | 4.53 |  4.70 |  4.62 |  5.01 | 4.40 |  4.24 | 4.54 | 4.23 |  4.93 | 5.18 |  4.64 | 4.84 |  5.00 |  3.89 |  4.72 |  4.63 | 5.02 | 4.86 | 4.61 | 4.48 | 4.90 | 4.65 | 5.07 | 5.12 |  4.62 |  5.25 | 5.08 |  4.26 | 4.91 | 4.03 |  4.90 |
|         2 | 4.86 | 5.23 |  3.57 | 4.90 | 4.23 |  4.72 | 4.74 | 4.84 | 4.38 | 4.52 |  4.50 |  4.53 |  4.95 | 4.44 |  4.13 | 4.61 | 4.06 |  4.96 | 5.07 |  4.73 | 4.72 |  4.92 |  3.68 |  4.73 |  4.64 | 4.92 | 4.88 | 4.54 | 4.50 | 4.85 | 4.77 | 5.05 | 5.06 |  4.66 |  5.16 | 5.02 |  4.26 | 4.49 | 3.70 |  4.74 |
|         3 | 4.84 | 4.99 |  3.57 | 4.77 | 4.31 |  4.59 | 4.78 | 4.90 | 4.36 | 4.40 |  4.28 |  4.35 |  4.88 | 4.36 |  4.24 | 4.57 | 4.16 |  4.93 | 4.85 |  4.80 | 4.69 |  4.70 |  3.68 |  4.68 |  4.65 | 4.82 | 4.91 | 4.47 | 4.54 | 4.95 | 4.68 | 4.94 | 5.06 |  4.63 |  4.97 | 4.89 |  4.36 | 4.20 | 3.36 |  4.57 |
|         4 | 4.78 | 4.78 |  3.63 | 4.60 | 4.44 |  4.41 | 4.81 | 4.91 | 4.14 | 4.33 |  4.11 |  4.16 |  4.75 | 4.23 |  4.34 | 4.46 | 4.31 |  4.88 | 4.45 |  4.77 | 4.59 |  4.37 |  3.75 |  4.52 |  4.68 | 4.69 | 4.73 | 4.49 | 4.38 | 4.85 | 4.55 | 4.80 | 5.01 |  4.66 |  4.73 | 4.66 |  4.39 | 4.15 | 3.02 |  4.35 |
|         5 | 4.59 | 4.54 |  3.70 | 4.42 | 4.48 |  4.17 | 4.72 | 4.77 | 3.83 | 4.18 |  3.96 |  3.97 |  4.60 | 4.02 |  4.31 | 4.38 | 4.31 |  4.81 | 4.13 |  4.63 | 4.43 |  4.05 |  3.77 |  4.36 |  4.70 | 4.50 | 4.53 | 4.51 | 4.15 | 4.64 | 4.37 | 4.62 | 4.93 |  4.59 |  4.51 | 4.29 |  4.41 | 4.17 | 2.77 |  4.09 |
|         6 | 4.38 | 4.32 |  3.75 | 4.29 | 4.37 |  3.91 | 4.59 | 4.54 | 3.49 | 3.98 |  3.70 |  3.85 |  4.42 | 3.82 |  4.25 | 4.21 | 4.20 |  4.68 | 3.83 |  4.50 | 4.22 |  3.79 |  3.77 |  4.18 |  4.56 | 4.34 | 4.30 | 4.46 | 3.99 | 4.39 | 4.28 | 4.41 | 4.83 |  4.49 |  4.21 | 4.04 |  4.42 | 4.09 | 2.55 |  3.84 |
|         7 | 4.19 | 4.14 |  3.79 | 4.20 | 4.17 |  3.69 | 4.46 | 4.36 | 3.32 | 3.72 |  3.45 |  3.72 |  4.24 | 3.70 |  4.13 | 3.98 | 4.09 |  4.57 | 3.49 |  4.41 | 4.04 |  3.58 |  3.77 |  4.00 |  4.33 | 4.18 | 4.11 | 4.36 | 3.83 | 4.12 | 4.14 | 4.19 | 4.71 |  4.34 |  3.84 | 3.89 |  4.40 | 3.78 | 2.31 |  3.62 |
|         8 | 4.02 | 4.00 |  3.81 | 4.12 | 4.02 |  3.59 | 4.21 | 4.28 | 3.25 | 3.44 |  3.30 |  3.68 |  4.09 | 3.61 |  4.01 | 3.81 | 4.06 |  4.50 | 3.27 |  4.39 | 3.93 |  3.45 |  3.84 |  3.87 |  4.11 | 4.01 | 4.06 | 4.27 | 3.75 | 3.93 | 4.05 | 3.96 | 4.59 |  4.23 |  3.53 | 3.77 |  4.36 | 3.36 | 2.37 |  3.55 |
|         9 | 4.31 | 4.15 |  4.02 | 4.25 | 4.15 |  3.80 | 4.33 | 4.47 | 3.47 | 3.43 |  3.45 |  3.90 |  4.11 | 3.91 |  4.20 | 3.85 | 4.14 |  4.67 | 3.52 |  4.57 | 4.08 |  3.59 |  4.17 |  3.94 |  4.09 | 4.12 | 4.22 | 4.35 | 4.00 | 4.04 | 4.26 | 4.03 | 4.64 |  4.36 |  3.59 | 3.96 |  4.51 | 3.29 | 3.03 |  3.86 |
