# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |     19 |    20 |    21 |     22 |    23 |    24 |    25 |     26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |     37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         8 |     0 |  1.60 |  1.60 |  0.60 |     0 |  0.10 |  0.10 |  0.10 |  0.30 |  0.10 |  0.80 |  0.10 |  1.10 |  0.10 |  0.10 |  0.10 |  0.60 |  0.10 |   0.20 |  0.40 |     0 |   0.10 |  0.10 |  0.40 |  1.60 |   0.10 |  0.30 |     0 |  1.60 |     0 |  0.40 |  0.10 |     0 |  1.20 |  0.50 |  1.10 |      0 |  1.20 |  0.20 |  0.40 |
|         9 |  4.40 |  6.20 | 11.00 |  6.40 |  4.10 |  4.00 |  2.70 |  1.00 |  0.70 |  2.50 |  0.70 |  2.80 |  6.70 |  1.80 |  1.70 |  0.20 |  3.20 |     0 |   1.60 |  0.70 |  0.60 |      0 |  0.70 |  0.30 | 13.60 |   1.30 |  2.40 |  1.10 |  9.50 |  0.40 |  2.00 |  0.90 |  0.80 |  9.40 |  4.50 |  7.20 |   4.60 |  9.20 |  6.40 |  2.00 |
|        10 |  3.50 | 10.80 | 16.30 | 14.50 |  8.30 |  9.60 |  8.20 |  1.50 |  1.80 |  3.90 |     0 |  9.90 |  8.10 |  6.10 |  2.30 |  2.50 |  7.20 |  1.60 |  11.90 |  2.20 |  4.20 |   2.30 |  3.40 |  1.50 | 23.60 |      0 |  3.70 |  2.50 | 14.60 |  1.50 |  2.40 |  4.10 |  2.40 | 19.50 | 11.30 |  3.20 |   2.00 | 19.10 |  6.20 |  5.70 |
