# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |    19 |   20 |   21 |   22 |    23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |    32 |   33 |   34 |    35 |   36 |   37 |   38 |   39 |   40 |
|         0 | 3.18 | 4.23 | 3.09 | 3.67 | 3.18 | 3.35 | 3.51 | 3.75 | 3.62 | 3.61 | 2.87 | 3.96 | 3.62 | 3.36 | 3.28 | 3.23 | 3.58 | 3.49 |  3.43 | 4.38 | 3.60 | 3.99 |  2.89 | 3.23 | 3.21 | 3.69 | 3.55 | 3.50 | 3.85 | 3.83 | 3.40 |  3.39 | 3.53 | 3.40 |  3.05 | 3.59 | 3.64 | 3.10 | 3.46 | 3.21 |
|         1 | 3.17 | 4.05 | 2.88 | 3.58 | 2.95 | 3.09 | 3.28 | 3.58 | 3.41 | 3.53 | 2.69 | 3.71 | 3.48 | 3.29 | 3.08 | 3.11 | 3.40 | 3.33 |  3.25 | 4.21 | 3.33 | 3.80 |  2.71 | 3.07 | 2.88 | 3.50 | 3.11 | 3.45 | 3.72 | 3.68 | 3.30 |  3.33 | 3.17 | 3.35 |  2.80 | 3.38 | 3.54 | 2.77 | 3.21 | 3.11 |
|         2 | 3.12 | 3.93 | 2.79 | 3.43 | 2.68 | 2.92 | 2.99 | 3.46 | 3.28 | 3.32 | 2.72 | 3.46 | 3.32 | 3.18 | 2.79 | 2.99 | 3.15 | 3.19 |  3.06 | 4.14 | 3.13 | 3.64 |  2.50 | 2.89 | 2.59 | 3.34 | 2.77 | 3.33 | 3.56 | 3.48 | 3.17 |  3.20 | 2.95 | 3.23 |  2.64 | 3.16 | 3.47 | 2.49 | 2.99 | 2.96 |
|         3 | 3.06 | 3.78 | 2.64 | 3.23 | 2.48 | 2.76 | 2.78 | 3.35 | 2.97 | 3.17 | 2.69 | 3.17 | 3.08 | 3.02 | 2.65 | 2.79 | 2.87 | 2.98 |  3.01 | 4.02 | 2.86 | 3.46 |  2.32 | 2.69 | 2.50 | 3.18 | 2.52 | 3.18 | 3.30 | 3.24 | 2.93 |  2.96 | 2.74 | 3.13 |  2.50 | 2.94 | 3.37 | 2.31 | 2.74 | 2.80 |
|         4 | 2.88 | 3.51 | 2.61 | 3.07 | 2.28 | 2.59 | 2.64 | 3.16 | 2.61 | 3.02 | 2.54 | 3.02 | 2.89 | 2.80 | 2.48 | 2.55 | 2.63 | 2.83 |  2.91 | 3.93 | 2.63 | 3.26 |  2.26 | 2.46 | 2.48 | 3.08 | 2.21 | 2.98 | 3.02 | 3.07 | 2.68 |  2.68 | 2.58 | 3.02 |  2.40 | 2.81 | 3.13 | 2.18 | 2.49 | 2.66 |
|         5 | 2.74 | 3.28 | 2.44 | 2.90 | 2.16 | 2.29 | 2.46 | 2.99 | 2.25 | 2.89 | 2.33 | 2.96 | 2.72 | 2.50 | 2.33 | 2.45 | 2.52 | 2.72 |  2.77 | 3.77 | 2.54 | 3.09 |  2.12 | 2.35 | 2.38 | 2.82 | 2.02 | 2.85 | 2.73 | 2.97 | 2.48 |  2.33 | 2.42 | 2.89 |  2.24 | 2.74 | 2.87 | 2.14 | 2.29 | 2.55 |
|         6 | 2.49 | 3.01 | 2.32 | 2.67 | 2.05 | 2.03 | 2.26 | 2.72 | 1.98 | 2.72 | 2.10 | 2.87 | 2.43 | 2.15 | 2.09 | 2.27 | 2.35 | 2.52 |  2.51 | 3.60 | 2.41 | 2.99 |  2.04 | 2.15 | 2.18 | 2.52 | 1.81 | 2.82 | 2.60 | 2.90 | 2.35 |  2.08 | 2.32 | 2.74 |  1.98 | 2.51 | 2.61 | 1.87 | 2.20 | 2.47 |
|         7 | 2.36 | 2.77 | 2.18 | 2.45 | 1.96 | 1.90 | 2.12 | 2.52 | 1.73 | 2.56 | 1.85 | 2.73 | 2.11 | 1.75 | 1.78 | 2.19 | 2.21 | 2.34 |  2.35 | 3.38 | 2.25 | 2.84 |  2.04 | 2.00 | 2.05 | 2.30 | 1.67 | 2.78 | 2.37 | 2.79 | 2.31 |  1.90 | 2.36 | 2.47 |  1.89 | 2.22 | 2.53 | 1.53 | 2.08 | 2.35 |
|         8 | 2.38 | 2.68 | 2.15 | 2.44 | 1.90 | 1.91 | 2.13 | 2.51 | 1.70 | 2.41 | 1.88 | 2.73 | 1.99 | 1.81 | 1.92 | 2.19 | 2.18 | 2.34 |  2.31 | 3.33 | 2.22 | 2.88 |  2.11 | 1.96 | 2.06 | 2.28 | 1.76 | 2.82 | 2.20 | 2.75 | 2.41 |  1.89 | 2.44 | 2.34 |  1.97 | 2.13 | 2.56 | 1.52 | 2.13 | 2.34 |
|         9 | 2.78 | 3.01 | 2.42 | 2.71 | 2.14 | 2.19 | 2.47 | 2.84 | 1.98 | 2.61 | 2.38 | 3.02 | 2.18 | 2.25 | 2.33 | 2.39 | 2.62 | 2.59 |  2.62 | 3.63 | 2.54 | 3.22 |  2.36 | 2.01 | 2.43 | 2.53 | 2.19 | 3.05 | 2.46 | 2.92 | 2.74 |  2.23 | 2.75 | 2.66 |  2.42 | 2.54 | 2.88 | 2.02 | 2.54 | 2.51 |
|        10 | 3.40 | 3.40 | 2.80 | 3.15 | 2.60 | 2.72 | 3.10 | 3.30 | 2.42 | 3.09 | 2.83 | 3.47 | 2.69 | 2.99 | 2.86 | 2.65 | 3.19 | 3.10 |  3.26 | 4.02 | 2.93 | 3.69 |  2.56 | 2.23 | 2.99 | 2.94 | 2.69 | 3.34 | 2.94 | 3.17 | 3.18 |  2.75 | 3.08 | 3.16 |  2.98 | 3.11 | 3.31 | 2.79 | 3.10 | 2.83 |
|        11 | 3.89 | 3.70 | 3.20 | 3.47 | 2.86 | 3.30 | 3.63 | 3.56 | 2.80 | 3.41 | 3.43 | 3.79 | 3.26 | 3.45 | 3.35 | 3.00 | 3.52 | 3.51 |  3.74 | 4.43 | 3.18 | 4.20 |  2.88 | 2.62 | 3.60 | 3.35 | 2.90 | 3.73 | 3.36 | 3.50 | 3.53 |  3.24 | 3.34 | 3.46 |  3.44 | 3.48 | 3.84 | 3.56 | 3.39 | 3.19 |
|        12 | 4.25 | 3.93 | 3.54 | 3.73 | 2.97 | 3.45 | 3.80 | 3.97 | 2.98 | 3.56 | 3.81 | 3.96 | 3.89 | 3.69 | 3.74 | 3.31 | 3.83 | 3.98 |  4.09 | 4.69 | 3.58 | 4.50 |  3.23 | 2.95 | 4.07 | 3.53 | 3.13 | 4.00 | 3.74 | 3.77 | 3.97 |  3.59 | 3.56 | 3.69 |  3.76 | 3.82 | 4.31 | 4.12 | 3.61 | 3.76 |
|        13 | 4.37 | 4.13 | 3.76 | 3.98 | 3.33 | 3.56 | 4.06 | 4.18 | 3.09 | 3.80 | 4.02 | 4.09 | 4.27 | 3.88 | 4.01 | 3.64 | 4.06 | 4.25 |  4.44 | 4.86 | 3.79 | 4.66 |  3.39 | 3.10 | 4.44 | 3.67 | 3.40 | 4.16 | 3.98 | 4.17 | 4.25 |  3.84 | 3.93 | 3.78 |  4.01 | 4.01 | 4.52 | 4.43 | 3.87 | 3.81 |
|        14 | 4.31 | 4.12 | 3.82 | 4.15 | 3.46 | 3.62 | 4.15 | 4.20 | 3.17 | 3.87 | 4.07 | 4.12 | 4.43 | 3.94 | 4.08 | 3.78 | 4.00 | 4.23 |  4.64 | 5.01 | 3.77 | 4.55 |  3.39 | 3.28 | 4.54 | 3.80 | 3.55 | 4.23 | 4.02 | 4.35 | 4.21 |  3.95 | 4.14 | 4.08 |  4.15 | 4.14 | 4.48 | 4.45 | 3.92 | 3.68 |
|        15 | 4.15 | 4.02 | 3.84 | 4.19 | 3.52 | 3.61 | 4.07 | 4.14 | 3.14 | 3.82 | 3.99 | 4.11 | 4.25 | 3.87 | 4.00 | 3.71 | 3.74 | 4.21 |  4.60 | 4.91 | 3.70 | 4.25 |  3.34 | 3.23 | 4.49 | 3.81 | 3.60 | 4.22 | 4.05 | 4.27 | 4.00 |  3.85 | 4.12 | 3.94 |  4.07 | 4.06 | 4.28 | 4.31 | 3.84 | 3.48 |
|        16 | 3.88 | 3.81 | 3.68 | 4.06 | 3.41 | 3.49 | 3.92 | 3.88 | 3.00 | 3.58 | 3.78 | 3.92 | 3.78 | 3.60 | 3.87 | 3.65 | 3.29 | 4.06 |  4.45 | 4.70 | 3.53 | 3.67 |  3.20 | 3.13 | 4.23 | 3.60 | 3.50 | 4.12 | 3.97 | 4.10 | 3.78 |  3.61 | 4.01 | 3.62 |  3.64 | 3.77 | 4.02 | 4.01 | 3.66 | 3.25 |
