# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |     3 |      4 |      5 |      6 |     7 |     8 |     9 |     10 |    11 |    12 |    13 |    14 |    15 |     16 |     17 |    18 |    19 |     20 |     21 |    22 |     23 |    24 |    25 |    26 |     27 |    28 |     29 |     30 |    31 |     32 |     33 |     34 |    35 |    36 |     37 |    38 |    39 |    40 |
|         1 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         2 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         3 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         4 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         5 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         6 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         7 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         8 |   0.50 |  0.60 |  0.10 |   0.20 |   0.30 |   1.10 |  0.40 |  0.10 |     0 |   1.00 |  0.40 |  0.20 |  0.60 |     0 |  0.10 |      0 |   0.60 |  0.40 |  0.10 |   0.90 |   1.90 |  0.90 |   0.60 |  0.80 |  0.10 |  0.50 |   0.20 |  0.10 |   0.90 |   0.70 |  0.10 |      0 |   0.80 |   0.20 |  1.00 |  0.90 |      0 |  1.10 |     0 |  0.10 |
|         9 |   2.90 |     0 |  7.00 |   8.50 |   1.10 |   4.90 |  6.00 |     0 |     0 |  11.50 |  2.80 |  0.90 |  2.00 |  2.60 |  3.80 |   0.50 |   4.70 |  4.10 |  3.20 |  13.80 |   4.00 |  1.00 |  10.80 |  9.50 |  7.20 | 11.50 |   7.40 |  9.00 |   1.00 |   4.20 |  7.70 |   8.20 |   2.80 |   4.80 | 15.00 | 21.00 |   0.80 |  2.70 |  2.50 |  0.40 |
|        10 |  11.00 |  2.40 |  3.50 |  13.80 |   8.40 |  25.70 |  2.20 |  3.20 |  1.30 |  14.00 |  7.30 |  7.90 | 22.60 |  0.30 | 17.20 |      0 |  12.90 |  0.30 |  3.00 |  48.30 |   4.90 |  4.70 |  31.30 | 22.40 |  5.00 | 15.30 |   8.50 | 22.30 |   3.70 |  18.10 | 25.70 |  26.80 |   0.30 |   4.60 | 38.20 | 37.80 |   5.90 |  2.00 | 22.60 |  1.10 |
