# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |    4 |    5 |     6 |     7 |    8 |    9 |    10 |    11 |    12 |   13 |    14 |   15 |   16 |   17 |    18 |    19 |    20 |    21 |   22 |    23 |   24 |    25 |    26 |   27 |    28 |   29 |   30 |   31 |    32 |    33 |   34 |    35 |    36 |    37 |   38 |    39 |    40 |
|         0 |  3.42 |  2.92 |  3.50 | 3.34 | 3.45 |  3.66 |  3.16 | 3.33 | 3.21 |  3.00 |  2.98 |  3.48 | 2.80 |  3.46 | 2.97 | 3.35 | 3.32 |  3.38 |  2.74 |  3.72 |  2.72 | 2.82 |  3.11 | 2.76 |  3.26 |  2.99 | 3.13 |  3.50 | 2.94 | 3.03 | 3.12 |  2.74 |  3.46 | 2.68 |  3.44 |  3.00 |  3.54 | 3.11 |  3.21 |  2.96 |
|         1 |  3.39 |  2.75 |  3.31 | 3.17 | 3.28 |  3.69 |  3.18 | 3.21 | 3.15 |  2.89 |  2.91 |  3.35 | 2.75 |  3.47 | 2.92 | 3.37 | 3.26 |  3.25 |  2.70 |  3.70 |  2.57 | 2.63 |  3.03 | 2.71 |  3.11 |  2.78 | 3.02 |  3.39 | 2.81 | 2.97 | 2.97 |  2.72 |  3.44 | 2.56 |  3.35 |  2.79 |  3.52 | 3.04 |  3.25 |  2.91 |
|         2 |  3.41 |  2.67 |  3.27 | 3.13 | 3.16 |  3.64 |  3.24 | 3.03 | 3.10 |  2.81 |  2.86 |  3.30 | 2.62 |  3.56 | 2.88 | 3.42 | 3.23 |  3.17 |  2.69 |  3.62 |  2.52 | 2.61 |  3.05 | 2.70 |  3.05 |  2.65 | 3.01 |  3.30 | 2.61 | 2.97 | 2.87 |  2.69 |  3.43 | 2.52 |  3.29 |  2.67 |  3.55 | 3.00 |  3.26 |  2.87 |
|         3 |  3.35 |  2.54 |  3.15 | 3.03 | 3.04 |  3.46 |  3.33 | 2.82 | 3.03 |  2.73 |  2.82 |  3.23 | 2.48 |  3.68 | 2.75 | 3.45 | 3.16 |  3.09 |  2.65 |  3.52 |  2.38 | 2.56 |  3.00 | 2.65 |  2.94 |  2.51 | 2.97 |  3.15 | 2.38 | 2.86 | 2.77 |  2.64 |  3.37 | 2.40 |  3.06 |  2.61 |  3.59 | 2.94 |  3.19 |  2.80 |
|         4 |  3.17 |  2.30 |  2.96 | 2.88 | 2.90 |  3.18 |  3.33 | 2.70 | 2.93 |  2.62 |  2.74 |  3.21 | 2.35 |  3.64 | 2.65 | 3.49 | 2.97 |  2.95 |  2.58 |  3.31 |  2.21 | 2.47 |  2.93 | 2.61 |  2.81 |  2.37 | 2.88 |  2.94 | 2.21 | 2.74 | 2.71 |  2.64 |  3.34 | 2.24 |  2.83 |  2.46 |  3.60 | 2.89 |  3.08 |  2.70 |
|         5 |  2.92 |  2.01 |  2.71 | 2.66 | 2.74 |  2.82 |  3.24 | 2.61 | 2.77 |  2.41 |  2.59 |  3.22 | 2.18 |  3.44 | 2.52 | 3.38 | 2.71 |  2.69 |  2.45 |  3.01 |  1.95 | 2.36 |  2.77 | 2.55 |  2.63 |  2.16 | 2.67 |  2.66 | 2.00 | 2.55 | 2.61 |  2.53 |  3.22 | 2.02 |  2.50 |  2.20 |  3.54 | 2.80 |  2.93 |  2.62 |
|         6 |  2.64 |  1.80 |  2.50 | 2.43 | 2.66 |  2.60 |  3.07 | 2.48 | 2.59 |  2.25 |  2.38 |  3.18 | 2.01 |  3.15 | 2.34 | 3.19 | 2.55 |  2.42 |  2.24 |  2.76 |  1.78 | 2.19 |  2.50 | 2.43 |  2.50 |  1.92 | 2.34 |  2.44 | 1.74 | 2.30 | 2.44 |  2.30 |  2.95 | 1.85 |  2.17 |  1.92 |  3.42 | 2.63 |  2.80 |  2.49 |
|         7 |  2.40 |  1.69 |  2.28 | 2.13 | 2.45 |  2.39 |  2.68 | 2.30 | 2.42 |  2.11 |  2.19 |  2.90 | 1.85 |  2.84 | 2.10 | 2.84 | 2.36 |  2.04 |  2.03 |  2.54 |  1.58 | 2.07 |  2.30 | 2.24 |  2.32 |  1.70 | 2.00 |  2.14 | 1.44 | 2.07 | 2.12 |  2.05 |  2.62 | 1.68 |  1.90 |  1.65 |  3.26 | 2.40 |  2.61 |  2.28 |
|         8 |  2.38 |  1.74 |  2.08 | 1.98 | 2.20 |  2.20 |  2.53 | 2.23 | 2.24 |  1.96 |  2.19 |  2.74 | 1.75 |  2.60 | 1.88 | 2.60 | 2.20 |  1.86 |  2.01 |  2.41 |  1.46 | 2.06 |  2.21 | 2.02 |  2.16 |  1.50 | 1.91 |  1.94 | 1.26 | 1.88 | 1.80 |  1.90 |  2.49 | 1.49 |  1.73 |  1.47 |  3.11 | 2.18 |  2.48 |  2.20 |
|         9 |  2.50 |  1.91 |  2.15 | 2.04 | 2.26 |  2.32 |  2.67 | 2.29 | 2.27 |  1.97 |  2.36 |  2.74 | 1.74 |  2.52 | 1.81 | 2.52 | 2.24 |  2.02 |  2.09 |  2.45 |  1.51 | 2.21 |  2.39 | 2.11 |  2.20 |  1.70 | 1.84 |  1.97 | 1.25 | 1.91 | 1.86 |  2.00 |  2.59 | 1.62 |  1.83 |  1.59 |  3.01 | 2.30 |  2.41 |  2.24 |
|        10 |  2.82 |  2.21 |  2.21 | 2.10 | 2.52 |  2.62 |  2.83 | 2.52 | 2.31 |  2.23 |  2.39 |  2.90 | 1.92 |  2.42 | 1.86 | 2.35 | 2.50 |  2.28 |  2.19 |  2.63 |  1.80 | 2.50 |  2.73 | 2.61 |  2.38 |  2.05 | 1.94 |  2.25 | 1.25 | 2.04 | 2.16 |  2.44 |  2.73 | 1.82 |  2.31 |  2.01 |  3.01 | 2.47 |  2.56 |  2.36 |
|        11 |  3.18 |  2.52 |  2.49 | 2.34 | 2.78 |  2.96 |  3.12 | 2.79 | 2.57 |  2.75 |  2.55 |  3.22 | 2.28 |  2.61 | 2.01 | 2.44 | 2.73 |  2.70 |  2.36 |  2.98 |  2.21 | 2.94 |  3.03 | 2.86 |  2.72 |  2.47 | 2.30 |  2.65 | 1.43 | 2.23 | 2.48 |  2.64 |  2.96 | 1.83 |  2.88 |  2.55 |  3.01 | 2.85 |  2.76 |  2.49 |
|        12 |  3.40 |  2.90 |  2.73 | 2.63 | 2.86 |  2.99 |  3.47 | 3.09 | 3.14 |  3.10 |  3.17 |  3.36 | 2.71 |  2.84 | 2.25 | 2.67 | 3.04 |  3.03 |  2.71 |  3.27 |  2.60 | 3.23 |  3.16 | 2.77 |  3.11 |  2.96 | 2.90 |  2.98 | 2.00 | 2.39 | 2.68 |  2.48 |  3.31 | 2.41 |  3.20 |  3.05 |  3.29 | 3.22 |  3.04 |  2.70 |
|        13 |  3.39 |  3.13 |  2.88 | 2.78 | 2.56 |  2.49 |  3.71 | 3.45 | 3.22 |  3.11 |  3.46 |  3.31 | 2.74 |  2.83 | 2.78 | 2.91 | 3.58 |  3.33 |  2.87 |  3.40 |  2.72 | 3.63 |  3.17 | 2.34 |  3.21 |  3.33 | 3.26 |  3.15 | 2.30 | 2.13 | 2.67 |  2.64 |  3.18 | 2.34 |  3.07 |  3.07 |  3.43 | 3.28 |  2.86 |  2.75 |
|        14 |  3.20 |  3.11 |  2.87 | 2.68 | 2.02 |  2.02 |  3.54 | 3.48 | 3.18 |  3.17 |  3.43 |  2.97 | 2.84 |  2.81 | 2.83 | 3.06 | 3.60 |  3.43 |  2.96 |  3.44 |  2.77 | 3.87 |  2.72 | 1.65 |  3.07 |  3.28 | 3.29 |  3.18 | 2.42 | 1.72 | 2.56 |  2.64 |  3.04 | 2.24 |  2.85 |  2.85 |  3.50 | 3.10 |  2.45 |  2.56 |
