# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |     12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -4.45 | -4.17 | -4.39 | -4.13 | -3.86 | -2.83 | -3.46 | -3.69 | -3.81 | -4.27 | -4.01 |  -3.56 | -3.73 | -3.59 | -3.72 | -3.68 | -3.50 | -3.62 | -3.31 | -3.62 | -4.52 | -4.12 | -4.04 | -4.23 | -3.82 | -3.77 | -4.20 | -3.52 | -4.75 | -4.47 | -2.97 | -4.21 | -3.49 | -4.28 | -4.32 | -4.13 | -4.14 | -3.79 | -4.62 | -4.28 |
|         1 | -4.64 | -4.20 | -4.61 | -4.30 | -3.88 | -3.03 | -3.39 | -3.63 | -3.89 | -4.23 | -3.94 |  -3.90 | -3.76 | -3.68 | -3.89 | -3.58 | -3.57 | -3.54 | -3.42 | -3.64 | -4.73 | -4.01 | -4.50 | -4.35 | -3.87 | -4.18 | -4.08 | -3.46 | -5.15 | -4.86 | -3.09 | -4.35 | -3.47 | -4.82 | -4.25 | -4.48 | -3.77 | -3.87 | -4.60 | -4.84 |
|         2 | -4.92 | -4.32 | -4.72 | -4.44 | -3.79 | -3.15 | -3.44 | -3.61 | -4.00 | -4.21 | -3.98 |  -4.02 | -3.70 | -3.80 | -4.15 | -3.74 | -3.60 | -3.29 | -3.51 | -3.61 | -4.87 | -4.01 | -4.54 | -4.35 | -3.87 | -4.35 | -3.90 | -3.40 | -5.43 | -5.16 | -3.10 | -4.53 | -3.58 | -4.84 | -4.25 | -4.84 | -3.23 | -3.81 | -4.68 | -5.09 |
|         3 | -5.53 | -4.59 | -4.96 | -4.79 | -3.85 | -3.30 | -3.58 | -3.65 | -4.30 | -4.40 | -4.15 |  -4.38 | -3.95 | -3.88 | -4.38 | -4.01 | -3.93 | -3.55 | -3.71 | -3.93 | -5.12 | -4.02 | -4.68 | -4.48 | -4.07 | -4.62 | -4.09 | -3.73 | -5.57 | -5.60 | -3.42 | -5.05 | -3.77 | -5.07 | -4.49 | -5.41 | -3.31 | -3.87 | -4.94 | -5.14 |
|         4 | -6.19 | -4.94 | -5.29 | -5.17 | -4.09 | -3.54 | -3.78 | -3.79 | -4.87 | -4.71 | -4.27 |  -4.72 | -4.32 | -4.08 | -4.79 | -4.57 | -4.27 | -4.25 | -4.22 | -4.54 | -5.44 | -4.03 | -5.06 | -4.95 | -4.25 | -5.29 | -4.29 | -4.55 | -4.96 | -6.14 | -4.06 | -5.33 | -4.17 | -5.53 | -4.98 | -5.92 | -3.36 | -4.09 | -5.22 | -5.43 |
|         5 | -6.41 | -5.51 | -5.89 | -5.53 | -4.75 | -3.88 | -4.24 | -4.12 | -5.62 | -5.23 | -4.63 |  -4.96 | -4.97 | -4.40 | -5.53 | -5.31 | -4.51 | -4.94 | -4.76 | -5.41 | -6.01 | -4.19 | -5.46 | -5.47 | -4.64 | -5.87 | -4.66 | -5.54 | -5.23 | -6.22 | -5.23 | -5.56 | -4.55 | -6.07 | -5.38 | -6.33 | -3.60 | -4.72 | -5.42 | -5.98 |
|         6 | -5.88 | -5.69 | -6.75 | -5.71 | -5.77 | -4.59 | -4.66 | -4.54 | -6.32 | -5.46 | -5.00 |  -5.06 | -5.84 | -4.79 | -6.15 | -6.00 | -5.13 | -5.75 | -5.18 | -6.35 | -6.95 | -4.24 | -5.64 | -5.89 | -5.09 | -6.23 | -5.18 | -6.06 | -6.33 | -6.27 | -6.43 | -6.16 | -4.77 | -6.68 | -5.87 | -6.57 | -4.13 | -5.34 | -5.65 | -6.51 |
|         7 | -5.53 | -5.33 | -6.88 | -5.59 | -6.62 | -5.72 | -4.84 | -4.61 | -6.76 | -5.24 | -5.45 |  -5.43 | -6.78 | -4.81 | -6.29 | -6.02 | -5.70 | -6.93 | -5.00 | -6.29 | -7.20 | -3.96 | -5.68 | -6.02 | -5.59 | -6.43 | -5.09 | -5.90 | -6.41 | -6.48 | -6.72 | -6.54 | -4.81 | -7.20 | -6.40 | -6.39 | -4.59 | -5.69 | -5.71 | -6.72 |
|         8 | -5.24 | -5.35 | -6.05 | -5.34 | -7.28 | -5.61 | -4.55 | -4.43 | -6.53 | -5.29 | -5.92 |  -6.74 | -7.21 | -4.69 | -5.95 | -5.20 | -6.14 | -7.21 | -4.97 | -5.55 | -6.31 | -4.12 | -5.41 | -5.48 | -6.06 | -6.55 | -4.96 | -5.40 | -5.54 | -6.62 | -6.56 | -5.61 | -4.49 | -7.16 | -6.00 | -5.55 | -4.53 | -5.40 | -5.26 | -6.57 |
|         9 | -4.03 | -3.84 | -5.52 | -5.13 | -6.95 | -4.35 | -4.16 | -4.15 | -5.04 | -4.78 | -6.09 |  -7.05 | -6.63 | -4.39 | -5.42 | -4.49 | -6.30 | -6.35 | -4.78 | -5.09 | -6.14 | -4.56 | -4.46 | -4.57 | -6.68 | -5.83 | -4.98 | -4.95 | -5.01 | -6.11 | -5.80 | -3.20 | -4.16 | -6.74 | -4.96 | -4.49 | -5.11 | -5.77 | -4.72 | -5.91 |
