# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |     16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |     25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -3.84 | -3.79 | -3.87 | -2.89 | -3.70 | -3.88 | -3.33 | -4.59 | -3.88 | -3.18 | -3.79 | -2.89 | -4.16 | -1.70 | -3.46 |  -4.18 | -3.65 | -3.29 | -3.55 | -3.36 | -3.64 | -4.51 | -4.47 | -3.35 |  -4.43 | -4.30 | -4.39 | -4.09 | -4.09 | -3.95 | -3.72 | -2.70 | -3.42 | -2.90 | -2.17 | -3.24 | -3.11 | -3.81 | -2.85 | -0.85 |
|         1 | -3.71 | -1.63 | -3.21 | -0.60 | -1.75 | -2.06 | -3.48 | -3.86 | -3.43 | -1.97 | -2.93 | -0.66 | -3.62 | -0.41 | -1.20 |  -3.66 | -3.04 | -2.44 | -1.76 | -1.28 | -1.87 | -3.66 | -4.19 | -1.49 |  -3.98 | -4.01 | -4.01 | -3.29 | -3.62 | -3.75 | -1.50 | -1.42 | -1.81 | -2.51 |  0.17 | -1.16 | -2.74 | -3.54 | -0.96 | -0.58 |
|         2 | -3.94 | -0.50 | -0.74 | -0.79 | -0.93 | -1.34 | -1.76 | -2.19 | -2.29 | -1.30 | -1.57 | -1.46 | -2.81 | -0.76 | -1.54 |  -1.75 | -1.67 | -1.21 | -1.45 | -1.18 | -1.59 | -2.21 | -2.04 | -0.70 |  -3.65 | -2.75 | -3.27 | -2.05 | -2.66 | -2.31 | -0.58 | -1.49 | -1.78 | -2.80 | -0.54 | -0.80 | -1.11 | -3.79 | -1.18 | -0.95 |
|         3 | -2.75 | -0.98 | -0.91 | -1.04 | -1.60 | -1.24 | -0.93 | -1.83 | -1.23 | -0.55 | -1.88 | -1.90 | -2.45 | -0.69 | -0.72 |  -1.64 | -1.51 | -1.09 | -0.97 | -1.97 | -1.23 | -1.68 | -2.16 | -0.32 |  -3.14 | -1.64 | -2.64 | -1.55 | -1.77 | -0.68 | -0.84 | -1.22 | -1.20 | -1.38 | -1.41 | -0.83 | -0.16 | -2.04 | -0.70 | -1.26 |
|         4 | -1.67 | -0.79 | -1.72 | -0.90 | -1.85 | -2.28 | -0.57 | -1.03 | -0.75 | -0.14 | -1.29 | -2.23 | -2.18 | -0.73 | -1.45 |  -2.04 | -1.91 | -1.42 | -0.84 | -2.02 | -1.16 | -2.10 | -2.33 | -0.39 |  -2.26 | -1.00 | -2.33 | -1.43 | -1.92 | -1.04 | -0.18 | -1.59 | -1.08 | -0.64 | -1.42 | -0.55 |  0.01 | -1.04 | -1.61 | -1.09 |
|         5 | -0.38 | -0.20 | -1.08 |  0.18 | -0.85 | -1.56 | -1.95 | -0.97 | -0.36 |  1.04 | -0.29 | -0.50 | -1.05 |  0.23 | -1.37 |  -0.85 | -1.32 | -1.17 |  0.78 |  0.16 |     0 | -1.38 | -0.92 | -0.63 |  -0.32 | -0.32 | -1.11 | -0.10 | -0.39 | -1.17 | -0.10 | -0.43 | -0.85 | -0.44 |  0.16 | -0.59 | -0.46 | -0.60 | -0.64 | -0.65 |
|         6 | -0.50 |  0.29 | -0.28 |  1.03 | -0.15 | -0.09 | -0.20 | -0.82 |  0.03 |  1.11 | -0.04 | -0.07 | -0.70 | -0.50 | -1.18 |   0.15 | -0.41 |  1.03 |  0.94 |  0.39 |  0.42 |  0.34 |  0.25 |  0.47 |   0.22 |  0.24 |  0.03 |  0.63 | -0.02 | -0.22 | -0.34 |  0.63 |  0.43 | -0.27 | -0.05 |  0.53 | -0.36 | -0.05 | -0.63 |  0.20 |
|         7 |  0.60 |  0.24 |  0.24 |  0.83 |  0.29 | -0.12 |  0.78 |  0.06 |  0.70 |  1.60 |  0.88 | -0.06 | -0.03 |  0.05 | -0.20 |   0.09 |  1.20 |  1.90 |  1.40 |  1.09 |  1.17 |  0.07 |  0.77 |  0.93 |   0.40 |  1.30 |  0.56 |  1.16 |  0.39 |  0.59 |  0.96 |  1.71 |  0.72 |  0.45 |  1.22 |  0.79 |  0.43 |  1.17 |  0.34 |  0.32 |
|         8 |  0.30 |  1.39 |  1.06 |  2.07 |  0.91 |  0.98 |  1.05 |  0.75 |  1.55 |  1.55 |  1.74 |  0.92 |  0.40 |  1.01 |  0.37 |   0.96 |  1.18 |  2.18 |  1.61 |  1.80 |  1.53 |  1.29 |  1.30 |  0.96 |   0.79 |  1.42 |  0.82 |  1.20 |  0.53 |  0.98 |  1.74 |  1.63 |  1.40 |  1.24 |  1.70 |  1.26 |  1.63 |  0.54 |  1.13 |  0.82 |
|         9 |  0.30 |  1.65 | -0.09 |  1.40 |  0.97 |  1.06 |  0.96 |  0.60 |  1.49 |  1.51 |  1.70 |  1.24 |  0.51 |  1.07 |  0.28 |   0.62 |  0.91 |  2.05 |  1.23 |  1.47 |  0.86 |  1.69 |  1.37 |  0.80 |   0.38 |  1.25 |  1.17 |  0.18 |  0.46 |  1.17 |  1.56 |  1.51 |  1.21 |  0.59 |  1.12 |  1.45 |  1.15 |  0.34 |  0.55 |  0.80 |
