# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |    38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         7 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |
|         8 |   6.20 |   7.60 |   7.20 |   7.10 |   9.20 |   6.90 |   6.20 |   6.10 |   6.70 |   4.80 |   8.40 |   3.70 |   3.40 |   4.60 |   5.80 |   6.60 |   9.20 |   5.80 |   4.50 |   4.00 |   6.80 |   6.10 |   9.40 |   0.50 |   6.30 |   4.40 |   5.40 |  12.80 |  10.40 |   5.70 |   5.30 |   6.30 |   7.60 |   5.20 |   4.00 |   8.10 |   8.20 |  7.90 |   3.80 |   9.80 |
|         9 |  48.30 |  33.50 |  37.30 |  54.50 |  61.40 |  36.40 |  29.80 |  41.30 |  57.20 |  47.80 |  60.80 |  10.20 |  26.70 |  40.30 |  38.30 |  37.50 |  44.80 |  26.50 |  45.80 |  41.70 |  54.00 |  27.10 |  57.60 |  17.10 |  22.80 |  36.60 |  36.80 |  73.70 |  66.30 |  43.70 |  36.50 |  55.40 |  56.70 |  59.90 |  39.50 |  52.40 |  50.70 | 43.50 |  35.70 |  54.70 |
|        10 |  96.50 |  61.40 |  50.70 | 121.80 | 132.80 |  75.00 |  62.70 |  86.00 | 140.70 | 112.20 | 117.70 |  45.40 |  61.60 |  78.90 |  64.80 |  88.60 |  87.90 |  79.60 | 110.40 |  86.60 | 115.80 |  73.90 |  93.70 |  80.20 |  76.20 |  71.10 |  55.60 | 139.50 | 128.20 |  87.50 |  76.90 | 134.70 | 117.10 | 139.50 |  71.70 |  95.70 |  83.10 | 61.20 |  72.60 |  91.70 |
