# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |    6 |     7 |     8 |    9 |   10 |   11 |   12 |    13 |    14 |   15 |   16 |    17 |   18 |   19 |   20 |   21 |    22 |   23 |   24 |    25 |   26 |   27 |    28 |   29 |   30 |   31 |    32 |    33 |   34 |   35 |    36 |   37 |   38 |    39 |    40 |
|         0 |  4.63 |  4.45 |  4.32 |  4.61 | 4.67 | 4.47 |  4.33 |  4.70 | 5.22 | 5.33 | 4.81 | 4.25 |  4.21 |  4.70 | 4.51 | 4.26 |  4.30 | 4.89 | 4.55 | 4.73 | 4.65 |  4.82 | 4.35 | 4.61 |  4.48 | 4.23 | 4.87 |  4.78 | 4.50 | 4.88 | 4.46 |  4.78 |  5.07 | 4.14 | 4.60 |  4.63 | 4.29 | 4.12 |  4.41 |  4.79 |
|         1 |  4.23 |  4.23 |  4.13 |  4.30 | 4.52 | 4.49 |  4.04 |  4.43 | 5.12 | 4.91 | 4.65 | 4.14 |  4.01 |  4.21 | 4.23 | 4.03 |  4.18 | 4.71 | 4.30 | 4.57 | 4.26 |  4.59 | 3.96 | 4.32 |  4.19 | 4.03 | 4.72 |  4.55 | 4.41 | 4.63 | 4.22 |  4.74 |  4.76 | 4.15 | 4.23 |  4.24 | 4.20 | 3.95 |  4.09 |  4.49 |
|         2 |  3.99 |  4.21 |  4.05 |  4.27 | 4.51 | 4.27 |  4.07 |  4.35 | 5.14 | 4.92 | 4.52 | 4.05 |  3.99 |  3.92 | 4.01 | 3.78 |  3.98 | 4.56 | 4.26 | 4.54 | 4.10 |  4.52 | 3.82 | 4.05 |  3.97 | 3.87 | 4.65 |  4.36 | 4.29 | 4.48 | 4.03 |  4.55 |  4.57 | 4.17 | 4.04 |  4.18 | 4.05 | 3.88 |  4.03 |  4.31 |
|         3 |  3.73 |  4.17 |  4.03 |  4.25 | 4.39 | 4.12 |  4.01 |  4.32 | 5.03 | 4.63 | 4.52 | 4.11 |  4.08 |  3.82 | 3.89 | 3.64 |  3.86 | 4.39 | 4.14 | 4.43 | 4.18 |  4.44 | 3.69 | 3.88 |  3.87 | 3.86 | 4.55 |  4.23 | 4.22 | 4.51 | 3.95 |  4.43 |  4.48 | 4.11 | 3.84 |  4.00 | 4.05 | 3.91 |  3.90 |  4.23 |
|         4 |  3.66 |  4.08 |  3.85 |  4.30 | 4.26 | 4.08 |  3.98 |  4.03 | 4.75 | 4.45 | 4.53 | 4.14 |  3.97 |  3.82 | 3.88 | 3.55 |  3.73 | 4.43 | 3.95 | 4.52 | 4.23 |  4.41 | 3.51 | 3.98 |  4.03 | 4.07 | 4.46 |  4.06 | 4.35 | 4.58 | 3.89 |  4.37 |  4.57 | 4.02 | 3.74 |  4.03 | 4.07 | 3.97 |  3.74 |  4.15 |
|         5 |  3.49 |  3.88 |  3.69 |  4.31 | 4.10 | 3.94 |  3.86 |  3.72 | 4.68 | 4.23 | 4.37 | 3.91 |  3.63 |  3.80 | 3.75 | 3.51 |  3.32 | 4.31 | 3.76 | 4.36 | 3.89 |  4.41 | 3.43 | 3.97 |  4.07 | 3.99 | 4.36 |  3.81 | 4.27 | 4.48 | 3.79 |  4.36 |  4.67 | 3.77 | 3.55 |  3.98 | 3.70 | 3.88 |  3.63 |  3.99 |
|         6 |  3.20 |  3.55 |  3.52 |  4.27 | 3.76 | 3.76 |  3.71 |  3.26 | 4.29 | 3.95 | 4.08 | 3.74 |  3.47 |  3.78 | 3.59 | 3.39 |  2.75 | 4.07 | 3.60 | 4.07 | 3.62 |  4.36 | 3.34 | 3.93 |  3.86 | 3.69 | 4.13 |  3.51 | 4.08 | 4.40 | 3.51 |  4.22 |  4.39 | 3.38 | 3.20 |  3.78 | 3.19 | 3.80 |  3.22 |  3.48 |
|         7 |  2.99 |  3.31 |  3.29 |  3.82 | 3.38 | 3.58 |  3.49 |  2.94 | 3.88 | 3.81 | 3.92 | 3.60 |  3.18 |  3.54 | 3.58 | 2.99 |  2.35 | 3.65 | 3.15 | 3.60 | 3.09 |  4.16 | 3.10 | 3.70 |  3.34 | 3.33 | 3.85 |  3.02 | 3.86 | 4.09 | 3.36 |  3.90 |  4.00 | 2.90 | 3.06 |  3.36 | 2.80 | 3.57 |  2.90 |  3.01 |
|         8 |  2.83 |  3.22 |  3.06 |  3.46 | 3.10 | 3.27 |  3.37 |  2.78 | 3.92 | 3.84 | 3.72 | 3.54 |  3.16 |  3.50 | 3.54 | 2.82 |  1.95 | 3.54 | 3.07 | 3.51 | 2.86 |  4.06 | 2.85 | 3.77 |  2.99 | 3.32 | 3.75 |  2.79 | 3.64 | 3.86 | 3.32 |  3.82 |  3.82 | 2.90 | 3.08 |  3.00 | 2.54 | 3.47 |  2.83 |  2.86 |
|         9 |  3.05 |  3.68 |  3.36 |  3.70 | 3.41 | 3.44 |  3.72 |  3.05 | 4.23 | 4.14 | 4.07 | 3.84 |  3.42 |  3.67 | 3.88 | 2.94 |  2.12 | 3.86 | 3.45 | 3.82 | 3.05 |  4.44 | 3.18 | 3.92 |  3.12 | 3.68 | 4.10 |  3.20 | 3.98 | 4.15 | 3.77 |  4.04 |  4.07 | 3.15 | 3.51 |  3.29 | 2.84 | 3.91 |  2.99 |  3.44 |
|        10 |  3.54 |  4.31 |  3.84 |  4.26 | 4.13 | 3.73 |  4.24 |  3.62 | 4.80 | 4.74 | 4.60 | 4.28 |  3.82 |  3.99 | 4.51 | 3.30 |  2.89 | 4.41 | 4.06 | 4.44 | 3.63 |  4.87 | 3.66 | 4.29 |  3.65 | 4.36 | 4.62 |  3.99 | 4.72 | 4.84 | 4.31 |  4.43 |  4.66 | 3.86 | 3.96 |  3.88 | 3.36 | 4.41 |  3.56 |  4.33 |
|        11 |  4.24 |  4.95 |  4.44 |  4.99 | 4.87 | 4.34 |  5.17 |  4.31 | 5.48 | 5.55 | 5.14 | 4.95 |  4.34 |  4.43 | 5.18 | 3.81 |  3.67 | 4.96 | 4.88 | 5.09 | 4.39 |  5.52 | 4.35 | 4.84 |  4.66 | 5.11 | 5.37 |  4.80 | 5.49 | 5.72 | 4.86 |  4.92 |  5.36 | 4.62 | 4.45 |  4.67 | 3.98 | 4.70 |  4.38 |  5.20 |
