# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |      4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |     25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -6.78 | -6.10 | -6.37 |  -5.24 | -5.72 | -6.32 | -5.84 | -6.21 | -5.61 | -5.71 | -4.89 | -6.23 | -6.45 | -6.18 | -6.47 | -6.49 | -6.52 | -5.56 | -6.67 | -5.64 | -6.05 | -5.93 | -6.82 | -6.42 |  -5.80 | -6.16 | -5.26 | -6.51 | -6.24 | -5.79 | -6.20 | -5.76 | -5.69 | -5.76 | -6.76 | -6.43 | -6.30 | -6.31 | -6.82 | -6.29 |
|         1 | -6.99 | -6.12 | -6.25 |  -5.95 | -5.83 | -6.14 | -6.52 | -6.14 | -5.42 | -5.80 | -5.60 | -6.40 | -6.73 | -6.29 | -6.64 | -6.36 | -6.32 | -6.13 | -6.68 | -5.76 | -6.24 | -5.83 | -6.89 | -6.52 |  -6.52 | -6.43 | -5.54 | -6.77 | -6.35 | -5.73 | -6.30 | -5.99 | -5.71 | -5.69 | -6.72 | -6.51 | -6.28 | -6.52 | -6.99 | -6.21 |
|         2 | -7.11 | -6.38 | -5.68 |  -6.36 | -6.07 | -6.03 | -6.58 | -5.74 | -5.86 | -5.84 | -6.20 | -6.76 | -6.89 | -6.56 | -6.79 | -6.56 | -6.76 | -6.09 | -6.93 | -6.23 | -6.24 | -6.01 | -7.46 | -6.56 |  -6.99 | -6.21 | -5.02 | -6.89 | -6.24 | -5.89 | -6.63 | -6.36 | -5.98 | -5.45 | -6.81 | -6.62 | -6.41 | -6.82 | -6.96 | -6.32 |
|         3 | -7.16 | -6.62 | -5.67 |  -6.34 | -6.54 | -6.59 | -6.69 | -5.66 | -6.40 | -5.90 | -6.25 | -7.00 | -7.20 | -6.67 | -6.83 | -7.03 | -7.44 | -6.21 | -7.52 | -6.12 | -6.14 | -6.22 | -7.88 | -6.62 |  -7.17 | -6.71 | -5.65 | -6.88 | -5.86 | -6.19 | -6.84 | -6.72 | -6.03 | -6.24 | -6.95 | -6.87 | -6.60 | -6.87 | -7.09 | -6.48 |
|         4 | -6.84 | -6.68 | -5.80 |  -6.31 | -6.21 | -6.81 | -6.74 | -4.92 | -6.32 | -5.65 | -6.05 | -7.15 | -7.35 | -6.84 | -6.69 | -7.02 | -7.58 | -6.50 | -7.48 | -5.95 | -5.46 | -6.32 | -7.98 | -6.63 |  -7.51 | -6.71 | -5.88 | -6.41 | -5.24 | -6.08 | -6.60 | -6.80 | -6.14 | -6.62 | -6.68 | -6.82 | -6.40 | -6.92 | -7.08 | -6.03 |
|         5 | -6.04 | -6.27 | -5.39 |  -5.33 | -5.81 | -6.68 | -6.48 | -5.12 | -5.56 | -5.08 | -5.53 | -7.07 | -6.85 | -6.39 | -6.04 | -6.10 | -6.80 | -5.23 | -7.17 | -5.08 | -4.68 | -6.51 | -7.81 | -6.50 |  -7.40 | -6.49 | -6.37 | -5.21 | -4.79 | -5.93 | -6.43 | -6.66 | -6.10 | -6.34 | -5.85 | -6.68 | -4.93 | -7.03 | -6.87 | -5.25 |
|         6 | -5.37 | -5.42 | -4.96 |  -3.96 | -4.52 | -5.91 | -5.48 | -4.72 | -4.38 | -4.20 | -5.23 | -6.91 | -5.85 | -5.39 | -5.89 | -4.55 | -5.87 | -4.71 | -6.58 | -4.80 | -4.55 | -6.55 | -7.23 | -6.04 |  -6.53 | -5.99 | -5.99 | -5.09 | -4.80 | -4.97 | -6.55 | -6.08 | -4.96 | -5.24 | -4.75 | -5.34 | -4.89 | -7.02 | -5.32 | -5.02 |
|         7 | -5.32 | -4.95 | -4.71 |  -4.05 | -4.66 | -5.35 | -5.34 | -4.60 | -4.11 | -4.23 | -5.17 | -6.58 | -5.28 | -4.73 | -5.67 | -4.82 | -5.71 | -4.61 | -5.29 | -4.61 | -4.54 | -6.06 | -5.84 | -5.64 |  -5.73 | -5.51 | -4.89 | -5.20 | -5.09 | -4.77 | -6.30 | -5.70 | -4.73 | -5.00 | -4.79 | -5.10 | -4.75 | -6.24 | -4.41 | -5.18 |
|         8 | -5.56 | -4.89 | -4.62 |  -4.42 | -4.80 | -5.06 | -5.71 | -4.66 | -4.15 | -4.37 | -4.88 | -5.69 | -5.10 | -4.68 | -5.48 | -4.67 | -5.62 | -4.83 | -4.50 | -4.75 | -4.48 | -5.12 | -5.22 | -5.07 |  -6.09 | -5.57 | -4.61 | -5.00 | -4.96 | -5.29 | -5.45 | -4.95 | -4.74 | -5.00 | -4.98 | -5.10 | -4.55 | -5.41 | -4.68 | -4.84 |
|         9 | -5.66 | -5.10 | -4.78 |  -4.18 | -4.77 | -5.21 | -5.82 | -4.76 | -4.21 | -4.60 | -4.91 | -5.26 | -4.97 | -4.79 | -5.32 | -4.56 | -5.88 | -5.23 | -4.74 | -4.89 | -4.55 | -4.70 | -5.03 | -4.76 |  -6.07 | -5.68 | -5.00 | -4.69 | -5.13 | -5.42 | -4.98 | -4.48 | -4.91 | -5.40 | -5.12 | -4.87 | -4.53 | -5.01 | -4.86 | -4.74 |
