# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |     4 |    5 |    6 |    7 |     8 |     9 |   10 |    11 |   12 |   13 |   14 |    15 |   16 |   17 |    18 |    19 |   20 |   21 |    22 |    23 |   24 |    25 |    26 |   27 |    28 |   29 |   30 |    31 |   32 |    33 |    34 |    35 |    36 |    37 |    38 |   39 |   40 |
|         0 | 0.98 | 1.74 |  1.46 |  1.22 | 1.19 | 1.74 | 0.83 |  0.89 |  1.68 | 1.17 |  0.75 | 1.56 | 1.93 | 1.57 |  1.61 | 1.30 | 0.98 |  1.24 |  1.77 | 1.81 | 1.21 |  2.11 |  1.37 | 1.38 |  1.25 |  0.63 | 1.36 |  1.02 | 1.41 | 1.41 |  1.16 | 1.65 |  1.91 |  1.13 |  1.13 |  1.76 |  1.99 |  2.04 | 1.12 | 1.95 |
|         1 | 1.10 | 1.73 |  1.53 |  1.46 | 1.38 | 1.92 | 1.11 |  1.08 |  1.79 | 1.31 |  1.04 | 1.63 | 2.07 | 1.69 |  1.87 | 1.51 | 0.94 |  1.20 |  1.86 | 1.96 | 1.33 |  2.51 |  1.68 | 1.63 |  1.56 |  0.84 | 1.57 |  1.31 | 1.67 | 1.42 |  1.16 | 1.70 |  1.86 |  1.31 |  1.19 |  1.91 |  2.26 |  2.12 | 1.23 | 1.99 |
|         2 | 1.40 | 1.91 |  1.75 |  1.55 | 1.58 | 2.10 | 1.20 |  1.43 |  1.82 | 1.68 |  1.25 | 1.60 | 2.26 | 1.90 |  1.99 | 1.31 | 0.97 |  1.30 |  1.89 | 2.26 | 1.52 |  2.77 |  1.80 | 1.87 |  1.81 |  1.08 | 1.86 |  1.42 | 1.85 | 1.62 |  1.50 | 1.71 |  2.11 |  1.60 |  1.42 |  2.01 |  2.56 |  2.24 | 1.37 | 2.15 |
|         3 | 1.14 | 2.08 |  2.02 |  1.85 | 1.81 | 2.33 | 1.52 |  1.81 |  1.88 | 2.00 |  1.52 | 1.47 | 2.37 | 2.07 |  2.10 | 0.95 | 1.05 |  1.56 |  2.06 | 2.44 | 1.78 |  2.75 |  2.08 | 2.02 |  1.99 |  1.43 | 2.12 |  1.75 | 2.06 | 1.77 |  1.78 | 1.69 |  2.30 |  1.99 |  1.70 |  1.97 |  2.79 |  2.25 | 1.63 | 2.24 |
|         4 | 0.99 | 2.18 |  2.22 |  2.34 | 2.26 | 2.49 | 1.87 |  2.09 |  2.03 | 2.50 |  1.74 | 1.82 | 2.41 | 2.31 |  2.28 | 1.41 | 1.48 |  1.93 |  2.28 | 2.62 | 2.00 |  2.76 |  2.36 | 2.16 |  2.11 |  1.79 | 2.24 |  2.18 | 2.25 | 2.05 |  2.03 | 1.70 |  2.65 |  2.35 |  1.98 |  2.34 |  2.97 |  2.40 | 1.85 | 2.24 |
|         5 | 1.64 | 2.39 |  2.66 |  2.70 | 2.73 | 2.83 | 2.04 |  2.51 |  2.25 | 2.87 |  1.96 | 2.16 | 2.70 | 2.75 |  2.49 | 1.78 | 2.02 |  2.18 |  2.58 | 2.92 | 2.29 |  2.99 |  2.65 | 2.40 |  2.42 |  2.01 | 2.41 |  2.55 | 2.55 | 2.44 |  2.36 | 1.93 |  2.93 |  2.73 |  2.31 |  2.78 |  3.07 |  2.73 | 2.22 | 2.47 |
|         6 | 2.32 | 2.73 |  2.67 |  2.90 | 2.92 | 3.17 | 2.26 |  3.00 |  2.51 | 3.03 |  2.44 | 2.42 | 2.98 | 2.94 |  2.74 | 2.21 | 2.46 |  2.52 |  2.88 | 3.24 | 2.71 |  3.12 |  2.92 | 2.77 |  2.73 |  2.33 | 2.76 |  2.83 | 2.80 | 2.90 |  2.64 | 2.21 |  3.23 |  2.99 |  2.63 |  2.96 |  3.41 |  2.98 | 2.53 | 2.73 |
|         7 | 2.61 | 3.04 |  2.58 |  3.19 | 3.07 | 3.36 | 2.56 |  3.28 |  2.84 | 3.14 |  2.88 | 2.63 | 3.22 | 3.05 |  3.01 | 2.25 | 2.74 |  2.82 |  3.12 | 3.39 | 2.99 |  3.22 |  3.16 | 3.05 |  2.74 |  2.68 | 3.01 |  3.02 | 2.90 | 3.25 |  2.84 | 2.51 |  3.27 |  2.79 |  3.02 |  3.07 |  3.49 |  3.25 | 2.78 | 2.83 |
|         8 | 2.76 | 3.34 |  3.01 |  3.42 | 3.07 | 3.55 | 2.96 |  3.52 |  3.20 | 3.37 |  3.11 | 2.78 | 3.39 | 3.25 |  3.29 | 2.51 | 3.05 |  3.19 |  3.26 | 3.69 | 3.26 |  3.47 |  3.50 | 3.35 |  2.93 |  2.92 | 3.24 |  3.18 | 3.01 | 3.63 |  3.19 | 2.81 |  3.38 |  2.82 |  3.49 |  3.24 |  3.69 |  3.58 | 3.17 | 2.99 |
|         9 | 3.36 | 3.87 |  3.57 |  3.86 | 3.43 | 3.89 | 3.61 |  3.97 |  3.52 | 3.85 |  3.45 | 3.17 | 3.63 | 3.62 |  3.73 | 3.12 | 3.49 |  3.79 |  3.80 | 4.14 | 3.65 |  3.91 |  3.95 | 3.74 |  3.49 |  3.46 | 3.78 |  3.59 | 3.31 | 4.21 |  3.76 | 3.20 |  3.66 |  3.28 |  4.10 |  3.50 |  4.16 |  3.91 | 3.52 | 3.40 |
|        10 | 4.17 | 4.65 |  4.41 |  4.52 | 3.95 | 4.47 | 4.41 |  4.90 |  4.02 | 4.53 |  4.15 | 3.81 | 4.02 | 4.36 |  4.30 | 3.87 | 3.88 |  4.63 |  4.34 | 4.81 | 4.27 |  4.51 |  4.42 | 4.35 |  4.29 |  4.43 | 4.60 |  4.04 | 3.89 | 4.99 |  4.41 | 3.95 |  4.43 |  4.00 |  4.79 |  4.17 |  4.97 |  4.47 | 4.02 | 3.91 |
|        11 | 5.03 | 5.42 |  5.65 |  5.42 | 4.58 | 5.24 | 5.17 |  6.09 |  4.85 | 5.40 |  5.12 | 4.89 | 4.69 | 5.25 |  5.19 | 4.73 | 4.60 |  5.51 |  5.03 | 5.67 | 5.17 |  5.56 |  5.24 | 5.08 |  5.12 |  5.61 | 5.49 |  4.81 | 4.70 | 5.81 |  4.89 | 4.95 |  5.38 |  4.64 |  5.41 |  4.81 |  6.03 |  5.21 | 4.69 | 4.62 |
|        12 | 6.09 | 6.18 |  6.61 |  6.28 | 5.44 | 5.97 | 5.99 |  6.90 |  5.77 | 6.32 |  6.05 | 6.01 | 5.56 | 6.21 |  6.61 | 5.75 | 5.64 |  6.34 |  5.99 | 6.49 | 6.01 |  6.53 |  6.37 | 6.18 |  6.18 |  6.53 | 6.36 |  5.83 | 5.73 | 6.65 |  5.52 | 6.07 |  6.18 |  5.50 |  6.31 |  5.61 |  6.85 |  6.04 | 5.40 | 5.44 |
|        13 | 6.84 | 6.86 |  7.24 |  6.97 | 6.23 | 6.81 | 6.92 |  7.50 |  6.78 | 7.42 |  7.24 | 6.55 | 6.27 | 7.39 |  7.68 | 6.58 | 6.72 |  7.21 |  6.76 | 7.14 | 6.95 |  7.04 |  7.09 | 7.10 |  6.83 |  7.18 | 7.34 |  6.76 | 6.86 | 7.43 |  5.86 | 7.03 |  6.79 |  6.58 |  7.04 |  6.71 |  7.56 |  6.99 | 5.85 | 6.20 |
|        14 | 7.30 | 7.48 |  7.75 |  7.72 | 6.98 | 7.36 | 7.53 |  7.98 |  7.57 | 8.37 |  8.01 | 6.90 | 6.94 | 8.21 |  8.45 | 7.33 | 7.59 |  7.94 |  7.25 | 7.42 | 7.50 |  7.69 |  7.54 | 7.80 |  7.21 |  7.76 | 8.00 |  7.53 | 7.52 | 8.10 |  6.19 | 7.96 |  7.42 |  7.58 |  7.66 |  7.53 |  8.09 |  7.58 | 6.33 | 6.88 |
|        15 | 7.74 | 7.86 |  7.84 |  7.91 | 7.94 | 7.84 | 7.93 |  8.44 |  8.36 | 8.96 |  8.17 | 7.48 | 7.37 | 8.61 |  8.60 | 7.96 | 7.93 |  8.35 |  7.55 | 7.92 | 7.84 |  8.25 |  8.13 | 8.15 |  7.41 |  8.22 | 8.29 |  7.87 | 7.84 | 8.42 |  6.58 | 8.45 |  7.74 |  8.19 |  8.01 |  8.07 |  8.46 |  8.13 | 7.14 | 7.48 |
|        16 | 7.84 | 7.89 |  8.29 |  8.10 | 8.02 | 8.22 | 8.14 |  8.73 |  8.98 | 8.99 |  8.60 | 8.01 | 7.74 | 8.41 |  8.73 | 8.21 | 8.30 |  8.39 |  7.72 | 8.48 | 7.82 |  8.28 |  8.91 | 8.37 |  7.50 |  8.20 | 7.95 |  8.03 | 8.17 | 8.77 |  7.05 | 8.27 |  8.12 |  8.36 |  7.89 |  7.98 |  9.01 |  8.50 | 7.77 | 7.98 |
|        17 | 7.66 | 8.12 |  8.58 |  8.24 | 8.41 | 8.45 | 8.39 |  8.80 |  9.05 | 9.04 |  8.44 | 8.17 | 8.37 | 8.48 |  8.67 | 8.07 | 8.49 |  8.17 |  8.12 | 8.83 | 8.62 |  8.40 |  9.21 | 8.48 |  7.62 |  8.76 | 8.45 |  8.35 | 8.38 | 9.00 |  7.83 | 8.57 |  8.01 |  8.63 |  7.86 |  8.16 |  8.54 |  8.72 | 8.23 | 8.46 |
|        18 | 7.84 | 8.20 |  8.24 |  8.34 | 8.34 | 8.60 | 8.24 |  8.97 |  8.95 | 8.96 |  8.75 | 8.06 | 8.67 | 8.25 |  8.69 | 8.23 | 8.36 |  8.19 |  8.24 | 8.59 | 8.93 |  8.86 |  9.55 | 8.80 |  7.92 |  9.11 | 8.53 |  8.43 | 8.40 | 8.96 |  8.14 | 8.98 |  7.93 |  8.38 |  7.95 |  8.62 |  8.55 |  8.57 | 8.34 | 8.44 |
|        19 | 8.22 | 8.09 |  8.13 |  8.54 | 8.57 | 8.65 | 8.26 |  9.42 |  8.98 | 8.94 |  9.21 | 8.09 | 8.70 | 8.58 |  8.82 | 8.28 | 8.83 |  8.16 |  8.70 | 8.75 | 9.35 |  9.13 | 10.05 | 9.10 |  8.07 |  9.27 | 8.88 |  8.75 | 8.64 | 8.98 |  8.62 | 9.40 |  7.86 |  8.68 |  8.46 |  8.88 |  8.87 |  8.80 | 8.41 | 8.23 |
|        20 | 8.41 | 8.47 |  8.21 |  8.68 | 8.33 | 8.88 | 8.52 |  8.49 |  8.75 | 9.15 |  9.02 | 8.26 | 9.10 | 8.67 |  8.82 | 7.68 | 8.51 |  8.15 |  8.61 | 8.64 | 8.86 |  9.62 | 10.11 | 9.03 |  8.27 |  9.41 | 8.81 |  8.66 | 8.56 | 9.29 |  8.87 | 9.52 |  8.13 |  8.68 |  8.18 |  8.79 |  8.78 |  8.72 | 8.66 | 8.55 |
|        21 | 8.03 | 8.32 |  7.10 |  8.34 | 7.38 | 8.78 | 8.09 |  7.17 |  7.88 | 9.13 |  8.22 | 8.12 | 8.88 | 8.37 |  8.17 | 7.08 | 7.51 |  7.38 |  7.80 | 7.65 | 7.67 |  9.30 |  9.68 | 8.76 |  7.82 |  9.18 | 8.32 |  7.58 | 7.71 | 9.09 |  8.78 | 9.27 |  8.15 |  8.38 |  7.43 |  8.69 |  8.43 |  8.47 | 8.52 | 8.47 |
|        22 | 6.94 | 7.78 |  6.39 |  7.22 | 6.45 | 7.70 | 7.51 |  6.43 |  7.30 | 8.22 |  7.01 | 7.81 | 8.00 | 7.43 |  7.50 | 5.98 | 6.34 |  6.43 |  7.04 | 6.80 | 6.71 |  8.46 |  8.72 | 8.14 |  7.11 |  8.75 | 7.57 |  6.74 | 6.90 | 8.26 |  8.22 | 8.56 |  7.32 |  7.66 |  6.33 |  7.75 |  7.56 |  7.86 | 8.12 | 7.25 |
|        23 | 5.79 | 6.48 |  5.79 |  6.41 | 5.80 | 6.82 | 6.54 |  6.11 |  6.92 | 7.38 |  6.42 | 7.06 | 7.00 | 6.28 |  6.92 | 5.23 | 5.78 |  5.48 |  6.41 | 6.33 | 5.94 |  7.08 |  8.13 | 7.43 |  6.27 |  8.08 | 6.72 |  6.28 | 5.92 | 7.05 |  7.13 | 6.39 |  6.35 |  6.70 |  5.58 |  7.15 |  6.80 |  6.52 | 6.89 | 6.15 |
|        24 | 4.98 | 5.81 |  5.42 |  6.00 | 5.13 | 6.26 | 5.71 |  5.79 |  6.72 | 6.65 |  5.99 | 6.50 | 6.20 | 5.55 |  6.44 | 4.87 | 5.31 |  4.76 |  5.90 | 5.99 | 5.54 |  6.28 |  7.74 | 6.83 |  5.50 |  7.49 | 6.19 |  6.00 | 5.52 | 6.36 |  6.36 | 5.57 |  4.71 |  6.00 |  5.25 |  6.81 |  6.41 |  5.85 | 6.32 | 5.73 |
|        25 | 4.83 | 5.36 |  4.94 |  5.77 | 4.77 | 5.93 | 5.49 |  5.59 |  6.42 | 6.17 |  5.58 | 5.94 | 5.78 | 5.15 |  6.12 | 4.57 | 4.95 |  4.20 |  5.57 | 5.68 | 5.31 |  5.71 |  7.25 | 6.40 |  5.12 |  7.03 | 5.72 |  5.82 | 4.98 | 6.18 |  6.15 | 5.32 |  4.26 |  5.77 |  4.95 |  6.55 |  6.01 |  5.53 | 6.07 | 5.58 |
|        26 | 4.52 | 5.18 |  4.60 |  5.37 | 4.69 | 5.56 | 5.43 |  5.43 |  6.31 | 6.02 |  5.23 | 5.53 | 5.50 | 4.76 |  5.97 | 4.31 | 4.72 |  4.29 |  5.40 | 5.63 | 5.16 |  5.51 |  6.86 | 6.13 |  5.11 |  6.81 | 5.32 |  5.56 | 4.95 | 6.07 |  5.85 | 5.05 |  4.15 |  5.52 |  4.71 |  6.18 |  5.72 |  5.39 | 5.90 | 5.37 |
|        27 | 4.38 | 5.12 |  4.48 |  5.24 | 4.55 | 5.38 | 5.33 |  5.24 |  6.21 | 5.86 |  4.91 | 5.14 | 5.38 | 4.37 |  5.67 | 4.08 | 4.81 |  4.01 |  5.08 | 5.41 | 5.10 |  5.30 |  6.47 | 5.91 |  4.91 |  6.58 | 5.10 |  5.47 | 4.92 | 5.84 |  5.77 | 5.05 |  4.03 |  5.12 |  4.50 |  5.83 |  5.62 |  5.40 | 5.67 | 5.16 |
|        28 | 4.26 | 5.04 |  4.53 |  5.15 | 4.44 | 5.18 | 5.32 |  5.19 |  6.16 | 5.86 |  4.61 | 4.94 | 5.18 | 4.12 |  5.68 | 4.07 | 4.85 |  3.85 |  4.73 | 5.33 | 5.03 |  5.30 |  6.40 | 5.82 |  4.77 |  6.24 | 5.05 |  5.26 | 4.74 | 5.84 |  5.63 | 4.84 |  3.89 |  5.00 |  4.29 |  5.62 |  5.51 |  5.30 | 5.51 | 5.11 |
|        29 | 4.08 | 4.98 |  4.34 |  4.89 | 4.18 | 5.21 | 5.25 |  5.15 |  6.07 | 5.70 |  4.49 | 4.88 | 4.94 | 3.96 |  5.76 | 4.01 | 4.81 |  3.72 |  4.48 | 5.23 | 5.04 |  4.99 |  6.28 | 6.04 |  4.49 |  6.22 | 4.91 |  5.05 | 4.41 | 5.70 |  5.50 | 4.60 |  3.84 |  4.91 |  4.39 |  5.38 |  5.42 |  5.28 | 5.36 | 5.01 |
|        30 | 3.94 | 4.94 |  4.18 |  4.57 | 4.31 | 5.35 | 5.32 |  4.97 |  5.90 | 5.48 |  4.32 | 4.77 | 4.81 | 3.86 |  5.51 | 3.92 | 4.84 |  3.85 |  4.39 | 5.10 | 4.97 |  4.76 |  6.29 | 6.21 |  4.20 |  6.03 | 4.78 |  4.67 | 4.48 | 5.39 |  5.29 | 4.25 |  3.45 |  4.71 |  4.41 |  5.10 |  5.16 |  5.26 | 5.14 | 4.88 |
|        31 | 3.90 | 4.72 |  4.03 |  4.10 | 4.54 | 5.36 | 5.23 |  4.75 |  5.53 | 5.25 |  4.07 | 4.51 | 4.55 | 3.86 |  5.43 | 3.77 | 4.96 |  4.03 |  4.46 | 4.99 | 4.86 |  4.45 |  6.18 | 6.36 |  3.75 |  5.99 | 4.69 |  4.50 | 4.50 | 5.34 |  5.08 | 4.05 |  3.09 |  4.35 |  4.23 |  4.70 |  4.96 |  5.19 | 4.90 | 4.69 |
|        32 | 3.82 | 4.44 |  4.10 |  3.96 | 4.57 | 5.40 | 5.11 |  4.52 |  5.42 | 5.17 |  4.10 | 4.57 | 4.59 | 3.85 |  5.49 | 3.77 | 4.76 |  4.30 |  4.50 | 4.93 | 5.13 |  4.44 |  6.29 | 6.72 |  3.76 |  6.02 | 4.77 |  4.60 | 4.54 | 5.24 |  4.97 | 4.18 |  3.14 |  4.24 |  4.14 |  4.74 |  4.90 |  5.21 | 4.81 | 4.66 |
|        33 | 4.42 | 4.59 |  4.29 |  4.14 | 4.94 | 5.65 | 5.18 |  4.50 |  5.73 | 5.38 |  4.31 | 4.98 | 4.76 | 4.44 |  5.78 | 3.92 | 4.86 |  4.68 |  4.85 | 5.03 | 5.48 |  4.66 |  6.68 | 7.02 |  3.97 |  6.19 | 5.07 |  4.83 | 4.72 | 5.46 |  5.26 | 4.44 |  3.38 |  4.45 |  4.48 |  4.95 |  5.10 |  5.34 | 4.70 | 4.92 |
