# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |      3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |     11 |    12 |    13 |    14 |     15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |     35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -3.23 | -2.92 |  -3.28 | -4.24 | -3.45 | -3.13 | -3.53 | -3.16 | -3.45 | -3.20 |  -2.93 | -3.60 | -4.22 | -3.29 |  -3.56 | -4.10 | -2.79 | -3.54 | -3.63 | -3.71 | -3.62 | -3.67 | -3.64 | -3.30 | -2.84 | -4.43 | -2.74 | -3.68 | -3.69 | -2.93 | -3.31 | -3.99 | -3.26 | -4.06 |  -4.40 | -3.29 | -2.28 | -4.51 | -2.82 | -4.20 |
|         1 | -4.63 | -4.03 |  -5.85 | -5.30 | -4.59 | -4.80 | -4.33 | -4.12 | -4.01 | -4.54 |  -4.01 | -5.39 | -4.82 | -4.61 |  -4.45 | -5.79 | -4.13 | -3.00 | -5.60 | -4.29 | -4.98 | -5.65 | -5.27 | -4.71 | -4.31 | -5.97 | -4.18 | -4.39 | -5.79 | -4.66 | -3.57 | -5.28 | -3.76 | -5.24 |  -5.59 | -5.27 | -3.47 | -5.96 | -4.60 | -5.69 |
|         2 | -6.18 | -5.89 |  -5.77 | -4.68 | -5.24 | -5.29 | -5.04 | -4.98 | -5.43 | -5.72 |  -5.93 | -5.89 | -5.27 | -5.20 |  -5.29 | -5.25 | -5.31 | -4.06 | -5.32 | -5.47 | -5.51 | -5.69 | -4.37 | -5.48 | -4.56 | -5.93 | -5.72 | -5.87 | -5.26 | -4.92 | -3.82 | -5.93 | -5.40 | -5.00 |  -5.46 | -5.39 | -4.61 | -4.93 | -5.27 | -5.46 |
|         3 | -5.36 | -4.94 |  -4.54 | -3.88 | -4.21 | -4.61 | -5.40 | -4.20 | -5.23 | -4.80 |  -5.19 | -4.97 | -4.65 | -4.60 |  -4.47 | -4.55 | -4.50 | -4.80 | -5.14 | -5.15 | -4.98 | -5.07 | -4.50 | -4.67 | -3.99 | -4.90 | -4.51 | -5.20 | -4.35 | -4.50 | -4.44 | -5.16 | -4.75 | -4.68 |  -4.30 | -4.46 | -3.98 | -4.58 | -4.88 | -4.98 |
|         4 | -4.07 | -4.19 |  -4.65 | -3.03 | -3.39 | -4.04 | -4.17 | -3.48 | -4.37 | -4.42 |  -4.09 | -4.31 | -3.91 | -4.12 |  -3.60 | -4.18 | -3.89 | -4.39 | -4.29 | -4.41 | -4.40 | -3.89 | -4.01 | -4.09 | -3.88 | -3.94 | -4.30 | -4.32 | -4.12 | -3.23 | -3.80 | -4.71 | -4.08 | -4.35 |  -3.82 | -3.34 | -3.69 | -4.03 | -4.33 | -4.22 |
|         5 | -3.94 | -3.89 |  -4.05 | -3.08 | -3.76 | -3.72 | -3.27 | -3.12 | -3.30 | -3.81 |  -3.28 | -4.40 | -3.11 | -3.64 |  -3.71 | -3.73 | -3.42 | -3.62 | -3.82 | -3.00 | -3.86 | -3.49 | -3.82 | -2.97 | -3.35 | -3.05 | -4.11 | -3.95 | -3.50 | -2.93 | -3.32 | -4.32 | -3.76 | -4.04 |  -3.47 | -3.23 | -2.63 | -3.90 | -3.81 | -3.77 |
|         6 | -2.70 | -2.60 |  -1.89 | -2.48 | -2.76 | -2.10 | -2.41 | -2.46 | -2.52 | -2.58 |  -2.62 | -2.80 | -2.51 | -2.35 |  -1.89 | -1.54 | -3.34 | -3.24 | -2.28 | -1.59 | -3.16 | -1.61 | -2.09 | -1.71 | -1.13 | -1.76 | -2.62 | -3.23 | -2.01 | -1.69 | -3.25 | -3.45 | -3.63 | -3.73 |  -3.12 | -2.77 | -1.66 | -2.35 | -2.97 | -2.49 |
|         7 | -1.42 | -0.86 |  -0.67 | -0.88 | -1.14 | -1.11 | -0.74 | -0.56 | -1.14 | -1.02 |  -0.82 | -1.07 | -1.14 | -1.55 |  -1.34 | -0.84 | -1.43 | -2.14 | -0.65 | -1.20 | -1.12 | -0.63 | -0.90 | -0.74 | -0.39 | -0.49 | -0.98 | -1.08 | -1.00 | -0.49 | -1.13 | -1.47 | -1.06 | -1.80 |  -1.44 | -1.38 | -0.89 | -0.84 | -1.88 | -0.72 |
|         8 | -0.65 | -0.87 |  -0.65 | -0.22 | -0.37 | -0.83 | -0.26 |  0.15 | -0.90 | -0.68 |   0.12 | -0.77 | -0.20 | -0.92 |  -0.37 | -0.31 | -0.50 | -0.55 | -0.68 | -0.15 | -0.92 | -0.07 | -0.08 | -0.22 | -0.08 |  0.05 | -0.16 | -0.52 | -0.88 | -0.14 | -0.65 | -0.72 |  0.07 | -0.63 |  -1.12 | -0.73 |  0.33 | -0.51 | -0.95 | -0.10 |
|         9 | -0.11 | -0.12 |   2.19 |  1.48 | -0.60 |  0.20 |  1.62 |  3.05 |  0.09 |  0.37 |   2.04 |  0.82 |     0 |  0.35 |   1.08 |  2.19 |  0.84 |  1.57 |  0.77 |  2.40 |  1.63 |  1.44 |  1.54 |  1.42 |  3.17 |  2.64 |  1.39 |  0.70 | -0.70 |  1.54 | -1.20 |  0.86 |  1.90 | -0.71 |      0 |  1.31 |  3.12 |  0.84 | -0.52 |  0.75 |
|        10 |  2.12 |  3.43 |   4.64 |  4.03 |  0.69 |  2.80 |  3.80 |  4.97 |  2.23 |  3.47 |   3.86 |  3.87 |  2.06 |  2.85 |   3.02 |  3.46 |  3.08 |  4.48 |  3.30 |  4.11 |  4.64 |  3.20 |  2.81 |  4.77 |  4.24 |  3.91 |  3.82 |  4.04 |  2.15 |  3.45 | -0.33 |  4.32 |  2.87 |  1.43 |   0.91 |  2.86 |  4.68 |  2.82 |  0.84 |  3.23 |
|        11 |  3.73 |  3.86 |   4.57 |  4.57 |  1.42 |  4.34 |  3.95 |  5.07 |  2.84 |  4.50 |   4.10 |  4.51 |  4.07 |  4.32 |   3.85 |  4.91 |  4.83 |  5.21 |  4.85 |  5.10 |  5.05 |  4.52 |  3.73 |  5.43 |  4.68 |  4.11 |  4.97 |  5.51 |  3.48 |  3.71 |  1.99 |  4.94 |  4.67 |  4.18 |   1.79 |  4.05 |  5.69 |  3.86 |  2.40 |  4.85 |
|        12 |  5.34 |  5.03 |   4.77 |  4.92 |  1.36 |  4.46 |  4.27 |  4.72 |  3.51 |  5.44 |   4.77 |  5.28 |  4.44 |  4.83 |   3.86 |  4.68 |  5.30 |  5.04 |  5.27 |  5.38 |  5.60 |  5.12 |  4.89 |  6.32 |  3.79 |  4.31 |  5.63 |  6.05 |  3.98 |  4.97 |  3.72 |  5.87 |  5.41 |  3.99 |   2.47 |  4.68 |  6.07 |  5.07 |  3.63 |  5.52 |
|        13 |  5.27 |  5.14 |   4.82 |  5.71 |  2.03 |  3.84 |  3.56 |  3.93 |  3.26 |  4.88 |   4.44 |  4.79 |  4.15 |  3.85 |   3.53 |  4.56 |  4.47 |  4.57 |  5.37 |  5.79 |  5.31 |  5.37 |  5.04 |  6.31 |  3.61 |  4.21 |  6.02 |  4.94 |  4.23 |  5.40 |  4.40 |  5.94 |  5.14 |  4.11 |   2.28 |  4.42 |  6.19 |  5.79 |  3.58 |  5.10 |
