# variable: Wind Gust at 10m, Maximum of Time Interval before fcst_hour
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |      5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |     15 |    16 |    17 |     18 |    19 |    20 |    21 |    22 |     23 |    24 |    25 |     26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 | 21.91 | 22.94 | 25.67 | 22.57 |  23.29 | 25.89 | 21.46 | 23.33 | 23.95 | 20.88 | 22.60 | 24.55 | 23.90 | 24.53 |  25.28 | 22.31 | 22.14 |  22.10 | 22.57 | 26.60 | 21.36 | 25.45 |  24.03 | 23.40 | 27.25 |  21.06 | 25.09 | 22.52 | 20.11 | 23.11 | 23.95 | 23.07 | 21.21 | 22.52 | 22.74 | 23.69 | 24.19 | 23.23 | 18.91 | 23.37 |
|         2 | 23.59 | 24.55 | 26.14 | 24.12 |  25.74 | 27.52 | 22.79 | 26.32 | 25.42 | 23.48 | 25.13 | 25.83 | 25.72 | 27.28 |  27.84 | 23.92 | 24.87 |  24.64 | 25.27 | 29.39 | 23.35 | 29.01 |  26.91 | 25.87 | 29.03 |  23.91 | 26.33 | 22.58 | 21.61 | 24.87 | 26.69 | 25.14 | 24.52 | 26.66 | 24.68 | 24.98 | 26.27 | 26.21 | 20.85 | 26.37 |
|         3 | 25.09 | 27.83 | 29.72 | 27.17 |  28.17 | 32.22 | 27.28 | 31.82 | 28.05 | 28.60 | 29.49 | 30.05 | 27.84 | 30.24 |  32.50 | 27.73 | 28.71 |  29.95 | 30.33 | 31.96 | 25.95 | 32.81 |  29.86 | 30.81 | 34.31 |  28.41 | 31.73 | 27.73 | 27.75 | 28.13 | 29.98 | 28.12 | 28.42 | 31.61 | 28.89 | 26.63 | 29.27 | 30.40 | 25.77 | 32.92 |
|         4 | 29.16 | 30.85 | 32.09 | 30.08 |  31.89 | 32.49 | 31.36 | 33.61 | 32.66 | 34.15 | 32.32 | 31.75 | 30.22 | 33.25 |  32.89 | 34.16 | 31.50 |  33.55 | 33.42 | 33.51 | 29.12 | 35.38 |  33.14 | 32.91 | 34.65 |  32.19 | 34.21 | 32.38 | 32.66 | 29.56 | 31.38 | 32.34 | 32.42 | 32.29 | 31.16 | 31.76 | 31.98 | 32.09 | 26.51 | 34.37 |
|         5 | 34.30 | 32.42 | 35.40 | 30.13 |  34.15 | 32.11 | 32.71 | 36.35 | 33.01 | 35.07 | 34.53 | 33.47 | 32.00 | 33.86 |  33.99 | 36.68 | 33.42 |  33.91 | 34.15 | 35.65 | 31.21 | 36.77 |  33.83 | 33.26 | 37.95 |  32.67 | 36.42 | 33.92 | 33.63 | 32.66 | 32.72 | 33.39 | 34.62 | 34.97 | 35.20 | 34.75 | 33.93 | 34.60 | 29.17 | 36.22 |
|         6 | 37.85 | 35.19 | 43.11 | 31.81 |  37.55 | 37.05 | 34.51 | 38.84 | 33.22 | 39.87 | 37.64 | 36.75 | 32.13 | 35.63 |  37.25 | 43.26 | 34.74 |  38.29 | 36.61 | 40.12 | 33.95 | 37.12 |  35.19 | 34.42 | 41.15 |  34.70 | 39.65 | 36.64 | 37.93 | 33.47 | 34.84 | 34.25 | 36.02 | 34.92 | 38.69 | 34.68 | 40.00 | 35.50 | 30.55 | 39.04 |
|         7 | 45.86 | 38.87 | 43.65 | 35.25 |  41.63 | 39.51 | 38.66 | 43.18 | 37.08 | 41.78 | 40.63 | 42.10 | 34.48 | 38.27 |  40.97 | 43.38 | 37.95 |  39.67 | 42.12 | 43.38 | 37.26 | 39.50 |  38.84 | 36.92 | 43.40 |  39.74 | 40.89 | 45.22 | 40.48 | 36.08 | 39.40 | 38.49 | 38.31 | 42.16 | 41.16 | 36.16 | 40.55 | 38.46 | 32.56 | 43.44 |
|         8 | 46.69 | 42.80 | 41.73 | 37.44 |  43.27 | 42.33 | 42.85 | 45.43 | 42.23 | 43.91 | 44.25 | 42.90 | 40.18 | 39.47 |  42.24 | 44.26 | 41.55 |  44.36 | 42.65 | 47.20 | 41.77 | 41.89 |  41.05 | 41.63 | 46.65 |  41.79 | 45.34 | 43.54 | 42.01 | 41.69 | 41.97 | 41.10 | 42.46 | 44.56 | 45.17 | 42.65 | 42.50 | 40.73 | 35.66 | 45.63 |
|         9 | 45.77 | 43.56 | 43.64 | 39.89 |  45.34 | 45.10 | 45.86 | 47.15 | 42.63 | 45.27 | 45.19 | 44.33 | 41.12 | 41.88 |  43.96 | 46.54 | 44.37 |  50.98 | 44.65 | 47.43 | 46.14 | 41.97 |  41.28 | 42.15 | 48.06 |  43.10 | 49.24 | 44.40 | 44.16 | 41.18 | 44.14 | 46.25 | 43.95 | 42.05 | 46.52 | 43.84 | 43.81 | 41.53 | 41.33 | 45.63 |
|        10 | 46.40 | 46.18 | 43.15 | 41.65 |  45.60 | 47.60 | 47.47 | 46.44 | 45.28 | 45.08 | 45.70 | 44.41 | 43.43 | 45.40 |  43.86 | 50.13 | 44.43 |  51.74 | 44.49 | 46.56 | 46.78 | 40.92 |  41.18 | 44.75 | 47.94 |  43.71 | 50.72 | 43.54 | 45.11 | 44.89 | 43.77 | 47.71 | 44.09 | 42.50 | 46.74 | 44.19 | 46.10 | 42.18 | 41.98 | 47.83 |
