# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |      3 |      4 |      5 |      6 |      7 |     8 |     9 |    10 |     11 |     12 |     13 |     14 |    15 |    16 |     17 |     18 |     19 |    20 |     21 |     22 |    23 |     24 |     25 |     26 |     27 |    28 |     29 |     30 |    31 |    32 |     33 |    34 |     35 |     36 |     37 |    38 |    39 |     40 |
|         1 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         2 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         3 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         4 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         5 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         6 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         7 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |
|         8 |   5.90 |  6.20 |   4.00 |   1.20 |   4.10 |   3.90 |   4.00 |  2.90 |  4.40 |  5.70 |   6.20 |   3.00 |   5.90 |   3.80 |  5.40 |  5.10 |   5.10 |   0.60 |   0.50 |     0 |   3.70 |   8.00 |  3.80 |   2.80 |   1.70 |   6.80 |   2.40 |  0.60 |   1.60 |   5.60 |  2.80 |  3.10 |   5.20 |  2.20 |      0 |   5.20 |   4.70 |  2.00 |  6.20 |   7.20 |
|         9 |  14.50 |  9.10 |  14.60 |  21.70 |   9.20 |  16.50 |   4.70 | 26.90 | 18.10 | 24.20 |  26.40 |  12.20 |  19.60 |  12.40 | 15.80 | 19.40 |  27.30 |  10.60 |  30.40 | 11.70 |  22.00 |  37.30 | 13.60 |   8.20 |  13.00 |  23.20 |   3.30 | 27.10 |  14.20 |   4.00 | 19.60 | 19.00 |  23.20 | 17.50 |   0.10 |  54.00 |  15.70 | 21.90 |  5.10 |  28.60 |
|        10 |  14.40 | 10.60 |  43.60 |  46.50 |  16.00 |  11.50 |  15.70 | 30.00 |  9.90 | 24.70 |  24.80 |  11.10 |  16.80 |   7.70 | 11.70 | 33.80 |  28.10 |  44.10 |  52.30 | 15.70 |  19.60 |  73.60 | 16.40 |  21.90 |  21.30 |  19.90 |   7.40 | 10.90 |   4.80 |  23.80 | 35.00 |  6.80 |  10.50 | 28.80 |   4.20 |  80.60 |  34.00 | 10.20 |  4.60 |  29.40 |
