# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |    2 |     3 |    4 |    5 |     6 |    7 |    8 |    9 |   10 |    11 |    12 |   13 |   14 |    15 |   16 |   17 |    18 |    19 |    20 |   21 |    22 |   23 |   24 |   25 |   26 |   27 |    28 |    29 |   30 |    31 |   32 |    33 |   34 |    35 |   36 |   37 |   38 |   39 |    40 |
|         0 |  5.11 | 5.78 |  6.07 | 6.16 | 5.53 |  6.15 | 5.67 | 5.96 | 6.51 | 6.39 |  5.67 |  5.95 | 6.23 | 5.83 |  6.66 | 5.95 | 5.96 |  5.60 |  6.36 |  6.00 | 5.65 |  5.96 | 7.36 | 6.26 | 5.69 | 6.57 | 6.24 |  5.76 |  6.15 | 6.20 |  6.24 | 5.85 |  5.45 | 6.01 |  5.70 | 6.52 | 5.93 | 5.87 | 6.41 |  6.00 |
|         1 |  5.12 | 5.58 |  5.61 | 5.87 | 5.22 |  5.75 | 5.17 | 5.75 | 6.35 | 6.03 |  5.51 |  5.46 | 5.81 | 5.47 |  6.35 | 5.60 | 5.48 |  5.44 |  6.01 |  5.67 | 5.25 |  5.65 | 7.00 | 5.81 | 5.57 | 6.39 | 5.70 |  5.74 |  5.60 | 5.78 |  5.90 | 5.52 |  5.21 | 5.75 |  5.44 | 6.15 | 5.75 | 5.80 | 6.01 |  5.82 |
|         2 |  5.00 | 5.54 |  5.65 | 5.60 | 5.18 |  5.80 | 5.06 | 5.66 | 6.27 | 5.90 |  5.36 |  5.17 | 5.68 | 5.33 |  6.06 | 5.36 | 5.42 |  5.37 |  5.64 |  5.50 | 5.01 |  5.54 | 6.86 | 5.46 | 5.48 | 6.35 | 5.47 |  5.58 |  5.53 | 5.65 |  5.78 | 5.23 |  5.21 | 5.67 |  5.26 | 6.01 | 5.71 | 5.85 | 5.89 |  5.62 |
|         3 |  4.82 | 5.23 |  5.47 | 5.38 | 4.97 |  5.63 | 5.03 | 5.49 | 6.10 | 5.86 |  5.05 |  4.92 | 5.43 | 4.95 |  5.73 | 5.06 | 5.35 |  5.20 |  5.35 |  5.32 | 4.92 |  5.43 | 6.51 | 5.48 | 5.32 | 6.30 | 5.26 |  5.49 |  5.17 | 5.51 |  5.69 | 5.00 |  4.90 | 5.48 |  5.02 | 5.64 | 5.56 | 5.68 | 5.85 |  5.32 |
|         4 |  4.57 | 4.97 |  5.04 | 5.16 | 4.84 |  5.36 | 5.10 | 5.34 | 6.13 | 5.71 |  4.99 |  4.67 | 5.40 | 4.72 |  5.63 | 4.96 | 5.39 |  4.91 |  5.22 |  5.07 | 4.85 |  5.05 | 6.28 | 5.29 | 5.23 | 6.19 | 5.25 |  5.42 |  4.79 | 5.41 |  5.51 | 4.87 |  4.40 | 5.25 |  4.78 | 5.38 | 5.43 | 5.57 | 5.62 |  5.12 |
|         5 |  4.47 | 4.90 |  4.82 | 4.89 | 4.72 |  5.23 | 5.03 | 5.36 | 6.11 | 5.49 |  4.80 |  4.55 | 5.44 | 4.57 |  5.67 | 5.01 | 5.31 |  4.90 |  5.17 |  4.82 | 4.83 |  4.78 | 6.17 | 5.32 | 5.04 | 5.98 | 5.16 |  5.11 |  4.52 | 5.26 |  5.30 | 4.68 |  4.15 | 5.12 |  4.45 | 5.21 | 5.36 | 5.40 | 5.41 |  4.96 |
|         6 |  4.38 | 4.78 |  4.73 | 4.77 | 4.82 |  5.38 | 5.13 | 5.29 | 5.90 | 5.33 |  4.95 |  4.44 | 5.40 | 4.52 |  5.77 | 5.00 | 5.31 |  4.83 |  5.15 |  4.72 | 4.95 |  4.70 | 6.16 | 5.36 | 4.73 | 5.93 | 5.20 |  5.01 |  4.50 | 5.16 |  5.20 | 4.42 |  4.12 | 4.96 |  4.34 | 5.26 | 5.31 | 5.31 | 5.38 |  5.00 |
|         7 |  4.44 | 4.80 |  4.76 | 4.68 | 4.88 |  5.35 | 5.11 | 5.25 | 5.75 | 5.20 |  4.98 |  4.44 | 5.30 | 4.59 |  5.74 | 4.93 | 5.31 |  4.91 |  5.18 |  4.46 | 5.12 |  4.47 | 6.09 | 5.35 | 4.49 | 5.87 | 5.25 |  4.99 |  4.50 | 5.20 |  5.08 | 4.39 |  4.08 | 4.78 |  4.35 | 5.12 | 5.25 | 5.30 | 5.32 |  5.02 |
|         8 |  4.56 | 4.80 |  4.86 | 4.75 | 4.98 |  5.45 | 5.24 | 5.24 | 5.61 | 5.31 |  5.08 |  4.38 | 5.37 | 4.68 |  6.00 | 5.00 | 5.38 |  4.91 |  5.35 |  4.60 | 5.47 |  4.24 | 6.12 | 5.68 | 4.35 | 5.94 | 5.54 |  5.26 |  4.59 | 5.34 |  5.05 | 4.44 |  4.05 | 4.66 |  4.57 | 5.23 | 5.22 | 5.33 | 5.37 |  5.20 |
|         9 |  4.52 | 4.87 |  5.19 | 5.05 | 5.32 |  5.49 | 5.40 | 5.46 | 5.69 | 5.62 |  5.38 |  4.70 | 5.54 | 5.02 |  6.25 | 5.29 | 5.71 |  5.04 |  5.56 |  4.91 | 6.00 |  4.23 | 6.23 | 5.91 | 4.66 | 6.19 | 5.94 |  5.72 |  4.66 | 5.43 |  5.42 | 4.78 |  4.13 | 4.77 |  4.62 | 5.69 | 5.42 | 5.37 | 5.40 |  5.49 |
