# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |      4 |     5 |     6 |     7 |      8 |     9 |     10 |    11 |    12 |     13 |    14 |    15 |    16 |     17 |     18 |    19 |     20 |    21 |     22 |    23 |    24 |    25 |     26 |     27 |    28 |    29 |    30 |    31 |    32 |    33 |     34 |    35 |    36 |    37 |     38 |     39 |    40 |
|         1 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         2 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         3 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         4 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         5 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         6 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         7 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         8 |  0.10 |  0.20 |  0.10 |   0.20 |     0 |  0.10 |  0.20 |      0 |  0.10 |   0.20 |  0.20 |  0.30 |      0 |  1.20 |  0.10 |  0.90 |   0.20 |      0 |     0 |   0.30 |     0 |      0 |  0.10 |  0.20 |     0 |   0.10 |      0 |  0.50 |     0 |  0.20 |  0.10 |     0 |  0.50 |   0.20 |  0.70 |  0.20 |  0.10 |   0.10 |      0 |  0.30 |
|         9 |  1.40 |  2.40 |     0 |   1.00 |  2.20 |  0.60 |  0.50 |   0.10 |  0.10 |   1.80 |     0 |     0 |   0.20 |  0.20 |  0.10 |  0.30 |   0.50 |      0 |  0.60 |   0.50 |  0.80 |   0.40 |  2.00 |  3.90 |  0.10 |   0.50 |   0.10 |  0.60 |  0.30 |  0.70 |     0 |  0.90 |  0.10 |   1.60 |  3.50 |  0.90 |  0.10 |   0.30 |   0.60 |  0.40 |
|        10 |  2.70 |  5.70 |  0.40 |   1.80 |  6.60 |  0.20 |  1.90 |   4.50 |  2.00 |  12.60 |  1.90 |     0 |   0.50 |  0.50 |  0.20 |     0 |  10.50 |   0.10 |  4.90 |   0.60 |     0 |   2.00 |  1.70 | 10.00 |  2.40 |   8.10 |   6.10 |  2.80 |  3.70 | 20.00 |  9.30 |  1.70 |  0.60 |   9.60 |  9.10 |  3.30 |  0.30 |   1.50 |   3.10 |  1.70 |
