# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |     2 |    3 |    4 |     5 |     6 |     7 |    8 |     9 |   10 |    11 |    12 |    13 |   14 |    15 |   16 |   17 |   18 |    19 |   20 |    21 |    22 |   23 |   24 |   25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |   33 |   34 |    35 |    36 |   37 |    38 |   39 |    40 |
|         0 | 2.53 |  2.93 | 3.33 | 1.60 |  3.11 |  2.78 |  2.79 | 2.91 |  3.76 | 3.88 |  3.23 |  2.91 |  3.39 | 3.50 |  3.48 | 2.40 | 2.88 | 2.54 |  2.62 | 3.07 |  1.45 |  2.88 | 3.14 | 2.47 | 1.60 |  4.21 |  1.82 |  3.32 |  2.98 |  2.51 |  3.18 |  2.71 | 1.52 | 2.96 |  2.73 |  2.18 | 3.01 |  2.76 | 3.75 |  2.80 |
|         1 | 2.18 |  2.82 | 2.88 | 1.25 |  2.61 |  2.85 |  2.50 | 2.72 |  3.39 | 3.68 |  2.95 |  2.56 |  3.05 | 3.03 |  3.05 | 1.97 | 2.47 | 2.19 |  2.59 | 2.79 |  1.13 |  2.61 | 2.99 | 2.20 | 1.24 |  3.68 |  1.58 |  3.02 |  2.47 |  2.11 |  2.68 |  2.18 | 1.34 | 2.62 |  2.37 |  2.03 | 3.18 |  2.67 | 3.42 |  2.67 |
|         2 | 1.92 |  2.64 | 2.58 | 1.15 |  2.14 |  2.53 |  2.20 | 2.57 |  3.02 | 3.25 |  2.61 |  2.35 |  2.68 | 2.54 |  2.64 | 1.61 | 2.28 | 2.02 |  2.40 | 2.47 |  1.19 |  2.48 | 2.99 | 2.18 | 1.00 |  3.26 |  1.64 |  2.74 |  2.16 |  1.96 |  2.22 |  1.72 | 1.28 | 2.35 |  2.14 |  2.17 | 3.06 |  2.44 | 3.02 |  2.58 |
|         3 | 1.68 |  2.39 | 2.37 | 0.93 |  1.77 |  2.30 |  2.05 | 2.47 |  2.74 | 2.95 |  2.19 |  1.89 |  2.25 | 2.38 |  2.42 | 1.49 | 2.14 | 1.99 |  2.27 | 2.27 |  1.30 |  2.37 | 2.90 | 2.23 | 0.82 |  2.86 |  1.65 |  2.36 |  1.95 |  1.84 |  1.75 |  1.48 | 1.13 | 2.11 |  1.81 |  2.13 | 2.78 |  2.21 | 2.75 |  2.33 |
|         4 | 1.41 |  2.15 | 2.09 | 0.73 |  1.59 |  2.11 |  1.84 | 2.19 |  2.49 | 2.76 |  1.84 |  1.37 |  1.93 | 2.17 |  2.28 | 1.35 | 1.96 | 1.74 |  2.12 | 2.00 |  1.36 |  2.31 | 2.77 | 1.99 | 0.65 |  2.51 |  1.56 |  2.07 |  1.79 |  1.78 |  1.43 |  1.35 | 1.03 | 1.91 |  1.42 |  1.95 | 2.48 |  2.09 | 2.58 |  2.08 |
|         5 | 1.11 |  1.93 | 1.81 | 0.57 |  1.34 |  1.86 |  1.50 | 1.96 |  2.24 | 2.54 |  1.51 |  1.06 |  1.80 | 1.96 |  2.10 | 1.33 | 1.69 | 1.47 |  1.96 | 1.81 |  1.42 |  2.21 | 2.66 | 1.82 | 0.41 |  2.22 |  1.42 |  1.92 |  1.54 |  1.70 |  1.25 |  1.14 | 0.81 | 1.67 |  1.04 |  1.72 | 2.21 |  1.96 | 2.39 |  1.79 |
|         6 | 0.76 |  1.66 | 1.61 | 0.58 |  1.21 |  1.69 |  1.26 | 1.81 |  1.96 | 2.28 |  1.16 |  0.79 |  1.66 | 1.75 |  1.77 | 1.19 | 1.31 | 1.26 |  1.83 | 1.59 |  1.26 |  1.99 | 2.40 | 1.72 | 0.28 |  1.90 |  1.22 |  1.58 |  1.26 |  1.64 |  1.09 |  0.81 | 0.65 | 1.43 |  0.70 |  1.48 | 1.87 |  1.75 | 2.11 |  1.41 |
|         7 | 0.61 |  1.36 | 1.38 | 0.69 |  1.28 |  1.48 |  1.22 | 1.70 |  1.77 | 2.12 |  0.84 |  0.72 |  1.55 | 1.60 |  1.18 | 1.18 | 0.97 | 0.70 |  1.76 | 1.38 |  1.05 |  1.69 | 2.12 | 1.49 | 0.26 |  1.79 |  0.94 |  1.34 |  1.07 |  1.61 |  0.90 |  0.57 | 0.68 | 1.36 |  0.58 |  1.52 | 1.47 |  1.55 | 1.90 |  1.16 |
|         8 | 0.66 |  1.41 | 1.30 | 0.48 |  1.34 |  1.44 |  1.25 | 1.78 |  1.78 | 2.07 |  0.80 |  0.84 |  1.53 | 1.64 |  1.32 | 1.16 | 1.06 | 0.61 |  1.89 | 1.32 |  1.13 |  1.59 | 2.14 | 1.47 | 0.48 |  1.74 |  0.91 |  1.43 |  1.11 |  1.68 |  0.92 |  0.53 | 0.91 | 1.47 |  0.81 |  1.73 | 1.32 |  1.48 | 1.83 |  1.01 |
|         9 | 1.13 |  1.90 | 1.63 | 0.87 |  1.85 |  1.78 |  1.52 | 2.13 |  2.01 | 2.26 |  0.95 |  1.33 |  1.90 | 2.04 |  1.77 | 1.48 | 1.48 | 1.18 |  2.39 | 1.91 |  1.63 |  1.85 | 2.33 | 2.06 | 1.01 |  2.06 |  1.27 |  1.87 |  1.43 |  2.04 |  1.28 |  0.75 | 1.47 | 1.85 |  1.53 |  2.34 | 1.25 |  1.90 | 2.14 |  1.16 |
