# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |     10 |    11 |     12 |     13 |    14 |     15 |    16 |    17 |    18 |     19 |    20 |    21 |    22 |    23 |     24 |    25 |     26 |    27 |    28 |    29 |     30 |    31 |     32 |    33 |    34 |     35 |     36 |    37 |    38 |     39 |    40 |
|         1 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         2 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         3 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         4 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         5 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         6 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         7 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         8 |  2.50 |   0.10 |  0.10 |     0 |     0 |  0.10 |  3.90 |  2.60 |  1.40 |   0.20 |  1.10 |   0.20 |      0 |  3.10 |      0 |  0.10 |  0.80 |  0.80 |   2.20 |  0.20 |  2.90 |  2.60 |  0.80 |   2.10 |  0.60 |   0.80 |  1.20 |  2.10 |  0.10 |   1.30 |     0 |   0.60 |  1.90 |     0 |   3.30 |   2.40 |     0 |  1.80 |   4.10 |  0.40 |
|         9 |  8.20 |   4.00 |  2.00 |  4.40 | 10.70 |  0.70 | 20.20 | 16.60 |  0.50 |   0.20 |  9.00 |   1.90 |   3.90 | 19.90 |   9.50 |  0.20 |  1.40 |  6.10 |  13.90 |     0 |  4.50 | 12.90 |  1.30 |  18.40 |  6.30 |  13.20 |  2.80 | 19.30 |  1.60 |   8.70 |  0.80 |   9.40 | 11.40 |  6.00 |  13.10 |   0.40 | 28.00 |  8.00 |   7.10 |  4.20 |
|        10 |  1.90 |   5.90 |  2.90 |  2.00 |  4.40 | 16.10 |  2.10 | 10.50 |  0.90 |      0 | 24.60 |   4.60 |  13.30 | 15.50 |  19.40 |  3.40 |  4.80 | 53.80 |  15.90 |  4.00 |  6.40 | 11.50 |  9.60 |  17.40 |  2.80 |  31.90 |  0.80 |  8.40 |  1.10 |  23.50 |  0.10 |   5.70 | 11.60 |  9.60 |   0.40 |   3.20 | 17.60 |  8.10 |   0.50 |  4.90 |
