# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |    6 |     7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |    16 |   17 |   18 |   19 |    20 |   21 |    22 |   23 |    24 |   25 |    26 |   27 |    28 |   29 |    30 |   31 |    32 |   33 |   34 |    35 |    36 |   37 |    38 |   39 |   40 |
|         0 |  0.23 | -0.09 |  0.42 | -0.27 | 0.73 | 0.27 | -0.27 | 0.47 | 0.72 | 0.27 | 0.55 | 0.56 | 0.90 | 0.50 | 0.06 |  0.50 | 0.57 | 0.26 | 0.01 |  0.34 | 0.31 |  0.52 | 1.40 |  0.38 | 0.35 |  0.31 | 0.63 | -0.22 | 0.33 |  0.54 | 0.44 | -0.36 | 0.54 | 0.48 |  0.31 |  0.53 | 0.52 |  0.37 | 0.41 | 0.07 |
|         1 |  0.44 |  0.07 |  0.49 | -0.17 | 0.52 | 0.24 | -0.06 | 0.55 | 0.52 | 0.27 | 0.53 | 0.45 | 0.80 | 0.46 | 0.08 |  0.50 | 0.52 | 0.38 | 0.24 |  0.25 | 0.44 |  0.45 | 1.45 |  0.34 | 0.41 |  0.33 | 0.59 | -0.10 | 0.28 |  0.37 | 0.42 | -0.08 | 0.30 | 0.49 |  0.47 |  0.34 | 0.51 |  0.39 | 0.45 | 0.14 |
|         2 |  0.52 |  0.27 |  0.60 | -0.21 | 0.54 | 0.19 |  0.03 | 0.71 | 0.52 | 0.35 | 0.64 | 0.49 | 0.69 | 0.67 | 0.23 |  0.40 | 0.57 | 0.42 | 0.30 |  0.29 | 0.47 |  0.52 | 1.27 |  0.45 | 0.41 |  0.32 | 0.55 |  0.02 | 0.24 |  0.35 | 0.54 |  0.07 | 0.24 | 0.59 |  0.53 |  0.39 | 0.52 |  0.43 | 0.48 | 0.21 |
|         3 |  0.66 |  0.36 |  0.69 | -0.32 | 0.84 | 0.28 |  0.08 | 0.79 | 0.82 | 0.49 | 0.70 | 0.55 | 0.48 | 0.81 | 0.39 |  0.59 | 0.59 | 0.54 | 0.49 |  0.50 | 0.33 |  0.69 | 1.22 |  0.77 | 0.58 |  0.42 | 0.49 |  0.09 | 0.26 |  0.45 | 0.47 |  0.23 | 0.32 | 0.77 |  0.51 |  0.61 | 0.65 |  0.71 | 0.51 | 0.42 |
|         4 |  0.65 |  0.31 |  0.90 | -0.22 | 0.88 | 0.43 |  0.22 | 0.50 | 1.01 | 0.67 | 0.59 | 0.31 | 0.46 | 0.74 | 0.45 |  0.64 | 0.63 | 0.66 | 0.61 |  0.56 | 0.30 |  0.70 | 1.35 |  0.94 | 0.85 |  0.48 | 0.35 |  0.26 | 0.29 |  0.58 | 0.40 |  0.30 | 0.58 | 0.84 |  0.40 |  0.61 | 0.60 |  0.66 | 0.58 | 0.58 |
|         5 |  0.69 |  0.31 |  0.83 | -0.14 | 0.64 | 0.43 |  0.49 | 0.33 | 0.97 | 0.87 | 0.57 | 0.39 | 0.63 | 0.73 | 0.31 |  0.62 | 0.69 | 0.80 | 0.61 |  0.39 | 0.21 |  0.71 | 1.29 |  0.96 | 0.60 |  0.49 | 0.24 |  0.36 | 0.39 |  0.57 | 0.43 |  0.43 | 0.67 | 0.67 |  0.25 |  0.55 | 0.42 |  0.63 | 0.59 | 0.47 |
|         6 |  1.06 |  0.37 |  0.90 |  0.06 | 0.42 | 0.63 |  0.57 | 0.43 | 0.41 | 1.28 | 0.67 | 0.44 | 0.50 | 0.64 | 0.37 |  0.69 | 0.90 | 0.70 | 0.49 |  0.25 | 0.23 |  0.60 | 0.80 |  0.53 | 0.65 |  0.45 | 0.36 |  0.34 | 0.43 |  0.57 | 0.47 |  0.47 | 0.65 | 0.50 |  0.41 |  0.55 | 0.53 |  0.34 | 0.60 | 0.30 |
|         7 |  1.12 |  0.65 |  0.36 |  0.48 | 0.58 | 0.29 |  0.55 | 0.87 | 0.90 | 1.51 | 0.47 | 0.68 | 0.40 | 1.04 | 0.37 |  0.99 | 1.25 | 0.41 | 0.67 |  0.54 | 0.33 |  1.01 | 1.39 |  0.80 | 0.81 |  0.37 | 0.70 |  0.59 | 0.50 |  0.45 | 0.72 |  0.35 | 0.77 | 0.75 |  0.60 |  0.89 | 0.78 |  0.76 | 0.53 | 0.34 |
|         8 |  1.31 |  1.05 |  0.81 |  0.89 | 1.13 | 0.90 |  0.59 | 1.25 | 1.44 | 2.02 | 1.15 | 0.93 | 0.34 | 1.29 | 0.82 |  1.21 | 1.36 | 0.55 | 1.05 |  0.88 | 0.96 |  1.07 | 1.70 |  0.99 | 0.82 |  0.85 | 0.99 |  0.76 | 0.43 |  0.81 | 1.19 |  0.93 | 0.88 | 1.11 |  0.85 |  0.91 | 0.95 |  1.04 | 1.07 | 0.69 |
|         9 |  1.78 |  1.50 |  1.69 |  1.23 | 1.77 | 1.62 |  1.05 | 1.71 | 1.90 | 2.48 | 1.75 | 1.23 | 0.99 | 1.81 | 1.69 |  1.41 | 1.74 | 1.33 | 1.31 |  1.21 | 1.47 |  1.37 | 2.21 |  1.48 | 1.55 |  1.64 | 1.49 |  1.05 | 1.08 |  1.27 | 1.66 |  1.47 | 1.19 | 1.73 |  1.25 |  1.61 | 1.65 |  1.53 | 1.52 | 1.23 |
|        10 |  1.88 |  2.20 |  2.27 |  1.58 | 2.16 | 2.20 |  1.66 | 2.78 | 2.44 | 2.94 | 2.49 | 1.88 | 1.98 | 2.65 | 2.72 |  2.00 | 2.03 | 2.24 | 2.26 |  1.85 | 2.05 |  1.77 | 2.62 |  1.83 | 2.06 |  2.71 | 2.00 |  1.03 | 1.55 |  1.88 | 1.95 |  1.89 | 1.66 | 2.27 |  1.60 |  2.60 | 2.15 |  2.04 | 1.95 | 1.74 |
|        11 |  2.06 |  3.12 |  2.52 |  1.84 | 2.52 | 2.83 |  2.03 | 3.33 | 2.67 | 3.17 | 3.04 | 2.29 | 3.01 | 3.01 | 3.40 |  1.98 | 2.18 | 3.39 | 2.73 |  2.27 | 3.13 |  2.56 | 3.03 |  2.67 | 2.67 |  3.23 | 2.58 |  0.72 | 2.27 |  3.10 | 1.94 |  2.71 | 2.76 | 2.43 |  2.62 |  2.86 | 2.46 |  2.22 | 2.45 | 2.85 |
|        12 |  2.11 |  2.99 |  2.70 |  2.01 | 2.78 | 3.20 |  2.34 | 3.51 | 2.88 | 3.47 | 3.06 | 2.22 | 3.43 | 3.45 | 3.52 |  2.19 | 2.11 | 3.56 | 2.74 |  2.25 | 3.10 |  3.04 | 3.09 |  2.55 | 2.27 |  3.43 | 2.69 |  1.54 | 2.61 |  3.37 | 2.46 |  2.42 | 3.03 | 2.61 |  2.72 |  2.90 | 2.40 |  2.49 | 2.73 | 3.54 |
|        13 |  1.89 |  2.69 |  2.10 |  2.05 | 2.66 | 2.81 |  2.15 | 3.76 | 2.76 | 3.01 | 2.25 | 1.85 | 3.43 | 3.19 | 3.25 |  1.72 | 1.57 | 3.87 | 2.66 |  1.92 | 2.92 |  2.32 | 2.73 |  2.94 | 2.04 |  3.13 | 1.72 |  1.45 | 2.70 |  3.06 | 3.38 |  3.07 | 2.74 | 2.15 |  2.11 |  2.05 | 2.58 |  2.08 | 2.28 | 2.80 |
|        14 |  1.40 |  2.45 |  1.68 |  1.51 | 1.54 | 2.24 |  1.34 | 3.51 | 1.10 | 2.02 | 0.38 | 0.36 | 2.44 | 2.56 | 2.81 |  0.43 | 1.31 | 3.00 | 1.80 |  1.07 | 2.22 |  1.96 | 1.79 |  2.51 | 0.67 |  3.01 | 1.05 |  0.33 | 2.17 |  2.38 | 2.88 |  2.78 | 2.46 | 0.32 |  0.51 |  1.28 | 1.17 |  1.35 | 1.71 | 1.82 |
|        15 |  0.83 |  1.96 |  0.50 |  1.49 | 0.83 | 1.68 |  0.65 | 2.71 | 0.86 | 1.42 | 1.16 | 1.47 | 0.82 | 1.84 | 2.26 |  1.08 | 1.36 | 1.87 | 0.56 |  0.91 | 1.03 |  0.29 | 0.54 |  1.05 | 1.04 |  1.60 | 2.42 |  0.81 | 1.17 |  0.77 | 1.82 |  1.54 | 0.47 | 1.85 |  1.19 |  1.85 | 0.59 |  0.41 | 1.88 | 0.71 |
|        16 |  1.47 |  2.56 |  0.79 |  1.92 | 2.70 | 1.84 |  0.85 | 2.25 | 2.46 | 2.71 | 2.59 | 2.48 | 1.18 | 0.90 | 2.05 |  1.95 | 3.35 | 0.59 | 0.69 |  1.90 | 1.31 |  1.36 | 0.99 |  1.64 | 1.83 |  2.20 | 3.60 |  2.18 | 0.59 |  0.92 | 2.16 |  2.19 | 1.21 | 3.16 |  1.01 |  2.75 | 0.99 |  1.05 | 1.97 | 1.31 |
|        17 |  3.15 |  3.73 |  1.47 |  3.46 | 4.02 | 2.63 |  1.75 | 3.25 | 3.94 | 3.57 | 3.67 | 3.66 | 1.71 | 1.90 | 3.05 |  3.09 | 4.45 | 2.26 | 2.00 |  2.82 | 2.85 |  2.63 | 2.04 |  2.50 | 2.57 |  2.84 | 4.82 |  3.02 | 1.28 |  1.63 | 2.90 |  2.97 | 2.54 | 3.88 |  2.11 |  4.07 | 2.29 |  2.39 | 2.83 | 2.83 |
|        18 |  4.33 |  4.49 |  2.75 |  4.84 | 5.00 | 3.67 |  3.17 | 4.03 | 4.86 | 4.31 | 4.03 | 4.22 | 2.83 | 3.40 | 3.94 |  4.28 | 5.09 | 3.30 | 3.35 |  3.74 | 4.39 |  3.55 | 3.45 |  3.46 | 3.39 |  4.16 | 5.55 |  3.36 | 2.57 |  2.75 | 4.13 |  4.19 | 3.46 | 4.39 |  3.59 |  4.71 | 3.75 |  3.36 | 3.76 | 4.03 |
|        19 |  4.64 |  4.97 |  3.83 |  5.35 | 5.56 | 4.32 |  3.88 | 5.01 | 5.31 | 5.25 | 4.64 | 4.91 | 3.40 | 5.11 | 4.91 |  4.91 | 5.48 | 4.48 | 4.44 |  4.56 | 4.91 |  4.22 | 4.85 |  4.20 | 4.15 |  5.49 | 6.08 |  4.05 | 3.78 |  4.03 | 5.24 |  5.08 | 4.32 | 5.08 |  4.61 |  5.30 | 4.51 |  3.93 | 4.67 | 4.69 |
|        20 |  4.72 |  5.36 |  4.25 |  6.01 | 5.59 | 4.86 |  4.24 | 5.46 | 5.53 | 5.50 | 4.91 | 5.15 | 4.29 | 5.93 | 5.63 |  4.90 | 5.63 | 4.88 | 5.09 |  5.41 | 5.46 |  4.63 | 5.46 |  4.64 | 4.59 |  5.83 | 6.09 |  4.34 | 4.19 |  4.68 | 6.19 |  5.51 | 5.19 | 5.35 |  5.07 |  5.34 | 4.90 |  3.94 | 5.10 | 5.36 |
|        21 |  4.54 |  5.58 |  4.11 |  6.34 | 5.59 | 4.64 |  4.28 | 5.48 | 5.55 | 5.36 | 4.85 | 5.18 | 4.40 | 6.09 | 5.75 |  4.79 | 5.70 | 5.10 | 5.38 |  5.76 | 5.99 |  4.79 | 5.66 |  4.62 | 4.44 |  5.76 | 6.11 |  4.23 | 4.16 |  4.79 | 6.55 |  5.84 | 5.96 | 5.44 |  5.25 |  5.32 | 4.82 |  3.72 | 5.22 | 5.63 |
|        22 |  4.43 |  5.51 |  3.87 |  6.47 | 5.29 | 4.55 |  4.32 | 5.43 | 5.46 | 5.21 | 4.88 | 5.23 | 4.31 | 6.14 | 5.99 |  4.79 | 5.46 | 5.25 | 5.31 |  6.04 | 6.05 |  4.63 | 5.74 |  4.50 | 4.42 |  5.54 | 5.98 |  4.25 | 4.21 |  4.79 | 6.51 |  5.79 | 6.48 | 5.38 |  5.39 |  5.32 | 4.80 |  3.78 | 5.02 | 5.74 |
|        23 |  4.54 |  5.59 |  3.97 |  6.34 | 5.28 | 4.44 |  4.38 | 5.42 | 5.43 | 5.29 | 4.80 | 5.41 | 4.21 | 6.15 | 6.04 |  4.75 | 5.39 | 5.32 | 5.23 |  6.15 | 5.97 |  4.52 | 5.63 |  4.48 | 4.57 |  5.39 | 5.91 |  3.84 | 4.13 |  4.85 | 6.33 |  5.76 | 6.47 | 5.36 |  5.44 |  5.18 | 4.63 |  3.75 | 4.83 | 5.65 |
|        24 |  4.41 |  5.55 |  3.49 |  6.22 | 5.26 | 4.30 |  4.26 | 5.43 | 5.32 | 5.22 | 4.69 | 5.16 | 4.20 | 6.06 | 5.92 |  4.68 | 5.24 | 5.29 | 5.24 |  6.03 | 5.93 |  4.41 | 5.53 |  4.54 | 4.71 |  5.26 | 5.88 |  3.95 | 3.94 |  4.92 | 6.28 |  5.72 | 6.21 | 5.16 |  5.34 |  5.06 | 4.52 |  3.70 | 4.77 | 5.72 |
|        25 |  4.20 |  5.39 |  3.46 |  6.10 | 5.27 | 4.26 |  4.16 | 5.40 | 5.21 | 5.17 | 4.75 | 4.96 | 4.17 | 6.01 | 5.86 |  4.68 | 4.91 | 5.16 | 5.21 |  5.85 | 5.84 |  4.38 | 5.55 |  4.53 | 4.65 |  5.13 | 5.75 |  4.07 | 3.49 |  4.78 | 6.03 |  5.50 | 6.06 | 5.07 |  5.34 |  4.85 | 4.43 |  3.59 | 4.62 | 5.64 |
|        26 |  4.13 |  5.26 |  3.26 |  6.03 | 5.08 | 4.23 |  4.09 | 5.31 | 5.05 | 4.65 | 4.74 | 4.82 | 4.06 | 6.04 | 5.86 |  4.61 | 4.75 | 5.14 | 5.11 |  5.80 | 5.65 |  4.34 | 5.59 |  4.45 | 4.43 |  4.93 | 5.59 |  4.02 | 3.23 |  4.61 | 5.78 |  5.40 | 5.93 | 4.70 |  5.33 |  4.66 | 4.43 |  3.54 | 4.49 | 5.54 |
|        27 |  4.15 |  5.21 |  3.01 |  5.94 | 5.01 | 3.73 |  4.01 | 5.23 | 4.73 | 4.55 | 4.77 | 4.72 | 3.95 | 5.85 | 5.73 |  4.52 | 4.51 | 4.95 | 5.24 |  5.61 | 5.65 |  4.36 | 5.52 |  4.24 | 4.24 |  4.89 | 5.28 |  3.95 | 2.88 |  4.39 | 5.78 |  5.35 | 5.70 | 4.50 |  5.08 |  4.32 | 4.34 |  3.46 | 4.42 | 5.45 |
|        28 |  4.11 |  5.02 |  3.18 |  5.78 | 4.92 | 3.67 |  4.03 | 5.09 | 4.75 | 4.38 | 4.75 | 4.61 | 3.85 | 5.63 | 5.64 |  4.45 | 4.25 | 4.92 | 5.13 |  5.50 | 5.49 |  4.24 | 5.54 |  3.94 | 4.25 |  5.03 | 4.69 |  4.03 | 3.12 |  4.24 | 5.78 |  5.18 | 5.49 | 4.06 |  5.07 |  4.20 | 4.23 |  3.26 | 4.35 | 5.42 |
|        29 |  4.03 |  4.96 |  3.20 |  5.70 | 4.80 | 3.66 |  4.02 | 4.94 | 4.44 | 4.13 | 4.46 | 4.32 | 3.49 | 5.45 | 5.68 |  4.45 | 4.31 | 4.95 | 4.98 |  5.19 | 5.39 |  4.21 | 5.43 |  3.73 | 4.12 |  4.98 | 4.75 |  4.07 | 3.15 |  4.22 | 5.72 |  5.08 | 5.07 | 4.37 |  5.01 |  4.09 | 4.03 |  3.38 | 4.15 | 5.21 |
|        30 |  3.79 |  4.81 |  3.16 |  5.52 | 4.75 | 3.74 |  4.02 | 4.84 | 4.23 | 3.88 | 4.46 | 4.21 | 3.36 | 5.21 | 5.58 |  4.39 | 4.18 | 4.79 | 4.90 |  5.15 | 5.47 |  3.81 | 5.30 |  3.74 | 3.89 |  4.85 | 4.63 |  3.81 | 3.22 |  4.29 | 5.58 |  4.98 | 4.99 | 4.33 |  4.93 |  4.22 | 3.84 |  3.28 | 3.95 | 4.96 |
