# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |     16 |    17 |    18 |     19 |     20 |    21 |    22 |    23 |     24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |     32 |     33 |    34 |    35 |    36 |    37 |     38 |     39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         7 |     0 |  0.10 |  0.10 |  0.10 |     0 |  0.10 |     0 |     0 |  0.10 |     0 |     0 |  0.10 |  0.10 |  0.10 |  0.10 |      0 |     0 |  0.10 |   0.10 |      0 |  0.10 |     0 |     0 |   0.10 |     0 |  0.10 |  0.10 |  0.10 |     0 |     0 |  0.10 |   0.10 |   0.10 |  0.10 |  0.10 |  0.10 |  0.10 |      0 |   0.10 |     0 |
|         8 |  0.60 | 13.60 |  6.10 | 15.50 |  6.30 |  5.30 |  2.80 |     0 |  4.90 |  2.20 |  1.90 |  2.50 |  8.50 |  7.20 |  5.20 |   4.80 |  6.30 |  6.90 |   6.40 |   0.20 |  5.80 |  8.00 |  5.10 |   5.80 |     0 |  6.70 |  5.50 |  5.30 |  6.30 |  3.20 |  6.70 |  12.20 |   6.30 |  7.40 | 10.40 |  4.30 |  6.50 |   1.60 |   6.80 |  0.70 |
|         9 |  4.00 | 34.10 | 38.70 | 31.10 | 21.00 | 13.80 |  4.60 |  0.80 |  3.90 |  9.00 |  1.60 |  3.80 | 61.30 | 52.80 | 12.60 |  29.80 | 20.00 | 22.20 |  29.50 |  12.90 | 40.60 | 40.50 | 26.40 |   1.20 |  0.60 |  5.60 | 12.40 | 31.40 | 19.70 | 17.60 | 14.50 |  51.70 |  39.60 | 21.50 | 34.80 |  3.60 |  9.80 |   6.20 |  29.50 |  0.10 |
|        10 |  7.80 | 87.40 | 26.70 | 27.10 | 12.00 | 25.30 | 14.40 |  3.40 | 22.50 |  2.50 | 10.90 | 10.10 | 82.00 | 67.20 | 32.50 |  39.20 | 33.90 | 28.80 |  49.90 |  10.30 | 71.60 | 58.40 | 27.20 |  30.20 |  8.80 |  0.90 | 13.40 | 58.70 | 22.40 | 26.90 | 26.50 |  40.40 |  71.90 | 10.20 | 58.90 |  0.30 | 12.00 |  10.70 |  37.50 |  3.20 |
