# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |    2 |     3 |    4 |    5 |    6 |    7 |     8 |    9 |   10 |   11 |   12 |    13 |   14 |   15 |    16 |   17 |   18 |   19 |   20 |    21 |    22 |   23 |   24 |    25 |   26 |    27 |   28 |   29 |   30 |    31 |   32 |   33 |   34 |   35 |    36 |   37 |    38 |    39 |    40 |
|         0 |  5.35 | 5.75 |  5.08 | 5.87 | 5.98 | 5.28 | 5.13 |  5.67 | 5.97 | 5.74 | 5.46 | 5.66 |  5.41 | 5.92 | 5.74 |  5.19 | 5.85 | 5.78 | 5.54 | 6.06 |  5.71 |  5.48 | 5.84 | 5.53 |  5.54 | 6.18 |  5.57 | 5.08 | 5.46 | 5.27 |  6.15 | 6.16 | 6.17 | 6.03 | 5.71 |  5.78 | 5.55 |  5.00 |  5.28 |  5.89 |
|         1 |  5.22 | 5.64 |  4.88 | 5.83 | 5.81 | 5.10 | 5.08 |  5.57 | 5.59 | 5.64 | 5.48 | 5.36 |  5.31 | 5.88 | 5.72 |  5.04 | 5.72 | 5.63 | 5.52 | 6.00 |  5.56 |  5.36 | 5.77 | 5.41 |  5.27 | 5.98 |  5.45 | 5.09 | 5.30 | 5.15 |  6.04 | 6.15 | 6.16 | 5.73 | 5.73 |  5.54 | 5.52 |  4.74 |  5.17 |  5.82 |
|         2 |  5.18 | 5.56 |  4.78 | 5.76 | 5.84 | 5.06 | 5.07 |  5.58 | 5.59 | 5.49 | 5.41 | 5.33 |  5.18 | 5.93 | 5.66 |  4.95 | 5.50 | 5.38 | 5.42 | 5.91 |  5.54 |  5.16 | 5.70 | 5.49 |  5.04 | 5.90 |  5.30 | 4.99 | 5.15 | 5.11 |  5.91 | 6.05 | 6.16 | 5.71 | 5.69 |  5.50 | 5.34 |  4.57 |  5.01 |  5.81 |
|         3 |  5.14 | 5.40 |  4.79 | 5.67 | 5.78 | 4.94 | 4.93 |  5.29 | 5.34 | 5.11 | 5.29 | 5.12 |  5.07 | 5.65 | 5.65 |  4.77 | 5.31 | 5.16 | 5.39 | 5.84 |  5.47 |  5.01 | 5.55 | 5.10 |  4.89 | 5.69 |  5.34 | 4.91 | 4.99 | 4.89 |  5.82 | 5.97 | 5.97 | 5.51 | 5.64 |  5.36 | 5.18 |  4.49 |  4.80 |  5.61 |
|         4 |  5.07 | 5.23 |  4.59 | 5.58 | 5.81 | 4.76 | 4.85 |  5.23 | 5.32 | 4.93 | 5.23 | 4.93 |  4.88 | 5.62 | 5.59 |  4.69 | 5.31 | 5.20 | 5.36 | 5.71 |  5.30 |  4.80 | 5.56 | 5.01 |  4.70 | 5.26 |  5.05 | 4.87 | 4.71 | 4.87 |  5.69 | 5.71 | 5.84 | 5.29 | 5.68 |  5.17 | 4.96 |  4.36 |  4.48 |  5.44 |
|         5 |  4.87 | 5.24 |  4.42 | 5.26 | 5.65 | 4.72 | 4.59 |  5.13 | 5.25 | 4.84 | 5.02 | 4.73 |  4.74 | 5.51 | 5.57 |  4.67 | 5.18 | 5.13 | 5.22 | 5.62 |  5.20 |  4.61 | 5.59 | 4.75 |  4.50 | 5.38 |  4.86 | 4.60 | 4.69 | 5.01 |  5.42 | 5.62 | 5.59 | 5.06 | 5.47 |  4.88 | 4.90 |  4.27 |  4.47 |  5.25 |
|         6 |  4.70 | 5.16 |  4.23 | 5.07 | 5.51 | 4.87 | 4.49 |  5.05 | 4.97 | 4.60 | 4.82 | 4.34 |  4.43 | 5.31 | 5.44 |  4.49 | 4.98 | 4.96 | 5.10 | 5.41 |  5.18 |  4.56 | 5.51 | 4.50 |  4.35 | 5.18 |  4.86 | 4.53 | 4.72 | 4.84 |  5.15 | 5.32 | 5.67 | 5.13 | 5.32 |  4.41 | 4.50 |  4.24 |  4.45 |  5.22 |
|         7 |  4.39 | 4.97 |  4.17 | 4.80 | 5.53 | 4.70 | 4.17 |  4.93 | 4.89 | 4.51 | 4.58 | 3.87 |  4.04 | 4.99 | 5.18 |  4.39 | 4.84 | 4.58 | 4.90 | 5.37 |  4.93 |  4.31 | 5.32 | 4.35 |  4.19 | 4.92 |  4.57 | 4.31 | 4.52 | 4.65 |  5.02 | 4.86 | 5.22 | 4.79 | 5.04 |  4.02 | 4.07 |  4.14 |  4.13 |  4.75 |
|         8 |  4.36 | 5.03 |  4.15 | 4.70 | 5.46 | 4.61 | 4.29 |  4.84 | 4.88 | 4.28 | 4.47 | 4.06 |  3.89 | 4.82 | 5.23 |  4.42 | 4.79 | 4.59 | 4.73 | 5.38 |  5.08 |  4.22 | 5.33 | 4.31 |  4.13 | 4.81 |  4.37 | 4.38 | 4.53 | 4.50 |  5.11 | 4.88 | 5.37 | 4.53 | 5.12 |  3.99 | 4.15 |  4.09 |  4.01 |  4.96 |
|         9 |  4.48 | 5.57 |  4.43 | 5.19 | 5.73 | 4.77 | 4.37 |  4.85 | 4.88 | 4.40 | 4.59 | 4.45 |  4.15 | 5.04 | 5.44 |  4.81 | 4.91 | 5.03 | 4.76 | 5.57 |  5.34 |  4.55 | 5.63 | 4.57 |  4.06 | 4.93 |  4.52 | 4.74 | 4.83 | 4.42 |  5.29 | 5.42 | 5.85 | 4.56 | 5.52 |  3.89 | 4.41 |  4.27 |  4.29 |  5.05 |
