# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |    3 |     4 |    5 |    6 |    7 |     8 |    9 |   10 |   11 |   12 |    13 |   14 |   15 |   16 |   17 |   18 |    19 |   20 |   21 |    22 |   23 |   24 |   25 |    26 |   27 |   28 |    29 |   30 |   31 |   32 |   33 |   34 |    35 |    36 |   37 |    38 |   39 |   40 |
|         0 |  0.72 |  0.71 | 0.42 |  0.81 | 1.17 | 0.85 | 0.68 |  1.57 | 1.17 | 1.67 | 0.87 | 0.36 |  0.23 | 1.17 | 0.92 | 0.91 | 1.26 | 0.72 |  0.98 | 0.89 | 1.08 |  0.30 | 1.31 | 0.67 | 0.52 |  1.03 | 0.68 | 0.41 |  0.87 | 0.85 | 1.19 | 0.70 | 0.63 | 0.95 |  0.54 |  0.45 | 0.85 |  0.51 | 0.54 | 0.64 |
|         1 |  0.27 |  0.49 | 0.11 |  0.32 | 0.94 | 0.70 | 0.26 |  0.75 | 0.70 | 1.81 | 0.68 | 0.15 |  0.07 | 0.79 | 0.69 | 0.38 | 0.95 | 0.29 |  0.61 | 0.79 | 0.69 | -0.09 | 0.78 | 0.33 | 0.38 |  0.66 | 0.35 | 0.25 |  0.44 | 0.57 | 0.78 | 0.36 | 0.26 | 0.44 |  0.17 |  0.27 | 0.75 |  0.25 | 0.29 | 0.30 |
|         2 | -0.02 |  0.34 | 0.04 | -0.05 | 0.89 | 0.89 | 0.03 |  0.29 | 0.49 | 2.18 | 0.62 | 0.11 |  0.01 | 0.53 | 0.76 | 0.20 | 0.98 | 0.59 |  0.69 | 0.99 | 0.72 | -0.06 | 0.48 | 0.21 | 0.33 |  0.81 | 0.27 | 0.19 |  0.38 | 0.58 | 0.53 | 0.21 | 0.02 | 0.15 | -0.07 |  0.21 | 0.95 |  0.12 | 0.20 | 0.20 |
|         3 | -0.22 |  0.45 | 0.33 | -0.02 | 1.23 | 1.14 | 0.14 |  0.09 | 0.48 | 2.43 | 0.91 | 0.23 |  0.13 | 0.55 | 1.10 | 0.15 | 1.23 | 0.94 |  1.07 | 1.21 | 1.10 |  0.42 | 0.34 | 0.24 | 0.54 |  1.31 | 0.39 | 0.69 |  0.51 | 0.88 | 0.46 | 0.21 | 0.05 | 0.13 |  0.28 |  0.37 | 1.34 |  0.31 | 0.38 | 0.33 |
|         4 | -0.31 |  0.66 | 0.74 |  0.32 | 1.69 | 1.60 | 0.43 | -0.04 | 0.65 | 2.61 | 1.26 | 0.36 |  0.30 | 0.48 | 1.47 | 0.20 | 1.53 | 1.45 |  1.41 | 1.40 | 1.61 |  0.70 | 0.50 | 0.32 | 0.88 |  1.84 | 0.42 | 1.38 |  0.55 | 1.00 | 0.42 | 0.31 | 0.16 | 0.28 |  0.55 |  0.64 | 1.72 |  0.66 | 0.53 | 0.47 |
|         5 | -0.13 |  0.78 | 1.06 |  0.48 | 2.13 | 2.08 | 0.63 |  0.15 | 0.91 | 2.76 | 1.37 | 0.52 |  0.51 | 0.51 | 1.64 | 0.26 | 2.03 | 1.71 |  1.54 | 1.56 | 1.84 |  0.79 | 0.67 | 0.45 | 0.87 |  2.23 | 0.49 | 1.86 |  0.71 | 0.98 | 0.40 | 0.68 | 0.30 | 0.40 |  0.76 |  0.88 | 2.00 |  0.93 | 0.69 | 0.33 |
|         6 |  0.14 |  0.93 | 1.00 |  0.54 | 2.27 | 2.09 | 0.70 |  0.41 | 1.12 | 2.83 | 1.30 | 0.74 |  0.58 | 0.51 | 1.88 | 0.31 | 2.47 | 1.90 |  1.41 | 1.56 | 1.56 |  0.72 | 0.86 | 0.54 | 0.90 |  2.17 | 0.63 | 1.99 |  0.85 | 0.98 | 0.52 | 0.97 | 0.54 | 0.44 |  0.81 |  0.99 | 1.95 |  1.17 | 0.90 | 0.36 |
|         7 |  0.36 |  1.04 | 0.65 |  0.64 | 2.45 | 1.96 | 0.80 |  0.70 | 1.29 | 3.02 | 1.40 | 0.92 |  0.80 | 0.59 | 2.33 | 0.37 | 2.70 | 1.77 |  1.22 | 1.64 | 1.25 |  0.81 | 1.10 | 0.68 | 1.09 |  1.95 | 0.69 | 1.96 |  1.24 | 0.99 | 0.76 | 1.15 | 0.90 | 0.61 |  0.87 |  1.14 | 1.86 |  1.14 | 0.99 | 0.37 |
|         8 |  0.83 |  1.38 | 0.86 |  1.16 | 2.97 | 2.28 | 1.21 |  1.29 | 1.90 | 3.32 | 1.97 | 1.37 |  1.40 | 1.38 | 3.01 | 0.81 | 3.04 | 1.82 |  1.49 | 2.26 | 1.63 |  1.26 | 1.58 | 1.19 | 1.65 |  2.14 | 1.13 | 2.18 |  1.77 | 1.31 | 1.26 | 1.53 | 1.38 | 1.10 |  1.22 |  1.58 | 1.99 |  1.41 | 1.22 | 0.69 |
|         9 |  1.64 |  2.21 | 1.72 |  2.21 | 3.58 | 2.93 | 1.94 |  2.09 | 2.93 | 3.83 | 2.76 | 2.20 |  2.32 | 2.59 | 3.92 | 1.68 | 3.47 | 2.89 |  2.26 | 3.13 | 2.90 |  2.37 | 2.31 | 2.19 | 2.82 |  2.86 | 2.05 | 3.10 |  2.46 | 2.12 | 1.98 | 2.33 | 2.11 | 1.75 |  2.02 |  2.42 | 2.77 |  2.41 | 1.77 | 1.44 |
|        10 |  2.53 |  3.23 | 2.98 |  3.45 | 4.06 | 3.72 | 2.60 |  3.01 | 3.77 | 4.45 | 3.47 | 3.09 |  3.31 | 3.69 | 4.65 | 2.66 | 3.99 | 4.06 |  3.38 | 3.88 | 4.10 |  3.36 | 3.12 | 2.94 | 4.14 |  3.65 | 3.66 | 4.11 |  3.11 | 3.06 | 2.64 | 3.43 | 3.21 | 2.29 |  3.41 |  3.61 | 3.88 |  3.60 | 2.62 | 2.49 |
|        11 |  3.24 |  4.48 | 3.87 |  4.43 | 4.48 | 4.55 | 3.60 |  3.67 | 4.51 | 5.01 | 4.06 | 4.10 |  4.45 | 4.50 | 4.99 | 3.77 | 4.64 | 4.74 |  4.35 | 4.40 | 5.29 |  4.19 | 4.07 | 4.07 | 5.18 |  4.36 | 5.06 | 4.88 |  3.61 | 3.96 | 3.55 | 4.55 | 4.07 | 3.02 |  4.91 |  4.52 | 5.01 |  4.96 | 3.66 | 3.69 |
|        12 |  3.66 |  5.11 | 4.46 |  4.95 | 4.98 | 4.76 | 4.11 |  3.88 | 4.87 | 5.25 | 4.36 | 4.45 |  4.90 | 5.07 | 5.46 | 4.37 | 5.47 | 5.07 |  4.82 | 4.86 | 5.76 |  4.57 | 4.56 | 5.09 | 5.70 |  4.84 | 5.60 | 4.97 |  4.21 | 4.46 | 4.18 | 4.99 | 4.65 | 3.61 |  5.96 |  4.85 | 5.66 |  5.52 | 4.20 | 4.23 |
|        13 |  3.94 |  5.15 | 4.63 |  4.97 | 5.66 | 4.72 | 4.32 |  4.04 | 5.15 | 5.49 | 4.81 | 4.55 |  5.21 | 5.66 | 6.11 | 4.61 | 5.99 | 5.13 |  4.90 | 5.36 | 5.91 |  4.53 | 4.73 | 5.19 | 5.71 |  4.94 | 5.35 | 4.92 |  4.90 | 4.58 | 4.53 | 5.13 | 5.00 | 3.94 |  6.38 |  5.03 | 5.83 |  5.44 | 4.58 | 4.36 |
|        14 |  4.24 |  5.33 | 4.93 |  5.10 | 6.45 | 5.11 | 4.83 |  4.57 | 5.60 | 6.14 | 5.52 | 4.96 |  5.65 | 6.20 | 6.59 | 4.89 | 6.32 | 5.30 |  4.80 | 6.08 | 6.14 |  4.73 | 5.28 | 5.14 | 5.80 |  5.10 | 5.05 | 5.31 |  5.48 | 4.76 | 4.71 | 5.13 | 5.49 | 4.56 |  6.23 |  5.44 | 5.76 |  5.46 | 4.99 | 4.70 |
|        15 |  4.34 |  5.49 | 5.02 |  5.09 | 6.67 | 5.33 | 5.51 |  4.85 | 5.88 | 6.45 | 6.01 | 5.27 |  5.79 | 6.48 | 6.63 | 5.12 | 6.43 | 5.56 |  4.81 | 6.54 | 6.22 |  4.77 | 5.56 | 5.22 | 5.81 |  5.18 | 4.93 | 5.55 |  5.79 | 4.96 | 4.87 | 5.15 | 5.62 | 5.02 |  5.97 |  5.53 | 5.79 |  5.45 | 5.20 | 4.99 |
|        16 |  4.41 |  5.53 | 4.89 |  4.90 | 6.39 | 5.46 | 5.65 |  4.74 | 5.79 | 6.39 | 6.01 | 5.44 |  5.61 | 6.27 | 6.23 | 5.23 | 6.36 | 5.59 |  4.85 | 6.55 | 6.01 |  4.62 | 5.52 | 5.17 | 5.73 |  5.25 | 4.74 | 5.44 |  5.79 | 5.20 | 5.01 | 5.16 | 5.43 | 5.12 |  5.60 |  5.39 | 5.85 |  5.38 | 5.12 | 4.95 |
