# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |    15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |    25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         1 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         2 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         3 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         4 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         5 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         6 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         7 |      0 |      0 |     0 |   0.10 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |   0.10 |      0 |      0 |      0 |      0 |   0.10 |      0 |      0 |      0 |      0 |
|         8 |   0.20 |   0.80 |  0.10 |   4.40 |   0.10 |      0 |   1.10 |   2.10 |   1.50 |      0 |      0 |   1.00 |   0.80 |   0.20 |  0.50 |   0.10 |   2.20 |   0.20 |   0.40 |      0 |   2.30 |   0.20 |      0 |      0 |  0.90 |   0.20 |   0.90 |   0.50 |   0.50 |   2.90 |   4.60 |      0 |      0 |      0 |      0 |   4.30 |   1.00 |   0.10 |   0.40 |   0.80 |
|         9 |   0.60 |   1.60 |  0.70 |  12.70 |   1.30 |   8.80 |   2.00 |   2.60 |   2.00 |   1.10 |   2.00 |   1.90 |   0.80 |   0.20 | 10.60 |   0.30 |   8.50 |   2.90 |   0.80 |   4.50 |   3.90 |   6.90 |   1.50 |   5.10 | 10.00 |   0.20 |   3.80 |   0.60 |   0.80 |   6.90 |   0.20 |  24.10 |   6.40 |      0 |      0 |   3.40 |   2.50 |   1.80 |   0.30 |   0.90 |
|        10 |   0.90 |   4.40 |  2.80 |  16.80 |   2.30 |   7.80 |   4.20 |   5.10 |   0.90 |  12.00 |   6.50 |  14.80 |   6.30 |   2.70 | 13.80 |      0 |   1.70 |   0.50 |   1.50 |   3.50 |   1.20 |  39.50 |   1.50 |  12.80 |  3.60 |   3.80 |  44.10 |   4.80 |   1.50 |   6.70 |  11.40 |  48.70 |   5.20 |   2.70 |  11.00 |   1.10 |  10.20 |   2.20 |   1.00 |   5.90 |
