# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |     9 |   10 |   11 |   12 |    13 |   14 |   15 |    16 |   17 |    18 |   19 |   20 |    21 |   22 |    23 |   24 |    25 |   26 |   27 |    28 |   29 |   30 |    31 |    32 |   33 |   34 |    35 |    36 |   37 |   38 |    39 |   40 |
|         0 | 5.30 | 5.44 | 5.55 | 5.44 | 5.89 | 5.79 | 5.88 | 5.76 |  5.09 | 5.68 | 5.57 | 5.60 |  5.95 | 5.18 | 5.74 |  5.46 | 5.58 |  5.67 | 5.65 | 5.99 |  5.57 | 5.27 |  5.70 | 5.46 |  5.47 | 5.78 | 5.55 |  5.93 | 5.56 | 6.04 |  5.75 |  5.97 | 5.69 | 5.67 |  5.94 |  5.67 | 5.94 | 6.10 |  5.34 | 5.73 |
|         1 | 5.27 | 5.16 | 5.33 | 5.43 | 5.72 | 5.64 | 5.78 | 5.55 |  4.84 | 5.50 | 5.42 | 5.44 |  5.64 | 5.05 | 5.54 |  5.21 | 5.45 |  5.46 | 5.40 | 5.74 |  5.42 | 4.97 |  5.54 | 5.24 |  5.27 | 5.67 | 5.37 |  5.72 | 5.37 | 5.88 |  5.58 |  5.76 | 5.61 | 5.46 |  5.63 |  5.52 | 5.70 | 5.92 |  5.20 | 5.50 |
|         2 | 5.15 | 4.98 | 5.15 | 5.33 | 5.60 | 5.49 | 5.57 | 5.27 |  4.71 | 5.27 | 5.30 | 5.08 |  5.36 | 4.93 | 5.35 |  5.01 | 5.22 |  5.25 | 5.15 | 5.53 |  5.23 | 4.76 |  5.35 | 5.07 |  5.09 | 5.51 | 5.27 |  5.56 | 5.27 | 5.58 |  5.48 |  5.54 | 5.55 | 5.24 |  5.45 |  5.43 | 5.35 | 5.73 |  5.08 | 5.21 |
|         3 | 5.06 | 4.82 | 4.90 | 5.28 | 5.49 | 5.39 | 5.36 | 5.18 |  4.53 | 5.08 | 5.16 | 4.85 |  5.34 | 5.06 | 5.20 |  4.95 | 5.17 |  5.21 | 4.96 | 5.28 |  5.13 | 4.75 |  5.14 | 5.07 |  5.02 | 5.41 | 5.02 |  5.38 | 5.17 | 5.43 |  5.30 |  5.37 | 5.38 | 5.08 |  5.35 |  5.30 | 5.20 | 5.54 |  4.94 | 5.11 |
|         4 | 5.02 | 4.57 | 4.81 | 5.11 | 5.31 | 5.32 | 5.22 | 5.14 |  4.54 | 4.91 | 5.05 | 4.73 |  5.09 | 5.17 | 5.07 |  4.82 | 5.09 |  5.19 | 4.91 | 5.24 |  5.16 | 4.78 |  4.98 | 5.14 |  4.92 | 5.31 | 4.79 |  5.36 | 4.99 | 5.30 |  5.19 |  5.24 | 5.31 | 5.01 |  5.34 |  5.02 | 5.12 | 5.43 |  4.77 | 4.93 |
|         5 | 4.94 | 4.43 | 4.77 | 4.88 | 5.15 | 5.15 | 5.14 | 5.11 |  4.59 | 4.84 | 4.98 | 4.61 |  4.86 | 4.92 | 5.00 |  4.67 | 5.05 |  5.14 | 4.91 | 5.24 |  5.13 | 4.74 |  4.93 | 5.08 |  4.84 | 5.20 | 4.74 |  5.26 | 4.81 | 4.98 |  5.14 |  5.25 | 5.18 | 4.88 |  5.21 |  4.99 | 4.92 | 5.28 |  4.70 | 4.70 |
|         6 | 4.77 | 4.66 | 4.64 | 4.76 | 4.99 | 4.86 | 4.93 | 4.84 |  4.70 | 4.69 | 4.88 | 4.61 |  4.88 | 4.70 | 4.86 |  4.53 | 4.97 |  5.01 | 4.88 | 5.15 |  4.82 | 4.67 |  4.91 | 4.98 |  4.83 | 5.04 | 4.74 |  5.16 | 4.74 | 4.66 |  5.14 |  5.26 | 5.01 | 4.75 |  5.07 |  4.94 | 4.67 | 5.12 |  4.57 | 4.64 |
|         7 | 4.63 | 4.78 | 4.40 | 4.51 | 4.83 | 4.63 | 4.65 | 4.68 |  4.78 | 4.64 | 4.81 | 4.67 |  4.90 | 4.61 | 4.74 |  4.40 | 4.83 |  4.97 | 4.71 | 4.94 |  4.59 | 4.53 |  4.86 | 4.94 |  4.83 | 4.98 | 4.66 |  5.04 | 4.71 | 4.53 |  5.12 |  5.22 | 4.90 | 4.71 |  4.89 |  4.93 | 4.73 | 5.05 |  4.32 | 4.54 |
|         8 | 4.71 | 5.01 | 4.51 | 4.50 | 4.86 | 4.67 | 4.63 | 4.77 |  4.79 | 4.71 | 4.77 | 4.89 |  4.92 | 4.72 | 4.83 |  4.48 | 4.73 |  5.13 | 4.67 | 4.96 |  4.71 | 4.60 |  4.91 | 5.01 |  4.95 | 5.03 | 4.73 |  5.09 | 4.90 | 4.59 |  5.10 |  5.38 | 5.03 | 4.72 |  4.94 |  4.97 | 4.89 | 5.11 |  4.33 | 4.73 |
|         9 | 5.13 | 5.52 | 5.07 | 5.11 | 5.29 | 5.18 | 5.05 | 5.24 |  5.14 | 5.05 | 5.22 | 5.39 |  5.44 | 5.06 | 5.40 |  4.90 | 5.14 |  5.58 | 5.00 | 5.46 |  5.28 | 5.08 |  5.09 | 5.37 |  5.25 | 5.24 | 5.07 |  5.44 | 5.30 | 5.11 |  5.45 |  5.86 | 5.51 | 5.03 |  5.25 |  5.31 | 5.36 | 5.35 |  4.74 | 5.36 |
