# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |    5 |    6 |    7 |     8 |     9 |    10 |   11 |   12 |   13 |    14 |   15 |    16 |   17 |   18 |   19 |   20 |    21 |   22 |    23 |    24 |    25 |   26 |   27 |    28 |   29 |   30 |   31 |   32 |   33 |    34 |   35 |    36 |   37 |   38 |    39 |   40 |
|         0 | 3.46 | 3.10 |  3.15 | 2.98 | 3.55 | 3.23 | 3.29 |  2.55 |  2.58 |  3.19 | 3.53 | 3.20 | 3.26 |  4.93 | 3.78 |  3.46 | 3.19 | 3.33 | 3.57 | 3.53 |  4.91 | 2.97 |  4.32 |  3.43 |  3.60 | 3.09 | 4.38 |  4.21 | 3.60 | 3.08 | 3.47 | 3.58 | 4.31 |  3.34 | 3.80 |  3.13 | 4.01 | 3.21 |  3.10 | 3.56 |
|         1 | 3.34 | 3.32 |  3.28 | 2.89 | 2.51 | 3.50 | 3.50 |  2.71 |  2.76 |  3.28 | 3.46 | 3.46 | 3.40 |  4.02 | 3.28 |  3.00 | 3.33 | 3.50 | 3.22 | 3.17 |  3.88 | 2.55 |  3.77 |  3.58 |  3.10 | 3.45 | 3.67 |  3.55 | 3.31 | 3.08 | 3.23 | 3.25 | 3.51 |  3.38 | 3.68 |  2.90 | 3.78 | 3.20 |  3.12 | 3.34 |
|         2 | 3.75 | 3.46 |  3.51 | 3.26 | 3.10 | 3.66 | 3.74 |  3.11 |  3.29 |  3.66 | 3.83 | 3.69 | 3.66 |  3.43 | 3.35 |  3.07 | 3.38 | 3.65 | 3.62 | 3.53 |  3.67 | 3.11 |  3.65 |  3.71 |  3.27 | 3.68 | 4.05 |  3.29 | 3.34 | 3.77 | 3.50 | 3.70 | 3.30 |  3.68 | 3.52 |  3.57 | 3.92 | 3.19 |  3.40 | 3.53 |
|         3 | 3.63 | 3.54 |  3.62 | 3.25 | 3.50 | 3.60 | 3.77 |  3.31 |  3.35 |  3.83 | 3.93 | 3.58 | 3.44 |  3.36 | 3.77 |  3.73 | 3.07 | 3.71 | 3.69 | 3.77 |  3.10 | 3.38 |  3.95 |  3.74 |  3.90 | 3.76 | 3.87 |  3.91 | 3.53 | 3.87 | 3.40 | 3.76 | 3.29 |  3.82 | 3.60 |  3.77 | 3.92 | 3.31 |  3.47 | 3.74 |
|         4 | 3.49 | 3.60 |  3.68 | 3.38 | 3.59 | 3.49 | 3.78 |  3.63 |  3.35 |  3.89 | 3.94 | 3.60 | 3.41 |  3.80 | 3.92 |  3.81 | 3.07 | 3.48 | 3.39 | 3.66 |  3.47 | 3.44 |  3.68 |  3.79 |  4.03 | 3.73 | 3.92 |  4.28 | 3.47 | 3.89 | 3.51 | 3.72 | 3.39 |  3.96 | 3.66 |  3.78 | 3.68 | 3.29 |  3.38 | 3.85 |
|         5 | 3.72 | 3.76 |  3.67 | 3.38 | 3.52 | 3.67 | 3.86 |  3.63 |  3.29 |  3.79 | 3.83 | 3.78 | 3.63 |  3.98 | 3.93 |  3.81 | 3.46 | 3.51 | 3.51 | 3.62 |  3.74 | 3.26 |  3.63 |  3.65 |  4.03 | 3.66 | 3.72 |  4.40 | 3.61 | 3.72 | 3.82 | 3.65 | 3.74 |  3.70 | 3.75 |  3.77 | 3.91 | 3.35 |  3.67 | 3.82 |
|         6 | 3.65 | 3.78 |  3.66 | 3.44 | 3.65 | 3.70 | 3.80 |  3.60 |  3.33 |  3.88 | 3.93 | 3.85 | 3.64 |  4.01 | 3.95 |  3.74 | 3.63 | 3.54 | 3.69 | 3.78 |  3.84 | 3.29 |  3.84 |  3.74 |  3.77 | 3.37 | 3.76 |  4.37 | 3.73 | 3.58 | 3.66 | 3.62 | 3.97 |  3.46 | 3.90 |  3.88 | 4.34 | 3.59 |  3.48 | 3.86 |
|         7 | 3.79 | 3.62 |  3.49 | 3.32 | 3.56 | 3.51 | 3.59 |  3.58 |  3.04 |  3.79 | 3.81 | 3.78 | 3.63 |  3.94 | 3.80 |  3.47 | 3.54 | 3.44 | 3.72 | 3.71 |  3.73 | 3.16 |  3.95 |  3.72 |  3.63 | 3.34 | 3.77 |  4.31 | 3.81 | 3.27 | 3.67 | 3.51 | 3.83 |  3.58 | 3.94 |  3.90 | 4.36 | 3.22 |  3.60 | 3.92 |
|         8 | 3.87 | 3.74 |  3.62 | 3.42 | 3.62 | 3.56 | 3.58 |  3.66 |  3.25 |  3.96 | 3.91 | 3.73 | 3.59 |  3.97 | 3.83 |  3.65 | 3.24 | 3.46 | 3.74 | 3.58 |  3.78 | 3.34 |  4.08 |  3.84 |  3.88 | 3.50 | 3.83 |  4.29 | 3.76 | 3.49 | 3.67 | 3.68 | 3.88 |  3.74 | 4.08 |  3.99 | 4.37 | 3.20 |  3.72 | 3.95 |
|         9 | 3.92 | 4.02 |  3.88 | 3.82 | 3.68 | 3.59 | 3.77 |  3.84 |  3.53 |  4.15 | 4.17 | 4.11 | 3.98 |  4.05 | 4.06 |  3.84 | 3.76 | 3.81 | 3.89 | 3.78 |  3.95 | 3.65 |  4.22 |  4.18 |  4.15 | 3.81 | 4.00 |  4.63 | 3.96 | 3.88 | 3.99 | 3.97 | 4.22 |  3.95 | 4.35 |  4.33 | 4.73 | 3.72 |  4.14 | 4.01 |
|        10 | 4.43 | 4.81 |  4.57 | 4.31 | 4.33 | 3.92 | 4.22 |  4.33 |  3.75 |  4.61 | 4.32 | 4.60 | 4.34 |  4.51 | 4.47 |  4.11 | 4.31 | 4.03 | 4.44 | 4.14 |  4.40 | 4.19 |  4.54 |  4.50 |  4.52 | 4.08 | 4.37 |  5.06 | 4.64 | 4.07 | 4.57 | 4.46 | 4.28 |  4.47 | 4.91 |  4.87 | 5.21 | 4.16 |  4.74 | 4.35 |
