# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |     5 |    6 |     7 |     8 |    9 |   10 |   11 |   12 |    13 |    14 |    15 |   16 |   17 |   18 |   19 |   20 |    21 |   22 |   23 |   24 |   25 |   26 |   27 |    28 |   29 |   30 |   31 |   32 |    33 |   34 |   35 |    36 |    37 |   38 |   39 |   40 |
|         0 | 4.29 | 3.99 |  3.84 | 3.69 |  3.90 | 3.47 |  3.75 |  3.40 | 3.27 | 3.41 | 3.02 | 4.02 |  3.91 |  3.57 |  3.82 | 3.56 | 3.51 | 4.18 | 3.97 | 3.59 |  4.04 | 3.85 | 4.23 | 4.11 | 4.24 | 3.85 | 3.75 |  4.07 | 3.67 | 4.19 | 4.24 | 3.49 |  3.90 | 3.64 | 3.72 |  3.83 |  3.48 | 4.34 | 3.80 | 3.82 |
|         1 | 4.24 | 3.99 |  3.57 | 3.51 |  3.69 | 3.19 |  3.82 |  3.46 | 3.28 | 3.55 | 3.14 | 3.98 |  3.83 |  3.68 |  3.72 | 3.46 | 3.55 | 4.19 | 3.70 | 3.37 |  3.99 | 3.80 | 4.16 | 4.15 | 4.01 | 3.70 | 3.54 |  4.13 | 3.58 | 4.11 | 3.99 | 3.21 |  4.00 | 3.50 | 3.63 |  3.58 |  3.48 | 4.29 | 3.69 | 3.73 |
|         2 | 4.04 | 3.96 |  3.56 | 3.53 |  3.59 | 3.28 |  4.04 |  3.58 | 3.43 | 3.87 | 3.08 | 4.16 |  3.88 |  3.97 |  3.84 | 3.59 | 3.68 | 4.32 | 3.49 | 3.20 |  4.02 | 3.81 | 4.20 | 4.12 | 3.88 | 3.56 | 3.31 |  4.29 | 3.27 | 4.21 | 3.78 | 3.09 |  4.21 | 3.62 | 3.56 |  3.52 |  3.79 | 4.19 | 3.70 | 3.67 |
|         3 | 3.95 | 4.20 |  3.69 | 3.68 |  3.49 | 3.57 |  4.24 |  3.73 | 3.61 | 4.07 | 3.27 | 4.34 |  3.97 |  4.24 |  4.02 | 3.73 | 3.91 | 4.32 | 3.51 | 3.15 |  3.99 | 3.93 | 4.33 | 4.03 | 3.81 | 3.53 | 3.25 |  4.55 | 3.22 | 4.35 | 3.72 | 3.03 |  4.46 | 3.82 | 3.66 |  3.77 |  4.04 | 4.23 | 3.77 | 3.65 |
|         4 | 3.93 | 4.55 |  3.67 | 3.78 |  3.59 | 3.74 |  4.30 |  3.49 | 3.68 | 4.18 | 3.46 | 4.48 |  4.01 |  4.25 |  4.10 | 3.81 | 3.88 | 4.26 | 3.49 | 3.35 |  4.02 | 4.02 | 4.28 | 3.99 | 3.67 | 3.62 | 3.28 |  4.60 | 3.52 | 4.25 | 3.74 | 3.24 |  4.61 | 4.07 | 3.98 |  4.05 |  4.23 | 4.26 | 3.69 | 3.50 |
|         5 | 4.16 | 4.60 |  3.74 | 3.79 |  3.86 | 3.95 |  4.23 |  3.31 | 3.82 | 4.33 | 3.53 | 4.52 |  4.14 |  4.17 |  3.91 | 3.90 | 3.87 | 4.26 | 3.57 | 3.82 |  4.09 | 4.11 | 4.28 | 4.11 | 3.56 | 3.75 | 3.46 |  4.59 | 3.79 | 4.30 | 3.84 | 3.45 |  4.50 | 4.18 | 4.30 |  4.22 |  4.40 | 4.39 | 3.52 | 3.20 |
|         6 | 4.54 | 4.68 |  4.01 | 4.00 |  4.12 | 4.29 |  4.43 |  3.71 | 4.07 | 4.48 | 3.74 | 4.57 |  4.44 |  4.14 |  4.08 | 3.92 | 4.07 | 4.45 | 3.90 | 4.17 |  4.31 | 4.24 | 4.46 | 4.47 | 3.74 | 4.02 | 3.74 |  4.69 | 4.13 | 4.56 | 4.08 | 3.73 |  4.35 | 4.34 | 4.59 |  4.28 |  4.58 | 4.71 | 4.00 | 3.50 |
|         7 | 4.68 | 5.10 |  4.15 | 4.37 |  4.23 | 4.47 |  4.57 |  4.22 | 4.18 | 4.68 | 3.94 | 4.50 |  4.55 |  4.24 |  4.49 | 4.06 | 4.23 | 4.57 | 4.15 | 4.36 |  4.52 | 4.44 | 4.49 | 4.72 | 3.83 | 4.28 | 3.99 |  4.78 | 4.34 | 4.78 | 4.24 | 3.90 |  4.58 | 4.46 | 4.66 |  4.43 |  4.69 | 4.85 | 4.46 | 3.70 |
|         8 | 5.04 | 5.70 |  4.39 | 4.71 |  4.48 | 4.73 |  4.73 |  4.77 | 4.50 | 5.01 | 4.29 | 4.79 |  4.85 |  4.57 |  4.73 | 4.50 | 4.47 | 4.78 | 4.45 | 4.50 |  4.87 | 4.80 | 4.82 | 4.95 | 3.96 | 4.54 | 4.36 |  4.94 | 4.50 | 5.03 | 4.43 | 4.20 |  4.81 | 4.84 | 4.93 |  4.71 |  4.87 | 4.97 | 4.79 | 3.80 |
|         9 | 5.51 | 6.30 |  4.90 | 5.13 |  4.95 | 4.95 |  5.23 |  4.98 | 4.86 | 5.22 | 4.98 | 5.12 |  5.40 |  5.06 |  5.15 | 5.09 | 4.83 | 5.26 | 4.60 | 5.00 |  5.36 | 5.30 | 5.29 | 5.21 | 4.51 | 4.95 | 4.81 |  5.39 | 4.86 | 5.41 | 4.88 | 4.73 |  5.20 | 5.39 | 5.48 |  5.14 |  5.33 | 5.49 | 5.08 | 4.39 |
