# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |    4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |   12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |   24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  3.71 |  4.24 |  3.71 | 3.57 |  3.66 |  3.54 |  3.85 |  3.89 |  3.57 |  3.82 |  3.85 | 4.29 |  3.99 |  3.67 |  4.25 |  4.00 |  3.41 |  4.24 |  4.10 |  2.97 |  4.22 |  4.10 |  4.44 | 4.12 |  4.36 |  3.74 |  3.59 |  3.91 |  4.05 |  4.06 |  3.66 |  3.56 |  4.04 |  3.89 |  4.11 |  4.30 |  3.99 |  3.58 |  4.08 |  3.35 |
|         1 |  3.62 |  4.40 |  3.50 | 3.40 |  3.40 |  3.31 |  3.97 |  3.77 |  3.47 |  3.47 |  3.42 | 4.04 |  3.84 |  3.42 |  3.95 |  3.70 |  3.26 |  3.93 |  3.86 |  2.88 |  4.00 |  3.71 |  4.26 | 3.70 |  4.02 |  3.40 |  3.44 |  3.89 |  3.62 |  3.89 |  3.50 |  3.36 |  3.54 |  3.46 |  3.81 |  4.10 |  3.95 |  3.41 |  3.73 |  3.13 |
|         2 |  2.91 |  4.12 |  3.09 | 3.39 |  3.34 |  3.44 |  3.43 |  3.81 |  3.12 |  3.20 |  3.24 | 3.94 |  3.51 |  2.90 |  3.48 |  3.56 |  2.50 |  3.71 |  3.46 |  2.60 |  4.10 |  3.59 |  3.87 | 3.57 |  3.89 |  3.07 |  3.28 |  3.82 |  3.59 |  3.51 |  3.15 |  2.99 |  3.52 |  3.21 |  3.35 |  3.98 |  3.87 |  3.06 |  3.68 |  3.02 |
|         3 |  2.87 |  3.72 |  2.86 | 2.60 |  2.73 |  2.98 |  3.06 |  3.43 |  2.85 |  2.92 |  2.96 | 3.52 |  3.04 |  2.86 |  3.09 |  3.10 |  2.42 |  3.37 |  3.35 |  2.08 |  3.79 |  2.97 |  3.52 | 3.23 |  3.41 |  2.64 |  2.53 |  3.80 |  3.24 |  2.98 |  2.67 |  2.81 |  3.39 |  2.79 |  3.31 |  3.51 |  3.30 |  2.55 |  3.47 |  2.92 |
|         4 |  2.61 |  3.38 |  2.78 | 2.34 |  2.76 |  2.61 |  3.07 |  2.95 |  2.26 |  2.68 |  2.39 | 3.38 |  2.91 |  2.90 |  3.06 |  2.88 |  2.39 |  3.29 |  3.16 |  2.09 |  3.50 |  2.56 |  3.21 | 3.01 |  3.22 |  2.46 |  2.49 |  3.66 |  2.89 |  2.82 |  2.49 |  2.37 |  3.22 |  2.70 |  3.16 |  3.28 |  3.20 |  2.52 |  3.14 |  2.75 |
|         5 |  2.46 |  3.35 |  2.73 | 2.46 |  2.66 |  2.36 |  2.99 |  3.04 |  2.06 |  2.35 |  2.16 | 3.22 |  2.78 |  2.76 |  2.96 |  2.97 |  2.58 |  2.93 |  2.91 |  2.16 |  3.34 |  2.50 |  3.05 | 2.64 |  3.02 |  2.36 |  2.43 |  3.39 |  2.33 |  2.68 |  2.26 |  2.43 |  3.17 |  2.64 |  3.01 |  3.23 |  3.06 |  2.19 |  3.16 |  2.68 |
|         6 |  2.36 |  3.32 |  2.62 | 2.71 |  2.70 |  2.49 |  2.85 |  3.02 |  2.32 |  2.21 |  2.11 | 3.11 |  2.78 |  2.64 |  2.85 |  2.90 |  2.54 |  2.80 |  2.91 |  1.94 |  3.23 |  2.56 |  2.81 | 2.75 |  2.75 |  2.32 |  2.37 |  3.35 |  2.43 |  2.59 |  1.98 |  2.43 |  2.96 |  2.56 |  2.85 |  3.07 |  2.97 |  2.07 |  2.93 |  2.29 |
|         7 |  2.25 |  3.11 |  2.56 | 2.79 |  2.67 |  2.58 |  2.87 |  2.92 |  2.43 |  2.40 |  2.30 | 3.02 |  2.73 |  2.59 |  2.99 |  2.97 |  2.62 |  3.02 |  3.08 |  1.99 |  3.30 |  2.61 |  2.48 | 2.88 |  2.80 |  2.39 |  2.34 |  3.33 |  2.59 |  2.66 |  1.90 |  2.31 |  2.87 |  2.48 |  2.89 |  2.99 |  3.01 |  2.29 |  2.98 |  2.22 |
|         8 |  2.75 |  3.06 |  2.76 | 2.90 |  2.93 |  2.73 |  3.27 |  2.96 |  2.68 |  2.65 |  2.48 | 3.12 |  2.81 |  2.85 |  3.41 |  3.10 |  2.90 |  3.23 |  3.15 |  2.19 |  3.45 |  2.83 |  2.58 | 3.02 |  3.30 |  2.69 |  2.50 |  3.61 |  2.88 |  2.84 |  2.08 |  2.64 |  2.87 |  2.72 |  3.13 |  3.25 |  3.23 |  2.52 |  3.11 |  2.56 |
|         9 |  3.62 |  3.93 |  3.60 | 3.55 |  3.49 |  3.34 |  3.93 |  3.61 |  3.37 |  3.39 |  2.92 | 3.72 |  3.27 |  3.47 |  3.96 |  3.88 |  3.70 |  3.87 |  3.70 |  2.95 |  4.11 |  3.42 |  3.52 | 3.62 |  3.88 |  3.42 |  2.90 |  4.17 |  3.50 |  3.48 |  2.88 |  3.35 |  3.70 |  3.54 |  3.94 |  3.76 |  3.78 |  3.13 |  3.65 |  3.00 |
|        10 |  4.47 |  4.55 |  4.29 | 3.72 |  4.50 |  4.20 |  4.61 |  4.82 |  4.50 |  3.96 |  3.66 | 4.52 |  3.86 |  4.50 |  4.74 |  4.19 |  4.73 |  4.52 |  4.39 |  3.66 |  5.13 |  4.22 |  4.12 | 4.51 |  4.99 |  4.32 |  4.14 |  5.30 |  3.81 |  3.96 |  3.81 |  4.35 |  4.39 |  4.21 |  4.55 |  4.49 |  4.64 |  3.89 |  4.27 |  3.65 |
|        11 |  5.24 |  5.41 |  5.57 | 4.29 |  5.75 |  4.93 |  4.86 |  5.06 |  5.25 |  4.32 |  4.21 | 5.55 |  5.20 |  5.31 |  5.61 |  5.42 |  5.86 |  5.54 |  5.46 |  4.68 |  5.87 |  5.00 |  5.16 | 5.34 |  5.82 |  5.43 |  5.23 |  6.02 |  4.60 |  5.06 |  4.29 |  5.06 |  5.14 |  5.06 |  5.71 |  5.38 |  5.43 |  4.98 |  5.42 |  4.92 |
|        12 |  5.35 |  6.09 |  6.24 | 5.35 |  6.44 |  5.68 |  5.39 |  6.27 |  6.17 |  4.81 |  4.71 | 6.15 |  6.16 |  6.04 |  6.22 |  5.87 |  6.27 |  6.35 |  6.09 |  5.64 |  6.03 |  5.74 |  6.35 | 5.56 |  6.17 |  6.28 |  5.96 |  6.76 |  4.79 |  5.65 |  6.02 |  5.33 |  6.15 |  5.37 |  6.33 |  6.18 |  6.14 |  5.66 |  6.32 |  5.54 |
|        13 |  5.30 |  6.55 |  6.16 | 5.75 |  6.51 |  5.81 |  5.33 |  6.94 |  6.71 |  5.06 |  4.95 | 6.60 |  6.48 |  6.27 |  6.58 |  6.00 |  6.22 |  6.63 |  6.72 |  5.87 |  6.27 |  5.53 |  6.17 | 5.62 |  6.35 |  6.63 |  6.34 |  7.50 |  4.97 |  5.44 |  6.37 |  5.30 |  6.30 |  6.03 |  6.49 |  6.80 |  6.07 |  5.54 |  6.58 |  6.33 |
|        14 |  5.35 |  6.67 |  5.41 | 5.81 |  5.53 |  5.32 |  5.77 |  6.93 |  6.34 |  5.09 |  4.85 | 6.29 |  6.43 |  6.08 |  6.80 |  5.96 |  6.05 |  6.29 |  6.64 |  5.95 |  6.04 |  5.42 |  6.24 | 5.60 |  6.26 |  6.53 |  6.25 |  7.63 |  4.63 |  5.56 |  6.09 |  5.26 |  6.22 |  5.45 |  6.61 |  6.64 |  5.17 |  5.69 |  5.73 |  6.15 |
