# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |     11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |     21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |     29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  -4.91 | -4.08 | -5.03 | -5.22 | -4.99 | -5.01 | -4.76 | -4.59 | -4.85 | -4.71 |  -4.95 | -4.48 | -4.50 | -4.56 | -5.24 | -5.10 | -5.86 | -4.23 | -4.30 | -5.50 |  -4.03 | -4.28 | -4.45 | -4.73 | -4.29 | -4.90 | -5.27 | -4.94 |  -4.52 | -5.54 | -4.87 | -5.17 | -4.34 | -5.60 | -4.75 | -4.56 | -4.66 | -5.24 | -4.43 | -5.20 |
|         1 |  -5.68 | -5.27 | -5.55 | -6.36 | -5.90 | -5.43 | -5.96 | -5.29 | -5.04 | -5.25 |  -5.33 | -5.23 | -5.83 | -5.06 | -5.99 | -5.86 | -6.65 | -5.03 | -5.00 | -5.74 |  -4.85 | -5.38 | -5.75 | -5.00 | -5.23 | -5.49 | -6.05 | -5.18 |  -5.15 | -6.43 | -5.28 | -5.47 | -4.52 | -5.76 | -5.33 | -5.12 | -5.75 | -5.96 | -4.84 | -5.49 |
|         2 |  -6.41 | -6.22 | -6.43 | -6.61 | -7.09 | -5.97 | -5.76 | -6.08 | -6.29 | -5.68 |  -6.40 | -5.51 | -6.07 | -5.71 | -6.51 | -6.65 | -7.06 | -5.17 | -5.33 | -6.74 |  -5.70 | -6.58 | -6.30 | -5.23 | -5.99 | -6.32 | -6.26 | -5.64 |  -6.29 | -6.93 | -6.05 | -6.54 | -5.23 | -6.37 | -6.18 | -5.95 | -6.34 | -6.28 | -5.79 | -5.77 |
|         3 |  -6.94 | -6.57 | -6.74 | -6.80 | -7.17 | -6.67 | -6.72 | -6.28 | -6.49 | -6.88 |  -7.01 | -6.23 | -6.86 | -6.33 | -6.70 | -6.93 | -6.92 | -6.09 | -5.76 | -6.74 |  -6.18 | -7.06 | -6.60 | -6.63 | -6.53 | -6.62 | -6.49 | -6.37 |  -7.28 | -7.19 | -6.52 | -7.24 | -5.93 | -6.38 | -6.80 | -6.22 | -6.74 | -7.23 | -6.67 | -6.09 |
|         4 |  -7.31 | -6.50 | -7.03 | -6.64 | -6.86 | -7.27 | -6.78 | -6.24 | -6.50 | -7.04 |  -7.25 | -6.82 | -6.94 | -6.89 | -6.61 | -7.20 | -7.23 | -6.62 | -6.34 | -7.85 |  -6.64 | -7.39 | -6.78 | -7.13 | -6.72 | -7.17 | -6.82 | -6.54 |  -7.24 | -7.24 | -7.00 | -7.00 | -6.38 | -6.80 | -6.73 | -6.56 | -7.24 | -7.34 | -7.03 | -7.03 |
|         5 |  -6.64 | -6.21 | -6.93 | -6.83 | -7.02 | -6.93 | -6.53 | -6.11 | -6.72 | -6.60 |  -6.99 | -6.60 | -6.66 | -7.14 | -6.49 | -6.90 | -7.22 | -6.31 | -5.96 | -7.66 |  -6.75 | -7.22 | -6.39 | -6.84 | -6.59 | -7.20 | -7.30 | -6.07 |  -7.15 | -7.21 | -6.69 | -6.86 | -6.99 | -6.33 | -6.94 | -6.93 | -7.09 | -7.18 | -7.32 | -7.31 |
|         6 |  -6.15 | -6.98 | -6.44 | -7.23 | -7.13 | -7.07 | -6.46 | -6.52 | -6.77 | -6.55 |  -7.01 | -6.52 | -6.95 | -7.09 | -6.35 | -6.60 | -7.03 | -6.57 | -6.21 | -7.72 |  -7.12 | -6.96 | -5.68 | -6.65 | -6.05 | -7.13 | -7.56 | -6.06 |  -7.07 | -7.76 | -6.62 | -7.05 | -6.76 | -6.06 | -6.94 | -6.61 | -6.73 | -6.97 | -6.73 | -7.15 |
|         7 |  -6.06 | -5.87 | -5.43 | -6.95 | -6.28 | -7.15 | -6.40 | -5.66 | -6.58 | -6.35 |  -7.20 | -5.89 | -6.75 | -6.44 | -6.49 | -5.75 | -6.94 | -6.86 | -5.88 | -7.33 |  -7.07 | -7.08 | -5.63 | -6.11 | -5.98 | -7.15 | -6.76 | -6.20 |  -7.10 | -7.63 | -6.34 | -6.80 | -6.42 | -5.97 | -6.21 | -6.76 | -6.65 | -7.08 | -5.85 | -6.78 |
|         8 |  -6.06 | -5.74 | -5.59 | -6.16 | -5.96 | -6.24 | -6.59 | -5.50 | -6.11 | -6.09 |  -6.59 | -5.40 | -6.05 | -6.09 | -5.99 | -5.57 | -6.32 | -5.90 | -5.58 | -6.45 |  -6.69 | -6.70 | -5.60 | -5.82 | -5.70 | -5.70 | -5.85 | -5.52 |  -7.02 | -6.45 | -6.18 | -6.01 | -5.82 | -5.56 | -5.31 | -6.55 | -5.82 | -6.50 | -5.47 | -6.28 |
|         9 |  -6.24 | -5.66 | -5.42 | -5.87 | -5.97 | -6.10 | -6.44 | -5.12 | -5.91 | -5.93 |  -6.96 | -5.48 | -6.03 | -6.86 | -6.00 | -5.51 | -6.86 | -6.65 | -5.72 | -6.29 |  -6.12 | -6.89 | -5.44 | -5.74 | -5.68 | -5.77 | -6.04 | -4.97 |  -6.48 | -6.43 | -5.47 | -5.84 | -5.74 | -5.36 | -5.35 | -6.45 | -6.42 | -6.48 | -6.25 | -6.04 |
