# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |      4 |     5 |      6 |      7 |     8 |     9 |    10 |     11 |     12 |     13 |     14 |    15 |     16 |     17 |     18 |     19 |    20 |     21 |     22 |    23 |    24 |     25 |     26 |    27 |    28 |     29 |     30 |    31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |    40 |
|         1 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         2 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         3 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         4 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         5 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         6 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         7 |      0 |      0 |     0 |      0 |  0.10 |      0 |      0 |     0 |     0 |     0 |      0 |   0.10 |      0 |      0 |  0.10 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |  0.10 |     0 |      0 |      0 |     0 |     0 |   0.10 |   0.10 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |
|         8 |      0 |   0.10 |  0.60 |   0.80 |  0.80 |      0 |   0.10 |  0.10 |     0 |  0.10 |   0.10 |   1.30 |   0.80 |      0 |  1.50 |   0.40 |   0.50 |   0.30 |   0.20 |  0.20 |      0 |   1.10 |  0.60 |  0.20 |   0.40 |   0.30 |  0.10 |  1.20 |   0.30 |   0.90 |  0.50 |   0.30 |      0 |   0.10 |      0 |   0.30 |   0.30 |   0.20 |   0.20 |     0 |
|         9 |   1.40 |   9.30 |  1.10 |   1.60 |     0 |   3.00 |   0.20 |  2.10 |  4.60 | 11.00 |      0 |   0.20 |   4.30 |   0.10 |  3.40 |   1.70 |   0.70 |   5.30 |  10.70 | 10.30 |   2.10 |   3.40 |  0.90 |     0 |   7.60 |   2.80 |  3.30 |  4.40 |   1.20 |   2.10 |  2.50 |      0 |   0.80 |   1.10 |   0.50 |      0 |   0.40 |   2.60 |   1.40 |  0.90 |
|        10 |      0 |   7.70 | 12.10 |   1.10 |  6.60 |   5.90 |   2.20 | 17.50 |  0.60 | 12.80 |   4.10 |   1.10 |   8.00 |   3.50 |  3.80 |   4.10 |   0.10 |  12.00 |  17.60 |  6.40 |   8.20 |   1.80 |  1.10 |  1.70 |  22.80 |   5.40 | 16.90 |  7.70 |  12.80 |   2.80 | 10.20 |      0 |   6.00 |  14.70 |   5.00 |   5.40 |   3.10 |   0.80 |   1.20 | 26.80 |
