# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |    36 |    37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |
|         7 |   0.10 |      0 |      0 |   0.10 |   0.30 |   0.10 |   0.10 |   0.20 |   0.20 |   0.40 |      0 |      0 |   0.10 |   0.10 |   0.10 |   0.10 |   0.20 |      0 |   0.10 |   0.50 |   0.10 |   0.40 |   0.30 |   0.20 |   0.20 |   0.20 |   0.30 |   0.60 |   0.30 |      0 |   0.10 |   0.10 |   0.10 |      0 |   0.10 |     0 |  0.10 |   0.20 |   0.10 |      0 |
|         8 |   3.40 |   2.70 |   4.10 |   6.90 |   9.00 |  15.60 |   5.40 |  11.60 |   2.60 |  10.70 |   1.00 |   0.70 |   5.40 |  16.90 |   4.70 |   9.30 |   4.90 |  14.10 |   6.40 |  21.70 |   7.80 |  10.90 |   7.70 |  11.80 |  10.80 |  10.40 |  10.90 |  22.90 |  12.20 |  12.60 |   4.20 |   6.90 |   4.40 |   2.10 |  15.40 | 11.90 |  4.20 |   7.30 |   2.90 |   8.00 |
|         9 |  31.80 |  34.20 |  29.50 |  11.80 |  64.40 |  74.50 |  16.70 |  38.60 |   0.10 |  29.70 |  64.20 |   0.40 |  17.00 |  68.50 |  15.60 |  32.70 |  23.30 |  48.80 |   3.40 |  86.00 |  35.60 |  27.80 |  29.20 |  34.70 |  66.90 |  35.90 |  33.90 |  78.40 |  39.50 |  64.90 |  17.10 |  23.90 |  35.20 |  11.90 |  65.90 | 41.40 | 39.80 |  29.30 |  41.60 |  38.50 |
|        10 |  72.30 |  89.30 |  51.10 |  21.60 | 127.60 |  78.60 |  25.70 |  36.10 |  11.50 |  48.50 | 100.50 |   4.50 |  39.80 |  74.40 |  82.40 |  46.90 |  37.50 |  81.30 |   1.20 |  93.70 |  54.30 |  15.70 |  24.00 |  32.30 | 122.00 |  39.60 |  43.80 | 131.70 |  38.60 |  86.10 |  22.50 |  38.40 |  50.20 |  34.80 |  74.80 | 30.00 | 59.40 |  51.40 |  78.20 |  59.60 |
