# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |      9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |     18 |    19 |    20 |    21 |    22 |     23 |    24 |    25 |    26 |     27 |     28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  0.57 |  0.39 |  0.67 |  0.82 |  0.86 |  1.07 |  0.97 |  0.64 |   1.00 |  0.72 |  0.79 |  1.05 |  1.57 |  0.70 |  1.22 |  1.34 |  0.46 |   0.73 |  1.74 |  0.07 |  1.44 |  1.08 |   1.54 |  1.32 |  1.00 |  0.98 |   1.18 |   1.17 |  1.07 |  0.51 |  1.07 |  0.40 |  0.41 |  2.70 |  1.65 |  1.34 |  1.32 |  1.63 |  0.97 |  1.91 |
|         1 |  0.90 |  1.07 |  1.14 |  0.96 |  1.00 |  1.31 |  1.09 |  1.07 |   1.14 |  1.47 |  0.91 |  1.38 |  2.04 |  0.97 |  1.38 |  1.93 |  1.54 |   0.91 |  1.79 |  0.98 |  1.81 |  1.55 |   2.06 |  1.65 |  1.52 |  1.39 |   1.77 |   2.15 |  1.32 |  0.85 |  1.65 |  0.93 |  0.94 |  2.28 |  1.44 |  1.77 |  1.55 |  1.56 |  1.36 |  1.54 |
|         2 |  1.53 |  1.50 |  1.45 |  1.44 |  1.25 |  1.82 |  1.51 |  1.60 |   1.30 |  1.78 |  1.21 |  1.67 |  2.29 |  1.32 |  1.85 |  1.43 |  1.31 |   1.33 |  1.71 |  1.11 |  1.92 |  1.87 |   2.41 |  1.86 |  1.60 |  1.49 |   2.15 |   2.15 |  1.44 |  1.48 |  1.92 |  1.09 |  1.43 |  2.22 |  1.94 |  1.14 |  1.80 |  1.69 |  1.58 |  1.62 |
|         3 |  1.71 |  1.74 |  1.76 |  1.75 |  1.60 |  1.86 |  1.95 |  2.03 |   0.96 |  1.74 |  1.56 |  1.68 |  2.71 |  1.47 |  2.36 |  1.44 |  1.80 |   1.63 |  2.36 |  1.61 |  2.16 |  2.01 |   2.47 |  1.91 |  1.80 |  1.10 |   2.20 |   2.04 |  1.70 |  1.49 |  2.81 |  1.33 |  1.53 |  2.63 |  2.16 |  1.56 |  1.72 |  2.01 |  1.75 |  1.84 |
|         4 |  1.75 |  1.63 |  1.92 |  2.05 |  1.66 |  1.83 |  2.14 |  2.18 |   1.71 |  2.40 |  1.81 |  2.06 |  3.05 |  1.55 |  2.40 |  1.87 |  2.40 |   1.84 |  2.67 |  1.78 |  2.41 |  2.41 |   2.53 |  1.33 |  2.01 |  1.68 |   3.03 |   2.27 |  1.90 |  1.53 |  3.33 |  1.37 |  1.80 |  3.20 |  2.41 |  2.06 |  2.01 |  2.13 |  1.69 |  2.10 |
|         5 |  2.19 |  1.59 |  1.93 |  2.56 |  2.00 |  1.67 |  2.21 |  2.55 |   2.01 |  2.48 |  1.82 |  2.10 |  3.36 |  1.73 |  2.52 |  2.06 |  2.36 |   2.11 |  3.04 |  1.85 |  2.70 |  2.83 |   2.67 |  1.43 |  2.32 |  2.43 |   3.08 |   2.54 |  2.18 |  2.37 |  3.14 |  1.55 |  2.05 |  3.47 |  3.27 |  2.61 |  2.70 |  2.23 |  2.07 |  2.03 |
|         6 |  2.21 |  1.97 |  1.87 |  2.98 |  2.41 |  1.56 |  2.12 |  2.66 |   2.38 |  2.33 |  2.05 |  2.44 |  3.61 |  1.92 |  2.40 |  2.44 |  2.25 |   2.25 |  3.00 |  2.28 |  2.88 |  2.66 |   2.88 |  1.97 |  2.39 |  2.69 |   2.96 |   2.95 |  2.46 |  2.82 |  3.32 |  1.57 |  2.17 |  3.33 |  3.58 |  2.89 |  3.22 |  2.54 |  2.52 |  2.21 |
|         7 |  1.99 |  2.13 |  2.32 |  2.96 |  2.63 |  2.19 |  2.14 |  2.80 |   2.28 |  2.54 |  2.27 |  2.72 |  3.57 |  1.71 |  2.43 |  2.39 |  2.32 |   2.61 |  3.13 |  2.00 |  2.77 |  2.38 |   3.14 |  2.01 |  2.46 |  2.59 |   2.60 |   3.29 |  2.42 |  2.74 |  3.39 |  1.74 |  2.23 |  2.93 |  3.14 |  2.81 |  3.04 |  2.97 |  2.66 |  2.67 |
|         8 |  2.36 |  2.19 |  2.36 |  2.64 |  2.52 |  2.15 |  1.91 |  3.03 |   1.70 |  2.64 |  2.10 |  2.64 |  3.32 |  1.46 |  2.38 |  2.29 |  2.36 |   2.63 |  3.17 |  2.13 |  2.85 |  1.99 |   2.83 |  1.86 |  2.33 |  2.44 |   2.28 |   3.30 |  2.06 |  2.40 |  3.57 |  1.57 |  2.09 |  2.88 |  2.97 |  2.39 |  2.88 |  3.26 |  2.51 |  2.64 |
|         9 |  2.25 |  2.05 |  1.82 |  1.33 |  1.98 |  1.45 |  1.10 |  2.79 |   0.55 |  1.88 |  1.68 |  2.36 |  3.35 |  1.37 |  1.48 | -0.69 |  1.93 |   2.23 |  2.49 |  1.73 |  2.85 | -0.23 |   2.29 |  1.50 |  1.70 |  0.08 |   1.54 |   3.17 |  1.48 |  1.96 |  3.25 |  1.12 |  1.65 |  2.75 |  2.91 |  2.42 |  2.13 |  3.51 |  1.96 |  2.24 |
