"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95"
"GeneralGrievous","DAX","1 day",2021-10-27,-2.95034823043422,-1.09525355165279,-0.121883325278759,0.851486901095268,2.7065815798767,-0.0603748177303132,0.144498670635195,0.517439366961236,0.0615085075484458,0.455930859412791,0.138347819880351,0.263545044887604,0.0615085075484458,TRUE,TRUE
"AryaStark","DAX","1 day",2021-10-27,-2.29406671592471,-0.422821733148392,0.0519496863477402,0.540927821421736,2.10563694064283,-0.0603748177303132,0.11168459490972,0.181223457709039,0.112324504078053,0.300651319576025,0.108300587918657,0.162836892838299,0.112324504078053,TRUE,TRUE
"DougJudy","DAX","1 day",2021-10-27,0.0982112683303055,0.098224123072649,0.0982308679701509,0.0982376128676529,0.0982504676099963,-0.0603748177303132,0.309242867818206,0.237898411204443,0.158605685700464,0.079306215298983,0.00793126426701548,0.158596888857822,0.158605685700464,FALSE,FALSE
"GinaLinetti","DAX","1 day",2021-10-27,-5.687,-5.232,-4.73,-3.767,-2.658,-0.0603748177303132,0.281331259113484,2.58581259113484,4.66962518226969,5.55993777340453,5.06536910542589,3.63241518226969,4.66962518226969,FALSE,FALSE
"CaptainRaymondHolt","DAX","1 day",2021-10-27,-2.50264090239192,-0.423577087562421,0.0758805631617676,0.674492114198166,2.6579096584318,-0.0603748177303132,0.12211330423308,0.181601134916054,0.136255380892081,0.36743346596424,0.135914223808106,0.188663501962712,0.136255380892081,TRUE,TRUE
"Bronn","DAX","1 day",2021-10-27,-4.25838720958023,-0.908422928347186,0.153443497917039,1.11595527625195,3.82748225297656,-0.0603748177303132,0.209900619592496,0.424024055308436,0.213818315647352,0.588165046991132,0.194392853535344,0.326060178214952,0.213818315647352,TRUE,TRUE
"Joey","DAX","1 day",2021-10-27,-2.65462201323134,-0.580914288322739,-0.034927551922113,0.440877562188146,1.1155649985341,-0.0603748177303132,0.129712359775051,0.260269735296213,0.0254472658082002,0.25062618995923,0.0587969908132205,0.144970508330383,0.0254472658082002,TRUE,TRUE
"Shaggydog","DAX","1 day",2021-10-27,-2.03502693072763,-0.62749773810783,0.10520852645717,0.817900471307259,2.06459935303764,-0.0603748177303132,0.0987326056498659,0.283561460188758,0.165583344187483,0.439137644518786,0.106248708538398,0.218652752616658,0.165583344187483,TRUE,TRUE
"mean_ensemble","DAX","1 day",2021-10-27,-2.25129809056312,-0.685331214947359,-0.184359215913708,0.338099663793135,1.60115986966893,-0.0603748177303132,0.10954616364164,0.312478198608523,0.123984398183395,0.199237240761724,0.0830767343699622,0.165664547113049,0.123984398183395,TRUE,TRUE
"ChandlerBing","DAX","1 day",2021-10-27,-2.42237106630963,-0.363460157355463,0.0526468409458545,0.444149872149403,1.40012449765956,-0.0603748177303132,0.118099812428966,0.151542669812575,0.113021658676168,0.252262344939858,0.0730249657694938,0.141590290325412,0.113021658676168,TRUE,TRUE
