"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"AryaStark","DAX","1 day",2021-12-08,-2.95651486776012,-0.751611687095848,0.0741508783073308,0.885584374509759,2.94700548357465,-0.305366669036999,0.132557409936156,0.223122509029424,0.37951754734433,0.595475521773379,0.162618607630583,0.298658319142774,0.37951754734433,TRUE,TRUE,FALSE
"GinaLinetti","DAX","1 day",2021-12-08,-2.768865,-0.9478292,0.007670316,0.9631698,2.784206,-0.305366669036999,0.12317491654815,0.3212312654815,0.313036985036999,0.6342682345185,0.15447863345185,0.3092380070074,0.313036985036999,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2021-12-08,-3.2617248808445,-1.0722885081349,0.0765111742272687,1.22531085658944,3.41474722929904,-0.305366669036999,0.147817910590375,0.383460919548952,0.381877843264268,0.76533876281322,0.186005694916802,0.372900226226723,0.381877843264268,TRUE,TRUE,FALSE
"Joey","DAX","1 day",2021-12-08,-2.023183,-0.880331,-0.212765,1.315604,1.735455,-0.305366669036999,0.08589081654815,0.2874821654815,0.0926016690369994,0.8104853345185,0.10204108345185,0.2757002138074,0.0926016690369994,TRUE,TRUE,FALSE
"DougJudy","DAX","1 day",2021-12-08,-3.45427986890291,-0.709600924681458,0.0635829392248317,0.842493174947417,3.28231491588744,-0.305366669036999,0.157445659993296,0.202117127822229,0.368949608261831,0.573929921992208,0.179384079246222,0.296365279463157,0.368949608261831,TRUE,TRUE,FALSE
"Bronn","DAX","1 day",2021-12-08,-2.75542148506779,-0.603312312944606,0.0789620363235132,0.739532581634929,2.6154142194292,-0.305366669036999,0.12250274080154,0.148972821953803,0.384328705360513,0.522449625335964,0.14603904442331,0.264858587575026,0.384328705360513,TRUE,TRUE,FALSE
"HanSolo","DAX","1 day",2021-12-08,-3.27126260271771,-0.56013348512203,0.0227635369947071,0.582598650304708,2.08456299818993,-0.305366669036999,0.148294796684036,0.127383408042515,0.328130206031707,0.443982659670854,0.119496483361347,0.233457510758091,0.328130206031707,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2021-12-08,-2.71099410396365,-0.485396555504147,0.0733950537846084,0.65948147757644,2.43822167008952,-0.305366669036999,0.120281371746333,0.0900149432335738,0.378761722821608,0.48242407330672,0.137179416956326,0.241732305612912,0.378761722821608,TRUE,TRUE,FALSE
"KyloRen","DAX","1 day",2021-12-08,-2.60320554295652,-0.459747799811703,0.0822876872871249,0.651130885472294,2.30508515493297,-0.305366669036999,0.114891943695976,0.0771905653873518,0.387654356324124,0.478248777254647,0.130522591198499,0.237701646772119,0.387654356324124,TRUE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2021-12-08,-0.43,-0.13,0.03,0.2,0.5,-0.305366669036999,0.00623166654815003,0.263050003555499,0.335366669036999,0.2526833345185,0.04026833345185,0.1795200014222,0.335366669036999,FALSE,TRUE,FALSE
"CaptainRaymondHolt","DAX","1 day",2021-12-08,-3.0894841598946,-0.4654545533743,0.0754703763075959,0.661280603420433,2.57699054200194,-0.305366669036999,0.13920587454288,0.0800439421686505,0.380837045344595,0.483323636228716,0.144117860551947,0.245505671767358,0.380837045344595,TRUE,TRUE,FALSE
